country,n_users,n,condorcet_3cycles,condorcet_3cycle_fraction,num_4subsets,odd_parity_4subsets,odd_parity_fraction,cohomology_class_nonzero,beta_1_acyclic_complex,num_acyclic_triples
ARG,553,20,0,0.0,4845,0,0.0,False,0,1140
AUS,2531,20,0,0.0,4845,0,0.0,False,0,1140
AUT,814,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139
BEL,722,20,0,0.0,4845,0,0.0,False,0,1140
BRA,4104,20,0,0.0,4845,0,0.0,False,0,1140
CAN,3410,20,0,0.0,4845,0,0.0,False,0,1140
CHE,677,20,3,0.002631578947368421,4845,49,0.010113519091847266,True,0,1137
CHL,312,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139
COL,297,20,2,0.0017543859649122807,4845,34,0.007017543859649123,True,0,1138
CZE,1471,20,0,0.0,4845,0,0.0,False,0,1140
DEU,5177,20,0,0.0,4845,0,0.0,False,0,1140
DNK,600,20,0,0.0,4845,0,0.0,False,0,1140
ESP,2038,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139
FIN,1001,20,0,0.0,4845,0,0.0,False,0,1140
FRA,4288,20,0,0.0,4845,0,0.0,False,0,1140
GBR,4251,20,0,0.0,4845,0,0.0,False,0,1140
GRC,271,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139
HKG,299,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139
HUN,1014,20,0,0.0,4845,0,0.0,False,0,1140
IND,339,20,2,0.0017543859649122807,4845,32,0.006604747162022704,True,0,1138
IRL,319,20,0,0.0,4845,0,0.0,False,0,1140
ISR,477,20,2,0.0017543859649122807,4845,32,0.006604747162022704,True,0,1138
ITA,1709,20,0,0.0,4845,0,0.0,False,0,1140
JPN,1256,20,0,0.0,4845,0,0.0,False,0,1140
KOR,389,20,0,0.0,4845,0,0.0,False,0,1140
LTU,274,20,0,0.0,4845,0,0.0,False,0,1140
MEX,841,20,0,0.0,4845,0,0.0,False,0,1140
NLD,1189,20,0,0.0,4845,0,0.0,False,0,1140
NOR,465,20,4,0.0035087719298245615,4845,62,0.012796697626418989,True,0,1136
NZL,569,20,0,0.0,4845,0,0.0,False,0,1140
PHL,241,20,2,0.0017543859649122807,4845,34,0.007017543859649123,True,0,1138
POL,1317,20,0,0.0,4845,0,0.0,False,0,1140
PRT,443,20,0,0.0,4845,0,0.0,False,0,1140
ROU,391,20,0,0.0,4845,0,0.0,False,0,1140
RUS,2308,20,0,0.0,4845,0,0.0,False,0,1140
SGP,595,20,0,0.0,4845,0,0.0,False,0,1140
SVK,394,20,4,0.0035087719298245615,4845,56,0.011558307533539732,True,0,1136
SWE,1230,20,0,0.0,4845,0,0.0,False,0,1140
THA,255,20,5,0.0043859649122807015,4845,77,0.015892672858617132,True,0,1135
TUR,1441,20,0,0.0,4845,0,0.0,False,0,1140
TWN,408,20,5,0.0043859649122807015,4845,73,0.015067079463364294,True,0,1135
UKR,579,20,0,0.0,4845,0,0.0,False,0,1140
USA,20649,20,0,0.0,4845,0,0.0,False,0,1140
