country,n_users,n,condorcet_3cycles,condorcet_3cycle_fraction,num_4subsets,odd_parity_4subsets,odd_parity_fraction,cohomology_class_nonzero,beta_1_acyclic_complex,num_acyclic_triples,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
ALB,415,20,0,0.0,4845,0,0.0,False,0,1140,190,13329.978757085653,292.715370208148,13622.694127293807,0.02148733337715312
ARE,2948,20,0,0.0,4845,0,0.0,False,0,1140,190,92393.71770391674,1706.2751487446853,94099.99285266147,0.018132574690162967
ARG,13624,20,0,0.0,4845,0,0.0,False,0,1140,190,402872.9474435446,6719.167115307657,409592.1145588514,0.016404532403033426
ARM,311,20,2,0.0017543859649122807,4845,32,0.006604747162022704,True,0,1138,190,10678.980101115872,215.34662714380343,10894.326728259683,0.01976685962476215
AUS,47111,20,0,0.0,4845,0,0.0,False,0,1140,190,1518428.5164561125,27691.023806914745,1546119.540263027,0.01791001477298704
AUT,15500,20,0,0.0,4845,0,0.0,False,0,1140,190,512423.1320812105,10352.714374200448,522775.8464554113,0.019803352515987853
AZE,1281,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,38257.614964652035,603.4937774438372,38861.108742095894,0.01552950486948173
BEL,47820,20,0,0.0,4845,0,0.0,False,0,1140,190,1573632.155070813,29805.788782426574,1603437.9438532386,0.018588676223290544
BGD,520,20,0,0.0,4845,0,0.0,False,0,1140,190,15603.132790766991,331.0624513590081,15934.195242126016,0.020776854201193795
BGR,4564,20,0,0.0,4845,0,0.0,False,0,1140,190,148458.091190163,2713.6693863885985,151171.76057655143,0.017950901517842885
BIH,1097,20,0,0.0,4845,0,0.0,False,0,1140,190,34444.11151264529,674.6813834360282,35118.79289608144,0.019211405854194643
BLR,3519,20,0,0.0,4845,0,0.0,False,0,1140,190,112604.27667718288,2118.489073981408,114722.76575116406,0.018466161098107177
BOL,432,20,0,0.0,4845,0,0.0,False,0,1140,190,13081.710194343357,221.37105529983768,13303.081249643199,0.016640585075414393
BRA,121122,20,0,0.0,4845,0,0.0,False,0,1140,190,3463211.450127152,54025.90334659758,3517237.353473736,0.015360323434879898
CAN,65719,20,0,0.0,4845,0,0.0,False,0,1140,190,2165820.6884043673,42457.10053467836,2208277.7889390388,0.019226340430239422
CHE,16314,20,0,0.0,4845,0,0.0,False,0,1140,190,536449.1373631583,10508.81486743518,546957.9522305931,0.019213204277547
CHL,7435,20,0,0.0,4845,0,0.0,False,0,1140,190,227551.67972498763,3889.5312945183814,231441.2110195062,0.016805698852788
CHN,5471,20,0,0.0,4845,0,0.0,False,0,1140,190,170834.77665705618,3053.6320744613877,173888.40873151802,0.01756087192203918
COL,7884,20,1,0.0008771929824561404,4845,17,0.0035087719298245615,True,0,1139,190,238819.26073897627,3745.0025310971687,242564.26327007328,0.01543921796479743
CRI,1861,20,0,0.0,4845,0,0.0,False,0,1140,190,56945.85446469263,1035.034129376094,57980.8885940687,0.017851298151404585
CYP,678,20,0,0.0,4845,0,0.0,False,0,1140,190,20989.339942142036,375.2316184387478,21364.571560580778,0.01756326436852485
