rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,21,210,1330,11,0.008270676691729323,0.006915986189299985,0.0006287260172090895,21,210,5475.351296567411,216.17445435884943,5691.525750926255,0.037981810821758756
1,21,210,1330,21,0.015789473684210527,0.0061408321460096685,0.0002924205783814128,21,210,5571.890209428304,223.22390212060938,5795.114111548912,0.03851932814847477
2,21,210,1330,24,0.01804511278195489,0.008821230614321865,0.0003675512755967444,21,210,5315.754942775648,170.1276366787659,5485.88257945441,0.03101189903625055
3,21,210,1330,5,0.0037593984962406013,0.002548098035914744,0.0005096196071829489,21,210,5356.148999033754,204.60935714536168,5560.7583561791125,0.03679522540626133
4,21,210,1330,13,0.009774436090225564,0.008403399646518967,0.0006464153574245358,21,210,5639.410104303723,178.63261341044878,5818.042717714168,0.03070321447908364
5,21,210,1330,36,0.02706766917293233,0.012665550384076485,0.0003518208440021247,21,210,5322.943617638419,230.14643343371677,5553.090051072137,0.041444750817480856
6,21,210,1330,12,0.009022556390977444,0.0060667820894352515,0.0005055651741196043,21,210,5448.434465837323,206.00213224976528,5654.436598087088,0.036431946609757085
7,21,210,1330,7,0.005263157894736842,0.0037522622393961363,0.0005360374627708766,21,210,5592.274781923237,177.14850045568014,5769.423282378914,0.03070471549500113
8,21,210,1330,26,0.019548872180451128,0.00668198810256215,0.0002569995424062365,21,210,5449.056614864964,224.25962069998405,5673.316235564944,0.03952884193095795
9,21,210,1330,18,0.013533834586466165,0.0029977047958038012,0.0001665391553224334,21,210,5559.764954955943,220.75281673115265,5780.517771687087,0.03818910787064743
10,21,210,1330,14,0.010526315789473684,0.006911325873905346,0.0004936661338503819,21,210,5508.770467876185,190.9895235503058,5699.75999142649,0.03350834488427406
11,21,210,1330,21,0.015789473684210527,0.006348551044319156,0.00030231195449138837,21,210,5641.7576989615845,200.82590260505606,5842.583601566637,0.03437279058381062
12,21,210,1330,26,0.019548872180451128,0.015085810509838338,0.0005802234811476284,21,210,5429.513947936903,223.76688207816034,5653.280830015061,0.03958177362959062
13,21,210,1330,14,0.010526315789473684,0.0038580357508974723,0.0002755739822069623,21,210,5498.939606631866,164.29633719253445,5663.235943824397,0.029011035178870676
14,21,210,1330,21,0.015789473684210527,0.005255823331556255,0.00025027730150267886,21,210,5518.85389235454,198.14694223812427,5717.000834592661,0.03465924668738348
15,21,210,1330,22,0.016541353383458645,0.008566935379666527,0.0003894061536212058,21,210,5451.724149238889,248.28787680360298,5700.012026042487,0.043559184729648544
16,21,210,1330,12,0.009022556390977444,0.001814684893929948,0.000151223741160829,21,210,5524.383708294585,219.90010466003707,5744.283812954614,0.038281552900313584
17,21,210,1330,19,0.014285714285714285,0.0123870362829547,0.0006519492780502473,21,210,5548.499949495779,231.03761133186006,5779.537560827637,0.03997510335390487
18,21,210,1330,13,0.009774436090225564,0.003969482902741544,0.00030534483867242646,21,210,5425.422847223584,197.01244269960472,5622.435289923183,0.03504041087901902
19,21,210,1330,7,0.005263157894736842,0.0021313210488736922,0.00030447443555338464,21,210,5620.644653396173,244.95248357743282,5865.5971369736,0.041760877512944564
20,21,210,1330,6,0.004511278195488722,0.011775579593238307,0.001962596598873051,21,210,5559.848894748469,226.07167604764328,5785.920570796112,0.0390727237405779
21,21,210,1330,9,0.006766917293233083,0.0012849931510108996,0.00014277701677898883,21,210,5538.224320165373,206.77886618662853,5745.003186351997,0.035992820104583864
22,21,210,1330,12,0.009022556390977444,0.023374719007497515,0.0019478932506247929,21,210,5351.621940203625,191.60792153467065,5543.2298617382985,0.03456611511949541
23,21,210,1330,25,0.018796992481203006,0.023924169008782463,0.0009569667603512987,21,210,5440.915814282011,217.77433317306898,5658.690147455081,0.03848493688437951
24,21,210,1330,19,0.014285714285714285,0.008158673098659159,0.00042940384729785045,21,210,5590.111280072164,220.87632175137176,5810.987601823529,0.03801011753700166
25,21,210,1330,20,0.015037593984962405,0.015210177086793699,0.0007605088543396848,21,210,5493.383598431674,196.0762145890797,5689.459813020753,0.03446306345996938
26,21,210,1330,12,0.009022556390977444,0.0066106277632286235,0.0005508856469357187,21,210,5418.925287811174,194.0002209657693,5612.925508776943,0.03456312054425286
27,21,210,1330,13,0.009774436090225564,0.002951710401540218,0.00022705464627232442,21,210,5500.779915042165,186.77770629821867,5687.557621340382,0.03283970356579894
28,21,210,1330,16,0.012030075187969926,0.004160300381014403,0.0002600187738134002,21,210,5283.740847324222,215.1949071114536,5498.935754435675,0.039133919129327566
29,21,210,1330,21,0.015789473684210527,0.010255512192062366,0.0004883577234315413,21,210,5556.636181645958,170.70889877073006,5727.345080416688,0.02980593911731093
30,21,210,1330,20,0.015037593984962405,0.017566571314199034,0.0008783285657099517,21,210,5449.771381645756,233.3668480378453,5683.138229683596,0.04106302514673091
31,21,210,1330,19,0.014285714285714285,0.008382081310114416,0.00044116217421654824,21,210,5621.765780355872,222.56954789664562,5844.33532825252,0.038082953046979735
32,21,210,1330,21,0.015789473684210527,0.005506917508425202,0.0002622341670678667,21,210,5470.845878757389,197.10128254072742,5667.947161298117,0.034774721240623876
33,21,210,1330,19,0.014285714285714285,0.006249705494077641,0.0003289318681093495,21,210,5557.169932783578,201.76470714619737,5758.934639929776,0.03503507502017034
34,21,210,1330,11,0.008270676691729323,0.005531160908770426,0.0005028328098882207,21,210,5671.493075681334,218.56826221841638,5890.06133789975,0.0371079772653696
35,21,210,1330,25,0.018796992481203006,0.005742352561042455,0.00022969410244169818,21,210,5527.531849406758,202.41226129177707,5729.9441106985305,0.035325346527176026
36,21,210,1330,5,0.0037593984962406013,0.0017854040848430438,0.0003570808169686088,21,210,5369.58255723906,194.35630078225347,5563.938858021309,0.0349314228178582
37,21,210,1330,17,0.012781954887218045,0.004743819042821024,0.000279048178989472,21,210,5556.872394206923,205.2906318151306,5762.163026022049,0.03562735571486503
38,21,210,1330,22,0.016541353383458645,0.0029333707779327723,0.00013333503536058056,21,210,5361.980153198099,221.07316942347228,5583.053322621567,0.039597180368620526
39,21,210,1330,15,0.011278195488721804,0.0016386111762192186,0.00010924074508128125,21,210,5595.234982582632,211.7498708355572,5806.984853418193,0.03646468454466759
40,21,210,1330,9,0.006766917293233083,0.011762244697612908,0.0013069160775125454,21,210,5515.5954006644515,206.1371810442618,5721.732581708711,0.036027056158346706
41,21,210,1330,17,0.012781954887218045,0.005305929572222275,0.0003121135042483691,21,210,5387.134039690176,217.68520203892706,5604.819241729099,0.038838933541016515
42,21,210,1330,24,0.01804511278195489,0.004978214732380647,0.00020742561384919363,21,210,5369.193705768811,212.66699205983178,5581.860697828642,0.038099659517221524
43,21,210,1330,13,0.009774436090225564,0.005780594683731379,0.00044466112951779845,21,210,5316.4108233951865,182.23748576999157,5498.648309165176,0.03314223342239167
44,21,210,1330,23,0.017293233082706767,0.007406683359699181,0.0003220297112912687,21,210,5621.454192965089,189.48776955785837,5810.941962522946,0.03260878714327895
45,21,210,1330,17,0.012781954887218045,0.0012060557250916694,7.094445441715704e-05,21,210,5372.850435661993,183.44197231037634,5556.292407972366,0.03301517609965366
46,21,210,1330,3,0.002255639097744361,0.0006383067665823782,0.00021276892219412608,21,210,5271.700933579975,189.26409365149908,5460.965027231472,0.03465762785656397
47,21,210,1330,20,0.015037593984962405,0.008445351598630793,0.00042226757993153957,21,210,5356.815079463298,214.1574500537899,5570.9725295170865,0.038441663267787446
48,21,210,1330,11,0.008270676691729323,0.002065288481672727,0.00018775349833388428,21,210,5548.76235000373,236.69536296761726,5785.457712971343,0.040912123933933876
49,21,210,1330,26,0.019548872180451128,0.010206730881447273,0.0003925665723633567,21,210,5352.693336148854,215.57878801777701,5568.272124166629,0.038715562603729874
50,21,210,1330,22,0.016541353383458645,0.009728502256179002,0.00044220464800813643,21,210,5503.119456083964,208.15171456904136,5711.271170653008,0.036445776841872835
51,21,210,1330,27,0.02030075187969925,0.013863048215565409,0.0005134462302061263,21,210,5281.878085060156,208.3977241914277,5490.275809251576,0.03795760567078616
52,21,210,1330,22,0.016541353383458645,0.007519566858893867,0.00034179849358608475,21,210,5482.097302006696,214.76351929398743,5696.860821300678,0.037698572254211
53,21,210,1330,11,0.008270676691729323,0.007240778135246133,0.0006582525577496483,21,210,5632.995106754024,195.9075111340274,5828.902617888056,0.033609673033962804
54,21,210,1330,13,0.009774436090225564,0.0020336401933656206,0.00015643386102812462,21,210,5487.8169144518015,196.57823006548693,5684.395144517288,0.034582083945218084
55,21,210,1330,14,0.010526315789473684,0.004941911160613675,0.00035299365432954824,21,210,5346.670886497239,203.04246272294435,5549.713349220181,0.036586117146298176
56,21,210,1330,17,0.012781954887218045,0.012335697199806388,0.0007256292470474346,21,210,5344.337271850588,218.59432678322523,5562.931598633813,0.03929480758614923
57,21,210,1330,23,0.017293233082706767,0.00285101748858424,0.00012395728211235825,21,210,5369.386494879454,220.26102842190244,5589.647523301355,0.0394051731354631
58,21,210,1330,15,0.011278195488721804,0.004353209091946785,0.000290213939463119,21,210,5349.337076880885,247.85884638943165,5597.195923270314,0.04428268186199446
59,21,210,1330,23,0.017293233082706767,0.004763384960094261,0.00020710369391714175,21,210,5649.675270113265,203.81543087816323,5853.49070099143,0.034819467782470755
60,21,210,1330,14,0.010526315789473684,0.005623140478485235,0.00040165289132037396,21,210,5636.6965321576445,205.9074983484949,5842.604030506135,0.035242418838138764
61,21,210,1330,28,0.021052631578947368,0.011158932093720554,0.0003985332890614483,21,210,5458.081743979592,206.85245028143788,5664.934194261027,0.036514537184031866
62,21,210,1330,14,0.010526315789473684,0.0026130068620808765,0.00018664334729149117,21,210,5367.598715067161,212.97149632713194,5580.570211394292,0.038163035005328166
63,21,210,1330,25,0.018796992481203006,0.0077957652584549585,0.00031183061033819836,21,210,5490.188446844934,183.5265441825947,5673.714991027524,0.03234680354456042
64,21,210,1330,40,0.03007518796992481,0.0229278867633236,0.00057319716908309,21,210,5366.989234731744,229.8300048844643,5596.819239616207,0.04106439658755614
65,21,210,1330,24,0.01804511278195489,0.013590773066984543,0.0005662822111243559,21,210,5559.544571706678,245.71638588367023,5805.260957590344,0.0423265013715529
66,21,210,1330,12,0.009022556390977444,0.0037346563189228407,0.00031122135991023674,21,210,5359.793787690554,245.0630889362945,5604.856876626847,0.04372334465100205
67,21,210,1330,10,0.007518796992481203,0.006985769520440535,0.0006985769520440534,21,210,5641.185720974979,229.39680490803897,5870.582525883019,0.03907564605329084
68,21,210,1330,13,0.009774436090225564,0.004606933321611771,0.00035437948627782843,21,210,5580.152808075869,218.19044659973036,5798.343254675595,0.03762979130698906
69,21,210,1330,13,0.009774436090225564,0.003602844928004894,0.00027714191753883794,21,210,5312.043684389281,221.72459011609,5533.768274505372,0.04006755959363126
70,21,210,1330,15,0.011278195488721804,0.000741869815091345,4.945798767275633e-05,21,210,5588.2377853698345,155.89004714643977,5744.127832516269,0.027139028185267713
71,21,210,1330,21,0.015789473684210527,0.015531550608954843,0.0007395976480454687,21,210,5577.255801433599,211.70484542005477,5788.960646853654,0.03657044128208369
72,21,210,1330,24,0.01804511278195489,0.008658249418767854,0.00036076039244866055,21,210,5587.677262285717,225.56728001475025,5813.244542300466,0.038802303665946745
73,21,210,1330,24,0.01804511278195489,0.00894709759562806,0.00037279573315116926,21,210,5581.252055501451,209.66432280122632,5790.916378302676,0.0362057244664754
74,21,210,1330,24,0.01804511278195489,0.0038611369013567634,0.00016088070422319846,21,210,5494.2920169848185,208.59513084632852,5702.887147831145,0.03657711005655424
75,21,210,1330,18,0.013533834586466165,0.007861153790327044,0.0004367307661292802,21,210,5264.756519477696,216.90234209322952,5481.658861570919,0.03956874142858832
76,21,210,1330,25,0.018796992481203006,0.0118119872231452,0.000472479488925808,21,210,5637.287540296647,233.38797367267608,5870.67551396932,0.039754875417203274
