attribute,conditioning,threshold,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
choice_values,high_q75,88.0,0.0,10,0.0,21,194,1074,54,0.05027932960893855,0.3915597875440467,0.007251107176741605
choice_values,high_q75,88.0,0.0,10,0.05,21,194,1074,43,0.04003724394785847,0.3769437266363489,0.00876613317758951
choice_values,high_q75,88.0,0.0,10,0.1,21,194,1074,18,0.01675977653631285,0.2588657968052444,0.01438143315584691
choice_values,high_q75,88.0,0.0,25,0.0,21,77,131,6,0.04580152671755725,0.00818560440337454,0.0013642674005624232
choice_values,high_q75,88.0,0.0,25,0.05,21,77,131,1,0.007633587786259542,0.0029556650246305416,0.0029556650246305416
choice_values,high_q75,88.0,0.0,25,0.1,21,77,131,0,0.0,0.0,0.0
choice_values,high_q75,88.0,0.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,0.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,0.0,50,0.1,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,0.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,0.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,0.0,100,0.1,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,2.0,10,0.0,21,193,1061,55,0.051837888784165884,0.45501378834795037,0.008272977969962736
choice_values,high_q75,88.0,2.0,10,0.05,21,193,1061,43,0.04052780395852969,0.42864023426996845,0.009968377541162058
choice_values,high_q75,88.0,2.0,10,0.1,21,193,1061,21,0.019792648444863337,0.29960867572623445,0.014267079796487357
choice_values,high_q75,88.0,2.0,25,0.0,21,72,120,7,0.058333333333333334,0.012978441599444076,0.001854063085634868
choice_values,high_q75,88.0,2.0,25,0.05,21,72,120,2,0.016666666666666666,0.0070309001343484105,0.0035154500671742053
choice_values,high_q75,88.0,2.0,25,0.1,21,72,120,1,0.008333333333333333,0.004105090311986864,0.004105090311986864
choice_values,high_q75,88.0,2.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,2.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,2.0,50,0.1,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,2.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,2.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,2.0,100,0.1,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,5.0,10,0.0,21,193,1061,49,0.046182846371347785,0.5042701609689185,0.010291227774875891
choice_values,high_q75,88.0,5.0,10,0.05,21,193,1061,40,0.03770028275212064,0.4880166106491018,0.012200415266227543
choice_values,high_q75,88.0,5.0,10,0.1,21,193,1061,19,0.017907634307257305,0.361120621029713,0.019006348475248052
choice_values,high_q75,88.0,5.0,25,0.0,21,56,65,4,0.06153846153846154,0.008473325338895058,0.0021183313347237645
choice_values,high_q75,88.0,5.0,25,0.05,21,56,65,1,0.015384615384615385,0.004477004477004477,0.004477004477004477
choice_values,high_q75,88.0,5.0,25,0.1,21,56,65,0,0.0,0.0,0.0
choice_values,high_q75,88.0,5.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,5.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,5.0,50,0.1,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,5.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,5.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,5.0,100,0.1,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,10.0,10,0.0,21,189,1008,43,0.04265873015873016,0.4545546775769188,0.010571039013416718
choice_values,high_q75,88.0,10.0,10,0.05,21,189,1008,37,0.03670634920634921,0.4471366732910765,0.012084774953812879
choice_values,high_q75,88.0,10.0,10,0.1,21,189,1008,21,0.020833333333333332,0.3470610598257655,0.016526717134560262
choice_values,high_q75,88.0,10.0,25,0.0,21,37,24,2,0.08333333333333333,0.0050468050468050465,0.0025234025234025233
choice_values,high_q75,88.0,10.0,25,0.05,21,37,24,2,0.08333333333333333,0.0050468050468050465,0.0025234025234025233
choice_values,high_q75,88.0,10.0,25,0.1,21,37,24,0,0.0,0.0,0.0
choice_values,high_q75,88.0,10.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,10.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,10.0,50,0.1,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,10.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,10.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,high_q75,88.0,10.0,100,0.1,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,0.0,10,0.0,21,202,1189,25,0.021026072329688814,0.18364103180096178,0.0073456412720384725
choice_values,low_q25,50.0,0.0,10,0.05,21,202,1189,20,0.01682085786375105,0.1787304945409678,0.008936524727048388
choice_values,low_q25,50.0,0.0,10,0.1,21,202,1189,5,0.004205214465937763,0.062475557543196204,0.012495111508639242
choice_values,low_q25,50.0,0.0,25,0.0,21,91,202,5,0.024752475247524754,0.030615399543396638,0.006123079908679328
choice_values,low_q25,50.0,0.0,25,0.05,21,91,202,3,0.01485148514851485,0.028062762106740233,0.009354254035580078
choice_values,low_q25,50.0,0.0,25,0.1,21,91,202,1,0.0049504950495049506,0.017647058823529415,0.017647058823529415
choice_values,low_q25,50.0,0.0,50,0.0,21,0,0,0,,0.0,0.0
