rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
0,19,62,72,5,0.06944444444444445,0.047182190451129154,0.009436438090225832,289.9666244686175,90.5994062537348,380.56603072235197,0.23806487952108643
1,21,66,69,10,0.14492753623188406,0.02311024897610791,0.002311024897610791,258.814434332959,79.45176163139556,338.2661959643552,0.2348794014278855
2,19,61,71,2,0.028169014084507043,0.06662068965517243,0.033310344827586214,245.28738839918594,55.45563556806883,300.74302396725506,0.18439541784386276
3,20,59,61,9,0.14754098360655737,0.10091524429551264,0.011212804921723628,335.23575225642776,72.5263659270867,407.7621181835145,0.17786440351589014
4,20,59,60,8,0.13333333333333333,0.04007458206443757,0.005009322758054696,258.91046049401695,63.248151749645636,322.1586122436628,0.19632612429373225
5,20,61,66,3,0.045454545454545456,0.015048288151736427,0.005016096050578809,315.60637735538046,78.81435274540716,394.4207301007876,0.19982304866498138
6,19,60,67,3,0.04477611940298507,0.027125754340915426,0.009041918113638475,330.43766972246976,51.931154546069095,382.3688242685387,0.13581430087929372
7,19,66,85,12,0.1411764705882353,0.07341822555204963,0.006118185462670803,273.9537839469057,65.94291754545043,339.89670149235627,0.19400870104334736
8,20,59,49,1,0.02040816326530612,0.013056835637480797,0.013056835637480797,326.9160825503297,74.08458448601978,401.0006670363497,0.1847492799290137
9,20,69,102,7,0.06862745098039216,0.05465972536221531,0.007808532194602188,366.38345015716186,59.91460266491027,426.2980528220721,0.14054627336033684
10,20,60,57,5,0.08771929824561403,0.09917998214085748,0.019835996428171493,242.68363399827464,77.1792101590801,319.8628441573539,0.24128845087462683
11,21,62,51,6,0.11764705882352941,0.03723689388807494,0.006206148981345823,226.61520360231074,45.8929673283268,272.5081709306377,0.16840950923269038
12,19,58,71,9,0.1267605633802817,0.14734476782567915,0.016371640869519907,274.15443676342016,64.17370833276831,338.3281450961884,0.1896788938872449
13,20,58,60,4,0.06666666666666667,0.04445461075163225,0.011113652687908062,362.5797506551854,78.37948065291492,440.95923130810024,0.17774768071053448
14,21,62,43,4,0.09302325581395349,0.013851703851703853,0.0034629259629259633,240.8397842559019,54.10455540168965,294.9443396575916,0.18343988382520243
15,20,69,95,6,0.06315789473684211,0.047976459015046866,0.007996076502507811,369.9326900951044,82.72442975967273,452.6571198547769,0.1827529627418932
16,20,60,57,1,0.017543859649122806,0.00018390804597701152,0.00018390804597701152,393.78507603012315,73.41486793176232,467.19994396188525,0.15713800671549652
17,20,63,72,9,0.125,0.036594597186878894,0.004066066354097655,287.6778550288041,73.31617488791738,360.9940299167214,0.20309525590999628
18,18,55,44,9,0.20454545454545456,0.06248947082588555,0.006943274536209507,242.28426162159093,64.47526014886984,306.75952177046,0.21018177292998572
19,20,45,29,2,0.06896551724137931,0.0059490367182674884,0.0029745183591337442,260.944074194672,47.48625059592763,308.4303247906002,0.15396103034994058
20,19,46,33,1,0.030303030303030304,0.01715227657489085,0.01715227657489085,192.16430063378886,47.0887626917119,239.25306332550073,0.19681571486358876
21,21,63,63,5,0.07936507936507936,0.011678090717878517,0.0023356181435757037,316.67353551639184,66.85537814778843,383.5289136641806,0.174316396406888
22,20,58,59,4,0.06779661016949153,0.023513980011667848,0.005878495002916962,219.24203025635197,51.85600206907599,271.09803232542754,0.1912813664646144
23,19,57,50,3,0.06,0.016934145351685307,0.005644715117228436,250.3876463205841,66.83665205721667,317.22429837780066,0.21069209514845252
24,20,55,57,3,0.05263157894736842,0.01381078691423519,0.004603595638078397,239.46400258765846,62.118035585481735,301.5820381731403,0.2059739232540744
25,20,59,46,0,0.0,0.0,0.0,308.9972208905979,49.82590050141801,358.8231213920157,0.13885922486857533
26,20,54,51,7,0.13725490196078433,0.08059021809646696,0.01151288829949528,187.27116268362903,50.16924091691965,237.44040360054865,0.21129192907421307
27,20,59,60,3,0.05,0.035419685005777926,0.011806561668592641,320.4650544494189,52.75763247715535,373.2226869265749,0.14135698156938273
28,21,57,66,5,0.07575757575757576,0.029499137583119787,0.005899827516623958,247.09532581682458,56.01044266403575,303.1057684808602,0.1847884418193531
29,21,68,71,5,0.07042253521126761,0.0332124964687176,0.0066424992937435205,283.05764548828233,88.89154963769803,371.94919512598057,0.23898841777998778
30,20,77,115,8,0.06956521739130435,0.0857177874645028,0.01071472343306285,406.28832149387176,97.69712112093232,503.9854426148047,0.19384909336677425
31,20,60,50,3,0.06,0.03233896734264777,0.010779655780882589,324.6581258779395,56.10531778356693,380.7634436615062,0.14734953871633708
32,20,54,37,4,0.10810810810810811,0.055236609255148374,0.013809152313787093,352.8903736597507,86.31891973425681,439.2092933940073,0.19653254389774844
33,20,66,80,5,0.0625,0.05969134848532848,0.011938269697065695,319.8892597627857,83.87746790290599,403.7667276656916,0.20773744381521791
34,20,62,57,3,0.05263157894736842,0.014746089617627097,0.004915363205875699,322.51261763502134,69.54036457142759,392.05298220644863,0.17737491545162837
35,20,61,58,2,0.034482758620689655,0.15021660028775777,0.07510830014387888,341.12826972638993,80.6071011551909,421.7353708815812,0.191131943679973
36,20,72,95,14,0.14736842105263157,0.054172450612358966,0.0038694607580256404,315.9160006339863,68.43144657264989,384.34744720663605,0.17804579442376056
37,21,56,36,2,0.05555555555555555,0.0027517347317124845,0.0013758673658562422,304.2110815663351,55.55872337471112,359.76980494104606,0.1544285335002344
38,19,52,35,7,0.2,0.11140176063252986,0.01591453723321855,229.53146789881018,82.02381262262685,311.5552805214368,0.2632720988883484
39,20,71,87,7,0.08045977011494253,0.06456753442840028,0.009223933489771468,344.2142872990385,79.07639871517385,423.29068601421307,0.18681346253982697
40,20,67,74,3,0.04054054054054054,0.012710925728167108,0.00423697524272237,353.8451487283447,64.47302138899408,418.31817011733887,0.15412436273305868
41,19,51,41,3,0.07317073170731707,0.03911897923299481,0.013039659744331604,276.85744867076795,61.32814364306125,338.18559231382903,0.1813446374916825
42,19,60,71,6,0.08450704225352113,0.051909603562038734,0.008651600593673123,340.6922966102943,53.059830010255205,393.7521266205499,0.13475439603501563
