rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
0,20,57,61,3,0.04918032786885246,0.021818048206937092,0.007272682735645697,412.4869315397838,62.847561052965695,475.33449259274926,0.13221754792116758
1,21,66,70,3,0.04285714285714286,0.013410728275984723,0.004470242758661574,428.0039626580419,72.13774412820415,500.14170678624635,0.14423461021025152
2,20,73,99,7,0.0707070707070707,0.09747807184301438,0.013925438834716338,398.6494379304552,99.34464122166838,497.9940791521241,0.19948960315112746
3,20,59,60,1,0.016666666666666666,0.06514285714285714,0.06514285714285714,438.50827046464394,50.84559773402053,489.35386819866414,0.10390353696637915
4,20,71,83,3,0.03614457831325301,0.043789582197886694,0.014596527399295565,518.5812485845988,78.54634738608345,597.1275959706825,0.13154030715729959
5,20,62,67,4,0.05970149253731343,0.017614298713495496,0.004403574678373874,391.6110064875644,59.66116269512757,451.27216918269175,0.13220660782866606
6,20,66,75,9,0.12,0.06767586162516114,0.00751954018057346,374.2319395710832,98.1203633246126,472.35230289569523,0.2077270772749456
7,21,66,82,1,0.012195121951219513,0.04927113702623907,0.04927113702623907,419.67712840626433,85.58122163956634,505.2583500458308,0.16938111291343025
8,20,74,101,6,0.0594059405940594,0.03481364647947225,0.005802274413245375,448.5405490171845,80.0471114865968,528.5876605037814,0.15143583073866357
9,19,66,89,13,0.14606741573033707,0.09271998277342605,0.007132306367186619,305.1072349666932,88.28276611946728,393.3900010861612,0.2244153788243626
10,21,74,99,4,0.04040404040404041,0.04494872559388688,0.01123718139847172,477.9147784666414,80.54313737678511,558.4579158434267,0.144224184297115
11,20,67,80,4,0.05,0.03713406420319437,0.009283516050798593,459.5272042096324,65.72316246332119,525.2503666729536,0.12512730429799704
12,20,62,73,5,0.0684931506849315,0.05787802191524276,0.011575604383048551,331.88733068557104,74.33985632817792,406.22718701374976,0.18300069198879518
13,20,74,124,9,0.07258064516129033,0.22097963067292287,0.02455329229699143,558.033089004133,92.06536149503366,650.098450499166,0.1416175679611957
14,20,69,94,9,0.09574468085106383,0.027450909527418375,0.0030501010586020416,468.9102971171439,71.37703368150478,540.2873307986491,0.13210939737564406
15,18,58,64,8,0.125,0.19397266359381155,0.024246582949226443,371.45765154911186,108.75889745576704,480.2165490048771,0.22647886184085356
