rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
0,20,87,151,6,0.039735099337748346,0.020759852494080452,0.0034599754156800755,516.792199903018,128.24413237820252,645.0363322812201,0.1988169130328789
1,21,82,139,6,0.04316546762589928,0.10760847548577893,0.017934745914296484,549.6490876043476,132.0542690787592,681.7033566831082,0.19371221776181605
2,20,89,164,4,0.024390243902439025,0.011940697725470533,0.002985174431367633,694.1947083812815,131.79759689855422,825.9923052798362,0.15956274175448013
3,20,93,179,8,0.0446927374301676,0.0869439933929102,0.010867999174113775,683.7790876595329,135.24570673340247,819.0247943929354,0.1651301739084067
4,20,87,175,11,0.06285714285714286,0.09008420773814728,0.008189473430740661,506.56112903484404,139.6608692365828,646.221998271427,0.2161190266041087
5,20,94,164,7,0.042682926829268296,0.06841057835485313,0.009772939764979019,606.5894283064193,105.87233378010735,712.4617620865268,0.14860072415682765
6,20,83,148,6,0.04054054054054054,0.08548638764764716,0.014247731274607859,498.2567141391266,81.35962378713087,579.6163379262568,0.14036806498280946
7,20,80,129,4,0.031007751937984496,0.030350420189129867,0.007587605047282467,564.8935880401037,98.95599266520765,663.8495807053105,0.1490638776333508
8,21,84,122,6,0.04918032786885246,0.020743686900247225,0.0034572811500412043,516.274309966303,108.27149775985428,624.5458077261578,0.17336037872714
9,20,84,136,4,0.029411764705882353,0.01977213437659685,0.004943033594149214,666.8535319369444,91.32074706481205,758.1742790017568,0.1204482262113253
10,20,73,93,6,0.06451612903225806,0.04888746022602589,0.008147910037670982,589.8172538664186,73.6330374640639,663.4502913304827,0.11098501037116174
11,20,80,137,4,0.029197080291970802,0.11661464411266201,0.029153661028165502,498.7286077347378,104.35586644837105,603.084474183109,0.17303689767461403
12,20,86,163,6,0.03680981595092025,0.026785554392045264,0.004464259065340878,670.5744489715586,97.1016024611977,767.6760514327569,0.12648773174566474
13,20,86,141,4,0.028368794326241134,0.029633062215532593,0.007408265553883148,595.4721539773797,85.06194988424605,680.5341038616256,0.12499292746913074
14,21,75,101,1,0.009900990099009901,0.0020639834881320948,0.0020639834881320948,546.7875825852107,84.90878918379012,631.6963717689999,0.1344139257061298
15,20,83,125,3,0.024,0.016395664980682817,0.005465221660227605,558.1010220977254,97.62126215025509,655.7222842479815,0.14887592582309833
16,20,87,153,7,0.0457516339869281,0.05005392589624149,0.007150560842320213,585.6925839734593,114.73244623972994,700.425030213189,0.1638040351082381
17,20,75,116,3,0.02586206896551724,0.03821554448225571,0.01273851482741857,537.7007994615207,65.94163738571648,603.642436847237,0.10923956527994111
18,20,77,115,0,0.0,0.0,0.0,622.2798852978227,98.6598092220474,720.9396945198699,0.13684890701954297
19,21,72,86,4,0.046511627906976744,0.018897566340924456,0.004724391585231115,525.4210457822194,59.05802574412831,584.4790715263473,0.1010438673020409
20,20,74,109,6,0.05504587155963303,0.06008353845010947,0.010013923075018244,516.77561920314,118.21474350834524,634.9903627114842,0.1861677758439581
21,20,84,140,8,0.05714285714285714,0.04735103016014218,0.0059188787700177724,620.299808211897,99.6156567206666,719.9154649325628,0.13837132493048745
22,20,72,85,1,0.011764705882352941,0.00014336917562724014,0.00014336917562724014,468.5779727901813,75.45715878053578,544.0351315707171,0.13869905526630016
23,21,82,136,7,0.051470588235294115,0.01391328321667409,0.0019876118880962986,628.8913715571877,87.61481573546376,716.5061872926523,0.12228061290931751
24,21,79,118,11,0.09322033898305085,0.22387179078136626,0.020351980980124203,540.280434696993,119.21417859701576,659.4946132940096,0.18076596259303915
25,21,88,159,8,0.050314465408805034,0.026299564090807595,0.0032874455113509494,611.2550184417166,86.4536248781549,697.7086433198717,0.123910783829174
26,20,86,141,7,0.04964539007092199,0.046723247282159,0.006674749611737,485.3190700725921,88.56108779405898,573.8801578666511,0.15431982894002996
27,20,85,155,9,0.05806451612903226,0.031489799287413946,0.0034988665874904385,627.5365261147717,106.72774965061402,734.2642757653846,0.14535331919745492
28,21,88,152,7,0.046052631578947366,0.06037076276180738,0.008624394680258197,617.8750978562003,131.97760268181406,749.852700538014,0.17600470410671465
29,20,84,144,9,0.0625,0.04390207287430287,0.004878008097144763,667.1549116481686,91.47972769526159,758.6346393434313,0.1205846964415357
30,21,81,125,7,0.056,0.08812455600816742,0.012589222286881061,458.22637803178037,98.66152058037389,556.8878986121545,0.1771658547909781
31,21,71,87,4,0.04597701149425287,0.0259459429860037,0.006486485746500925,497.4122947341026,108.7513386004732,606.1636333345758,0.17940921002175533
32,20,79,117,3,0.02564102564102564,0.03233808915647996,0.010779363052159987,539.2033181427323,100.7076623752639,639.910980517997,0.15737761257627234
33,21,78,97,3,0.030927835051546393,0.01190210967500491,0.0039673698916683035,674.9836455094396,101.13284849228263,776.1164940017235,0.13030627396002495
34,20,78,113,4,0.035398230088495575,0.041068717933316144,0.010267179483329036,528.0787353507462,86.5593548595761,614.6380902103224,0.140829792748374
35,20,79,108,3,0.027777777777777776,0.0034134608750662067,0.0011378202916887358,548.0778182271213,83.4665622916794,631.5443805188,0.1321626236672606
36,20,91,184,12,0.06521739130434782,0.03681571689480243,0.003067976407900203,516.0623976717242,100.8126648436444,616.8750625153691,0.1634247694056083
37,20,80,140,14,0.1,0.1152328609083602,0.008230918636311441,513.3789726560993,98.088850099495,611.4678227555951,0.16041539137326172
38,20,73,97,6,0.061855670103092786,0.07834120812855355,0.013056868021425591,549.6117548188871,78.45718631834373,628.0689411372311,0.12491811197713895
39,20,79,131,5,0.03816793893129771,0.044366655011855057,0.008873331002371011,651.9221191359818,102.29728547634171,754.219404612324,0.13563332480012696
40,20,92,158,4,0.02531645569620253,0.03886029110015203,0.009715072775038008,693.8076079126544,106.19813799103446,800.0057459036885,0.13274671905146476
41,21,80,124,9,0.07258064516129033,0.022926707880067447,0.00254741198667416,532.8297007304902,80.34781254896805,613.1775132794576,0.131035158349568
42,20,86,161,4,0.024844720496894408,0.03274839667991654,0.008187099169979135,608.9657639127861,124.53876173884271,733.504525651629,0.16978594866637703
43,20,76,96,7,0.07291666666666667,0.04634626577474697,0.006620895110678139,436.96600380867574,101.60330469257944,538.5693085012558,0.1886540935192235
44,21,86,150,8,0.05333333333333334,0.05028267542869074,0.0062853344285863436,660.7681329055256,102.93503868292095,763.7031715884473,0.1347840921870516
45,21,88,142,2,0.014084507042253521,0.0033234106585808194,0.0016617053292904097,557.0178054467733,95.10927183445699,652.1270772812302,0.14584469062529212
46,20,85,156,17,0.10897435897435898,0.20802729286545385,0.012236899580320815,480.22896334975184,122.03485875006487,602.2638220998173,0.20262691244608613
47,20,89,159,10,0.06289308176100629,0.05402593460795097,0.005402593460795097,619.7884914466551,137.56482432478347,757.3533157714376,0.18163890150089382
48,20,89,176,10,0.056818181818181816,0.042338276442298046,0.004233827644229805,657.6247886601053,124.06072324662424,781.685511906729,0.15870925245116635
49,21,87,149,4,0.026845637583892617,0.019856777584972313,0.004964194396243078,458.34115956783114,66.58634791598625,524.927507483817,0.1268486542744934
50,20,82,126,3,0.023809523809523808,0.005809217867331218,0.0019364059557770725,580.4257329240376,81.06199116383279,661.4877240878698,0.12254496676504428
