rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
0,21,121,326,11,0.03374233128834356,0.09737281478919492,0.008852074071744993,952.6992385662392,138.95672198565572,1091.6559605518967,0.1272898486400467
1,21,113,292,21,0.07191780821917808,0.09399203241067326,0.004475811067174918,796.8216506584301,129.13085407723193,925.9525047356625,0.13945731926509095
2,21,102,226,6,0.02654867256637168,0.03199616662906986,0.005332694438178309,760.911977481344,118.83942730872286,879.751404790068,0.13508296396194003
3,21,109,279,17,0.06093189964157706,0.1465139975144774,0.008618470442028084,805.1074259647828,135.57229798772286,940.6797239525055,0.14412163304432812
4,21,120,314,14,0.044585987261146494,0.08905020826781022,0.006360729161986445,857.8928304100032,160.65391564793825,1018.5467460579408,0.15772856402488505
5,21,112,289,24,0.08304498269896193,0.12919265025592488,0.0053830270939968705,586.6450098481102,150.88227378851022,737.5272836366205,0.20457856561527543
6,21,113,295,20,0.06779661016949153,0.1812491563729291,0.009062457818646456,767.9094942958443,148.7085093268543,916.6180036226989,0.16223607733987533
7,20,111,277,8,0.02888086642599278,0.0757771923514529,0.009472149043931611,871.092248845953,130.6625384138344,1001.7547872597863,0.13043365509762173
8,20,102,235,19,0.08085106382978724,0.1794185813046725,0.00944308322656171,839.616169361027,129.3227582559902,968.9389276170186,0.13346843084738375
9,21,97,202,17,0.08415841584158416,0.12831128296708505,0.007547722527475591,606.6553003448522,127.19030603389169,733.8456063787452,0.17332025282746938
10,21,91,175,11,0.06285714285714286,0.08259416808431816,0.007508560734938016,532.2062613437298,106.08148070399939,638.28774204773,0.16619695744692337
11,21,108,268,3,0.011194029850746268,0.029510482672793298,0.009836827557597768,768.6875297782617,100.5230920063035,869.2106217845651,0.11564871561270253
12,21,117,303,18,0.0594059405940594,0.18350303436483711,0.01019461302026873,772.6939771246849,135.99244814868297,908.6864252733669,0.14965828075154897
13,21,94,192,6,0.03125,0.030790682794687923,0.0051317804657813205,787.6476921457956,96.33030074649014,883.9779928922865,0.10897364133614588
14,20,100,217,23,0.10599078341013825,0.1355679100499755,0.005894256958694589,724.7205405751113,140.26405494182526,864.9845955169352,0.16215786462416729
15,20,102,241,21,0.08713692946058091,0.12914455156617685,0.006149740550770326,624.4957064866526,133.56759634652903,758.0633028331816,0.17619583463192878
16,21,96,194,10,0.05154639175257732,0.07926663646977708,0.00792666364697771,629.2826032288775,104.86645888555694,734.1490621144358,0.1428408266075137
17,21,106,242,14,0.05785123966942149,0.0741931932968468,0.005299513806917628,726.3365781820128,136.6138787084336,862.9504568904465,0.1583102223512433
18,21,110,289,24,0.08304498269896193,0.19275483668525945,0.008031451528552476,734.2851103649633,162.02388196868742,896.308992333652,0.18076788624739565
19,21,97,194,14,0.07216494845360824,0.12451387903064272,0.008893848502188766,747.8814431351348,120.72045660024261,868.6018997353788,0.13898249202197271
20,21,109,263,13,0.049429657794676805,0.14997821877463643,0.011536786059587419,812.2868143615233,133.89049482946027,946.1773091909837,0.14150676995619516
21,20,108,266,21,0.07894736842105263,0.18948108684373396,0.009022908897320664,760.8371564285752,149.6594824077807,910.4966388363565,0.16437126291762072
22,21,114,292,28,0.0958904109589041,0.2727061030316235,0.009739503679700839,670.5546641301235,147.0541935277488,817.6088576578722,0.17985885567458407
23,20,99,223,6,0.026905829596412557,0.05848437441140372,0.009747395735233954,647.8036083802903,115.52116418491973,763.3247725652092,0.1513394669436737
24,21,115,321,19,0.059190031152647975,0.18555874851118043,0.009766249921641075,845.714366053706,155.29443095739305,1001.0087970110962,0.1551379282790375
25,21,110,285,18,0.06315789473684211,0.05769682344103635,0.0032053790800575747,736.2861750518937,130.1749455297859,866.4611205816822,0.15023749183621238
26,21,108,265,18,0.06792452830188679,0.10199283402809999,0.005666268557116666,726.8519172205328,153.35137344988945,880.2032906704223,0.17422267682399445
27,21,100,210,10,0.047619047619047616,0.041857054571159145,0.004185705457115915,733.824023997229,126.14019389116937,859.9642178883977,0.14668074702096418
28,21,108,252,12,0.047619047619047616,0.08322088237130303,0.006935073530941919,705.9344180327578,143.32601764376062,849.26043567652,0.1687656832024528
29,20,113,291,17,0.058419243986254296,0.13559510511287254,0.007976182653698385,830.3668871404461,141.3432999787885,971.7101871192351,0.14545828772035377
30,21,108,258,14,0.05426356589147287,0.09731681767281726,0.00695120126234409,653.5447098681345,119.14124205812577,772.6859519262599,0.15419102904758883
31,21,105,229,5,0.021834061135371178,0.015164963422225248,0.0030329926844450497,764.0984470348374,126.82025052026896,890.9186975551071,0.14234772585679692
32,21,106,257,19,0.07392996108949416,0.10865299482101448,0.005718578674790236,762.7990010922912,144.50132841192428,907.3003295042162,0.15926515588381343
33,21,102,219,5,0.0228310502283105,0.04319209517661134,0.008638419035322267,757.3774329024559,106.05462318385595,863.4320560863124,0.12282914728064517
34,21,117,306,6,0.0196078431372549,0.0543223541916359,0.009053725698605982,924.8625207000213,118.78011927237695,1043.6426399723987,0.11381301867420666
