rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
0,21,76,97,9,0.09278350515463918,0.08433810919674466,0.009370901021860518,365.9318377615176,119.90464054383315,485.836478305351,0.24680040692307256
1,20,72,97,9,0.09278350515463918,0.08505709748183166,0.009450788609092408,334.48013843057305,98.32477163606845,432.8049100666418,0.2271803515836471
2,19,65,76,7,0.09210526315789473,0.047433073424301496,0.006776153346328784,285.6559286264256,53.283466895967734,338.9393955223932,0.15720647289715065
3,20,72,87,7,0.08045977011494253,0.02367822033237859,0.0033826029046255127,385.48787972997195,52.09895284659585,437.58683257656753,0.11905969048435602
4,19,72,98,8,0.08163265306122448,0.08263389132966467,0.010329236416208084,292.833124298209,108.12271663514001,400.95584093334804,0.26966240567402916
5,21,62,59,2,0.03389830508474576,0.03260395837584166,0.01630197918792083,388.8071657201084,70.9477720399516,459.7549377600594,0.15431649823188717
6,21,69,85,10,0.11764705882352941,0.05791484487839231,0.005791484487839232,306.34145824417016,70.74092148366366,377.08237972783337,0.18760070819199323
7,20,68,76,2,0.02631578947368421,0.0445054945054945,0.02225274725274725,375.17825143791435,86.79722513022175,461.9754765681357,0.1878827546756591
8,21,68,75,9,0.12,0.100074619372147,0.011119402152460775,446.4794680463073,87.59550816422838,534.0749762105357,0.16401350384500635
9,21,77,128,2,0.015625,0.014204105571847507,0.007102052785923753,454.0594443844557,80.71473152355637,534.7741759080122,0.1509323657719783
10,20,73,89,5,0.056179775280898875,0.016521833999865364,0.0033043667999730726,412.6334923874822,105.3971771313611,518.0306695188431,0.2034574077037872
11,20,72,99,10,0.10101010101010101,0.08275882335768468,0.008275882335768469,315.49046844276484,91.84343894343968,407.3339073862046,0.22547457326296277
12,20,75,95,7,0.07368421052631578,0.023982935017540695,0.003426133573934385,420.1943089385291,75.44200793946875,495.63631687799807,0.15221242949805666
13,19,75,115,10,0.08695652173913043,0.14978054915959874,0.014978054915959873,416.2862614482434,102.0856393002315,518.3719007484747,0.19693513315986177
