rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
0,20,69,87,4,0.04597701149425287,0.014211889673603952,0.0035529724184009876,269.81986885880315,75.45454948968228,345.2744183484853,0.2185350129633005
1,19,55,51,8,0.1568627450980392,0.03763706727213728,0.004704633409017159,302.2430861293094,57.25801984410418,359.5011059734134,0.15927077522909944
2,20,55,42,3,0.07142857142857142,0.016324774945464603,0.005441591648488201,294.9964494161456,59.66489869782113,354.6613481139667,0.16823062060500724
3,20,57,45,6,0.13333333333333333,0.026729184580470366,0.004454864096745061,339.6595623271566,57.96693580022584,397.62649812738243,0.14578237635877006
4,21,63,55,2,0.03636363636363636,0.007051548741469492,0.003525774370734746,296.40229428492887,78.71439861669589,375.11669290162473,0.2098397648151023
5,19,63,71,4,0.056338028169014086,0.011501213301534072,0.002875303325383518,316.2784013225821,52.070841666938875,368.3492429895203,0.14136269493682743
6,20,65,72,6,0.08333333333333333,0.024366860920613458,0.00406114348676891,274.6397491601332,77.35076700822313,351.9905161683561,0.21975241790669856
7,21,61,62,3,0.04838709677419355,0.007203715361390556,0.002401238453796852,332.60283505101427,47.16790022829343,379.7707352793082,0.12420098719192535
8,20,56,53,1,0.018867924528301886,0.003015185570966504,0.003015185570966504,330.26553426445935,69.62306593738201,399.88860020184217,0.17410615331929954
9,20,55,53,5,0.09433962264150944,0.035519823957749525,0.007103964791549904,202.05563741766963,61.949652896891365,264.0052903145616,0.23465307389514248
10,19,59,56,3,0.05357142857142857,0.03615185064612857,0.012050616882042856,315.90881764271495,92.06750189728747,407.97631954000235,0.22566873979620816
11,20,62,56,4,0.07142857142857142,0.009940874801446167,0.002485218700361542,259.3394644397642,55.853160446527546,315.1926248862917,0.17720325932967826
12,21,73,98,2,0.02040816326530612,0.010399503722084367,0.005199751861042184,460.23525673761316,81.61625374838061,541.8515104859943,0.15062476004759653
13,20,48,35,5,0.14285714285714285,0.11627476773098891,0.023254953546197783,216.81907830145062,62.11081250767685,278.9298908091275,0.2226753551851474
14,20,71,107,9,0.08411214953271028,0.06022977200393833,0.0066921968893264815,265.2880335446258,86.05085126134125,351.3388848059668,0.24492265155581733
15,20,63,79,4,0.05063291139240506,0.040819475616654374,0.010204868904163594,413.69983141111237,65.94522938116441,479.64506079227687,0.13748756063960338
16,20,61,67,7,0.1044776119402985,0.03808930910835492,0.005441329872622131,355.6963763506986,71.3099129872728,427.0062893379721,0.16699967838373353
17,20,63,79,2,0.02531645569620253,0.002074407647163065,0.0010372038235815324,394.50727298226747,50.233042013954005,444.74031499622134,0.11294915329270476
18,21,60,56,4,0.07142857142857142,0.11353958616100397,0.028384896540250993,211.6269518830925,104.52516434769504,316.152116230788,0.3306166841261713
19,20,63,76,7,0.09210526315789473,0.04587699413791487,0.00655385630541641,325.28471381724006,71.43105049718285,396.7157643144226,0.18005599202901648
20,21,64,79,3,0.0379746835443038,0.0038715963839116544,0.0012905321279705515,264.373997829507,58.38704506449559,322.7610428940027,0.18089867519628247
21,20,61,74,3,0.04054054054054054,0.04540720087204779,0.01513573362401593,370.9777015707651,61.46395380138234,432.44165537214735,0.14213236175984978
22,20,58,67,5,0.07462686567164178,0.08721723399000146,0.017443446798000292,312.75934648135075,67.78809378814697,380.54744026949743,0.17813309620514214
23,20,69,99,3,0.030303030303030304,0.09177664425509253,0.030592214751697513,463.1504387412426,79.90899882384517,543.0594375650882,0.14714595364023614
24,21,69,72,2,0.027777777777777776,0.037314064381733555,0.018657032190866778,326.1282502482205,65.39293087686535,391.5211811250856,0.16702271557556733
25,20,62,58,2,0.034482758620689655,0.03851739216135871,0.019258696080679354,297.2049024400338,76.84604507455064,374.0509475145847,0.20544272266962862
26,21,62,79,4,0.05063291139240506,0.030875933622383927,0.007718983405595983,275.73621388273466,48.65147167114897,324.3876855538835,0.14997940377446156
27,20,56,64,2,0.03125,0.022485390301482257,0.011242695150741128,334.31770112324364,55.88492758691825,390.202628710162,0.14322027448059282
28,20,66,84,4,0.047619047619047616,0.012637942190743915,0.0031594855476859787,350.8156626859277,65.91108034660448,416.7267430325323,0.1581637882583865
29,21,69,87,4,0.04597701149425287,0.011880518893077594,0.0029701297232693985,297.6007903078161,69.5075196263481,367.10830993416397,0.18933790858292845
30,21,61,61,2,0.03278688524590164,0.0038639455782312924,0.0019319727891156462,331.52902091088924,61.19537995562773,392.7244008665171,0.15582270880190965
31,21,54,53,4,0.07547169811320754,0.07931859752922973,0.019829649382307434,275.0981696114393,59.7996907618492,334.89786037328895,0.17856098183247382
32,20,65,83,5,0.060240963855421686,0.05877041853609902,0.011754083707219804,305.73421428751806,67.1686549328501,372.9028692203681,0.18012372785782074
33,20,67,86,4,0.046511627906976744,0.038597255853061264,0.009649313963265314,262.39509240308274,76.32903598670075,338.72412838978363,0.22534277776298775
34,21,68,83,4,0.04819277108433735,0.011097977081455396,0.002774494270363849,366.9296904389843,61.5291563011716,428.4588467401558,0.1436057553001974
35,21,59,64,3,0.046875,0.029022783202349765,0.00967426106744992,283.5562964099558,62.919808373783134,346.47610478373866,0.18159927194129602
36,21,79,125,14,0.112,0.1607345983310077,0.01148104273792912,441.42627085760955,104.72643993204525,546.1527107896544,0.19175303511837674
37,20,66,86,6,0.06976744186046512,0.05444854268954151,0.009074757114923586,383.00038128835394,59.6457943326513,442.64617562100545,0.1347482427674246
38,19,57,56,6,0.10714285714285714,0.02162097081155294,0.003603495135258823,354.46986686471826,94.63452810477176,449.1043949694899,0.2107183300025394
39,20,62,75,7,0.09333333333333334,0.09601582761634336,0.013716546802334764,338.3920605728124,68.38640485153861,406.7784654243508,0.1681170727172049
40,20,68,90,11,0.12222222222222222,0.17280125418794215,0.01570920492617656,319.59589517195406,80.52212091708408,400.118016089039,0.20124592664971463
41,20,66,74,4,0.05405405405405406,0.06055799934334762,0.015139499835836907,406.638308591907,73.23300716932673,479.8713157612339,0.15260967839504028
42,20,59,52,2,0.038461538461538464,0.041227613412228796,0.020613806706114398,267.65672583686614,57.57550622993292,325.23223206679904,0.17702890597297122
43,20,62,67,2,0.029850746268656716,0.0012279878798232523,0.0006139939399116261,343.2132409869676,73.04810125382221,416.26134224078993,0.17548615218649566
