rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
0,21,210,1330,41,0.030827067669172932,0.019557612535245555,0.00047701493988403784,5345.521015656494,384.8873336925529,5730.408349349031,0.06716577776455944
1,21,210,1330,14,0.010526315789473684,0.006895905676434642,0.0004925646911739031,5853.300041325912,383.0603782703578,6236.360419596273,0.06142370749879723
2,21,210,1330,34,0.02556390977443609,0.026476351817731822,0.000778716229933289,5648.528260223871,430.88026636163903,6079.408526585512,0.07087535974550506
3,21,210,1330,45,0.03383458646616541,0.03714998456803372,0.0008255552126229716,5511.380347242735,409.38701302860613,5920.767360271341,0.0691442490673784
4,21,210,1330,26,0.019548872180451128,0.007498344835585224,0.0002883978782917394,5687.743607044435,378.73321984293784,6066.476826887375,0.062430506313705086
5,21,210,1330,41,0.030827067669172932,0.03719428221950348,0.0009071776151098411,5384.931250068637,400.6182471231758,5785.549497191817,0.06924463221991747
6,21,210,1330,55,0.041353383458646614,0.06615202458785047,0.0012027640834154634,5169.522791009022,463.647131294999,5633.169922304027,0.082306612030152
7,21,210,1330,34,0.02556390977443609,0.042492782462549755,0.0012497877194867577,5592.080434609321,378.01220865666454,5970.092643265985,0.0633176453439205
8,21,210,1330,21,0.015789473684210527,0.013225545472449696,0.0006297878796404617,5221.7256267068915,380.92591008550517,5602.6515367923985,0.06799029130831702
9,21,210,1330,29,0.02180451127819549,0.015474622211033462,0.0005336076624494298,5398.308147098605,409.24731899772235,5807.55546609633,0.07046808616583158
10,21,210,1330,26,0.019548872180451128,0.019423746846169054,0.0007470671863911174,5427.105967688516,366.8010543068913,5793.907021995396,0.06330806706327963
11,21,210,1330,35,0.02631578947368421,0.010802113704526673,0.00030863182012933355,5651.358949360137,358.40353688898915,6009.762486249134,0.059636888763748654
12,21,210,1330,26,0.019548872180451128,0.01958184351949142,0.000753147827672747,5958.8474378882875,437.674493148724,6396.5219310370085,0.06842382436383955
13,21,210,1330,48,0.03609022556390978,0.019301909627084245,0.00040212311723092175,5445.593776692527,363.94146238362305,5809.535239076162,0.06264553831013467
14,21,210,1330,19,0.014285714285714285,0.0186667775708352,0.000982461977412379,5195.334257818873,320.81913653088736,5516.153394349754,0.05815993747735611
15,21,210,1330,37,0.027819548872180452,0.05247003840092877,0.0014181091459710478,5409.121742569071,398.14827624743594,5807.270018816495,0.06856031749124306
16,21,210,1330,29,0.02180451127819549,0.013519830367330864,0.00046620104714934017,5329.711988149913,365.3470793037499,5695.0590674536625,0.06415158736309674
17,21,210,1330,36,0.02706766917293233,0.04176042926726593,0.0011600119240907205,5283.379044389563,392.06398179367875,5675.443026183235,0.0690807713133443
18,21,210,1330,24,0.01804511278195489,0.033519788629558275,0.001396657859564928,5075.580979192345,382.7758907809701,5458.356869973314,0.07012657836401992
19,21,210,1330,29,0.02180451127819549,0.020543021649035282,0.0007083800568632856,5515.5005294313305,362.2684539169258,5877.768983348256,0.06163366660772715
20,21,210,1330,33,0.02481203007518797,0.022296834464022197,0.000675661650424915,5241.23596269614,341.5452741180684,5582.7812368142095,0.06117833739675061
21,21,210,1330,26,0.019548872180451128,0.0038886612207843954,0.00014956389310709212,5545.218981483891,423.6300878637044,5968.849069347596,0.07097349638797414
22,21,210,1330,22,0.016541353383458645,0.014375551920191425,0.0006534341781905194,5196.536609944014,323.26882043426826,5519.8054303782865,0.058565256422836234
23,21,210,1330,33,0.02481203007518797,0.018307698974370557,0.0005547787567991079,5437.717042141141,331.699840883869,5769.416883025017,0.0574927843851617
24,21,210,1330,24,0.01804511278195489,0.014881604345315585,0.0006200668477214827,5362.277276223003,423.3952819354911,5785.672558158503,0.0731799592319569
25,21,210,1330,22,0.016541353383458645,0.010293089010401947,0.0004678676822909976,5385.346348150213,378.0131042839512,5763.359452434148,0.0655890210221571
26,21,210,1330,28,0.021052631578947368,0.024127685926926278,0.0008617030688187957,5453.536979144274,328.9946290064568,5782.531608150727,0.056894566480661296
27,21,210,1330,33,0.02481203007518797,0.012786911094962258,0.00038748215439279567,5490.805076955701,342.46781903327087,5833.27289598897,0.05870937724664929
28,21,210,1330,48,0.03609022556390978,0.03382093902872065,0.0007046028964316802,5436.566643254208,422.6986736334944,5859.26531688771,0.07214192407624596
29,21,210,1330,14,0.010526315789473684,0.005721163294100419,0.0004086545210071728,5749.647466230286,349.0345224989412,6098.681988729231,0.05723113996499246
30,21,210,1330,30,0.022556390977443608,0.02868093625047405,0.0009560312083491349,5359.895326292173,367.019056547096,5726.914382839272,0.06408670219461819
31,21,210,1330,30,0.022556390977443608,0.02520105380631616,0.0008400351268772053,5453.768019126463,363.105332693812,5816.873351820275,0.06242276747871524
32,21,210,1330,26,0.019548872180451128,0.024934755441200995,0.0009590290554308075,5338.85622092874,379.6926125672953,5718.548833496032,0.06639667223671682
33,21,210,1330,39,0.029323308270676692,0.03320140389299567,0.0008513180485383506,5262.114871582011,398.8422933939488,5660.95716497596,0.07045492162731151
34,21,210,1330,24,0.01804511278195489,0.011581284777453465,0.00048255353239389436,5644.28679432809,364.0003133436669,6008.287107671773,0.06058304252453042
35,21,210,1330,40,0.03007518796992481,0.03813870116803662,0.0009534675292009156,5533.250056306184,373.1721004161477,5906.422156722329,0.06318073624172393
36,21,210,1330,32,0.02406015037593985,0.009964914080177904,0.0003114035650055595,5246.124096669677,406.0101621512489,5652.134258820906,0.07183307111249455
37,21,210,1330,23,0.017293233082706767,0.031816960431053,0.0013833461056979564,5558.727731348918,381.78228826533405,5940.510019614252,0.0642675943655971
