edge,support,mean_choice_values,mean_choice_fluency,mean_choice_factuality,mean_choice_safety,mean_choice_diversity,mean_choice_creativity,mean_choice_helpfulness,dominant_attribute,dominant_attribute_value,mean_winner_loser_score_gap
command-light > mistralai/Mistral-7B-Instruct-v0.1,351,64.26688102893891,84.43304843304843,76.36182336182337,70.23853211009174,68.8173076923077,58.55108359133127,83.6039886039886,choice_fluency,84.43304843304843,39.18233618233618
HuggingFaceH4/zephyr-7b-beta > models/chat-bison-001,319,68.24907063197026,85.53291536050156,82.91205211726384,72.25795053003533,62.36785714285714,65.64041095890411,83.51097178683385,choice_fluency,85.53291536050156,31.213166144200628
claude-instant-1 > gpt-4-1106-preview,311,68.31330472103004,83.78217821782178,81.85382059800665,72.196,67.6076923076923,60.745318352059925,87.07717041800643,choice_helpfulness,87.07717041800643,32.17684887459807
timdettmers/guanaco-33b-merged > gpt-3.5-turbo,296,63.26053639846743,82.04054054054055,81.45547945205479,75.40839694656489,73.82824427480917,59.878787878787875,82.60958904109589,choice_helpfulness,82.60958904109589,31.04054054054054
command-light > gpt-4,293,64.76190476190476,80.32764505119454,78.97923875432527,70.91984732824427,68.55905511811024,63.70542635658915,82.57586206896552,choice_helpfulness,82.57586206896552,32.075085324232084
timdettmers/guanaco-33b-merged > claude-2.1,288,54.490421455938694,81.12847222222223,75.82986111111111,65.58333333333333,69.69318181818181,58.31386861313869,80.67013888888889,choice_fluency,81.12847222222223,43.59375
claude-instant-1 > HuggingFaceH4/zephyr-7b-beta,285,70.15810276679842,86.49824561403508,83.98168498168498,75.01459854014598,70.1828793774319,69.64150943396227,88.52982456140352,choice_helpfulness,88.52982456140352,35.329824561403505
command-light > meta-llama/Llama-2-70b-chat-hf,284,62.24596774193548,81.58571428571429,78.6725352112676,66.43359375,68.15744680851064,59.574803149606296,82.54577464788733,choice_helpfulness,82.54577464788733,33.42253521126761
command-light > gpt-3.5-turbo,283,67.59245283018868,85.113074204947,80.77617328519855,70.20152091254752,69.64822134387352,68.00408163265305,83.98939929328623,choice_fluency,85.113074204947,31.17314487632509
claude-instant-1 > meta-llama/Llama-2-70b-chat-hf,259,67.49333333333334,84.01930501930502,84.44313725490196,76.89912280701755,70.04910714285714,67.30396475770925,87.49034749034749,choice_helpfulness,87.49034749034749,31.714285714285715
