rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,19,56,61,5,0.08196721311475409,0.017286131276635044,0.003457226255327009,19,56,215.46099354855988,23.262359276760755,238.7233528253206,0.09744484149308326
1,19,56,61,4,0.06557377049180328,0.026025695604239667,0.006506423901059917,19,56,276.88264693295184,40.960125325214086,317.8427722581659,0.12886914191631976
2,19,56,61,1,0.01639344262295082,0.0006593406593406592,0.0006593406593406592,19,56,258.7027221891571,55.39234758672683,314.09506977588387,0.17635535516762776
3,19,56,61,4,0.06557377049180328,0.01727497643301528,0.00431874410825382,19,56,204.7778245494729,40.12392723937739,244.90175178885033,0.163836832306416
4,19,56,61,2,0.03278688524590164,0.0022232218723446796,0.0011116109361723398,19,56,191.19825972772105,24.950209083720235,216.14846881144132,0.11543088517312483
5,19,56,61,1,0.01639344262295082,0.010503978779840847,0.010503978779840847,19,56,241.8952152842421,35.24352034806723,277.1387356323095,0.12716923265041574
6,19,56,61,5,0.08196721311475409,0.012419347809547445,0.0024838695619094895,19,56,191.79595507715655,25.99565712770708,217.79161220486358,0.11936023093145808
7,19,56,61,2,0.03278688524590164,0.004575984612282253,0.0022879923061411263,19,56,241.5750911146521,25.70834053356189,267.2834316482141,0.09618381646415705
8,19,56,61,4,0.06557377049180328,0.026520426256975642,0.0066301065642439105,19,56,267.44261808386216,35.941155603089754,303.383773686952,0.11846762655202453
9,19,56,61,6,0.09836065573770492,0.042875102174188426,0.0071458503623647385,19,56,215.70488844077138,40.495856283231845,256.20074472400313,0.1580629920762203
10,19,56,61,3,0.04918032786885246,0.014553643625261663,0.004851214541753888,19,56,233.80129720895513,30.062713262870083,263.86401047182505,0.11393260190775478
11,19,56,61,1,0.01639344262295082,0.00020165355918531962,0.00020165355918531962,19,56,230.59199175907338,19.247431830303366,249.8394235893769,0.07703921004051564
12,19,56,61,5,0.08196721311475409,0.012178396335582032,0.002435679267116406,19,56,209.06321273126207,41.39668335610877,250.45989608737102,0.1652826819894066
13,19,56,61,2,0.03278688524590164,0.0028666863149621772,0.0014333431574810886,19,56,238.52487974607897,22.504687886352457,261.0295676324315,0.08621509084381739
14,19,56,61,4,0.06557377049180328,0.009278415513413464,0.0023196038783533665,19,56,224.24247403803153,28.36351105491848,252.60598509295002,0.1122836065997475
15,19,56,61,4,0.06557377049180328,0.005801628196281725,0.0014504070490704312,19,56,259.57868920210274,30.510743803946994,290.08943300604983,0.1051770258839821
