rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,19,66,92,2,0.021739130434782608,0.004693961952026468,0.002346980976013234,19,66,371.8612441075119,34.363435929811295,406.2246800373231,0.08459219151001375
1,19,66,92,7,0.07608695652173914,0.015889070458698452,0.0022698672083854934,19,66,381.12199855324747,40.23229336139493,421.3542919146425,0.09548328837135744
2,19,66,92,3,0.03260869565217391,0.033406120530480934,0.011135373510160312,19,66,360.60411905796235,46.012672475438265,406.61679153340043,0.11315979426702716
3,19,66,92,3,0.03260869565217391,0.004848182892363927,0.001616060964121309,19,66,399.6959417072662,33.46013581934713,433.15607752661316,0.07724729619496412
4,19,66,92,6,0.06521739130434782,0.01717142905046131,0.0028619048417435518,19,66,398.96121690136897,49.02731012569865,447.9885270270677,0.10943876275370863
5,19,66,92,2,0.021739130434782608,0.0010134873640620765,0.0005067436820310382,19,66,355.1928033396119,37.85764170877696,393.05044504838867,0.09631751391126471
6,19,66,92,1,0.010869565217391304,0.014367816091954023,0.014367816091954023,19,66,387.17697021688105,41.122739816486614,428.29971003336783,0.09601393335821506
7,19,66,92,4,0.043478260869565216,0.016054937337768957,0.004013734334442239,19,66,443.59146497111203,47.0890644170096,490.6805293881217,0.0959668492975045
8,19,66,92,4,0.043478260869565216,0.02399139819711288,0.00599784954927822,19,66,388.1558313207093,42.738800642135075,430.89463196284413,0.099186198833455
9,19,66,92,8,0.08695652173913043,0.02522295897886832,0.0031528698723585404,19,66,341.56851044767933,50.821675178273296,392.39018562595237,0.12951821182071888
10,19,66,92,1,0.010869565217391304,0.0007741935483870968,0.0007741935483870968,19,66,381.05250022691934,29.882906942582046,410.93540716950105,0.07271923134687701
11,19,66,92,4,0.043478260869565216,0.006216717908528253,0.0015541794771320632,19,66,367.61360340526505,33.44376178624632,401.05736519151134,0.08338897297217415
12,19,66,92,3,0.03260869565217391,0.005067201924265329,0.0016890673080884426,19,66,385.139564228049,38.59478158060227,423.734345808651,0.09108249534728727
13,19,66,92,4,0.043478260869565216,0.0031261073586342407,0.0007815268396585601,19,66,356.8756135241229,37.090600998843804,393.9662145229666,0.0941466542854567
14,19,66,92,0,0.0,0.0,0.0,19,66,431.9130936084175,42.76388307476427,474.67697668318146,0.09009049348375413
15,19,66,92,6,0.06521739130434782,0.030725138789855146,0.005120856464975857,19,66,406.76134067799825,44.60479285020429,451.36613352820217,0.09882175364274932
16,19,66,92,1,0.010869565217391304,0.006857142857142857,0.006857142857142857,19,66,334.93695131054375,42.35448813559893,377.29143944614253,0.11225934041274459
17,19,66,92,0,0.0,0.0,0.0,19,66,379.86268293663704,34.88441638010068,414.7470993167378,0.08411009127627397
18,19,66,92,6,0.06521739130434782,0.014456243038415452,0.0024093738397359087,19,66,368.2197805047485,56.58039337421466,424.8001738789629,0.13319296189915392
19,19,66,92,4,0.043478260869565216,0.012482391618598515,0.0031205979046496288,19,66,394.0846909548329,38.31767239518349,432.40236335001623,0.08861577929019443
20,19,66,92,0,0.0,0.0,0.0,19,66,430.8442983639571,38.069941110745305,468.91423947470224,0.08118742811775748
21,19,66,92,2,0.021739130434782608,0.0037342287342287343,0.0018671143671143671,19,66,449.19590315597975,27.445290888295137,476.64119404427447,0.05758061038623906
22,19,66,92,2,0.021739130434782608,0.030375,0.0151875,19,66,376.1567882585722,70.71539350589934,446.8721817644712,0.15824523519606923
23,19,66,92,4,0.043478260869565216,0.003913804919589124,0.000978451229897281,19,66,402.0081334527614,31.212741080293995,433.22087453305505,0.07204810043822679
24,19,66,92,1,0.010869565217391304,0.004301075268817204,0.004301075268817204,19,66,420.7037001768438,39.085174859196854,459.78887503604017,0.08500678676954329
25,19,66,92,7,0.07608695652173914,0.02167957049349708,0.0030970814990710113,19,66,433.6332650833256,49.242545116715064,482.87581020004075,0.10197765983828301
26,19,66,92,1,0.010869565217391304,0.006704980842911878,0.006704980842911878,19,66,397.0898351809478,50.19970537599808,447.289540556946,0.11223089481030907
27,19,66,92,2,0.021739130434782608,0.0009312126953255986,0.0004656063476627993,19,66,381.9585448467837,39.30509993768151,421.2636447844653,0.09330285303349999
28,19,66,92,3,0.03260869565217391,0.0031736693923360587,0.0010578897974453528,19,66,355.53764441138884,49.61831181973238,405.1559562311208,0.12246719085977761
29,19,66,92,4,0.043478260869565216,0.018975877394636013,0.004743969348659004,19,66,355.96938118970024,38.20227798728182,394.1716591769822,0.09691787092721722
30,19,66,92,4,0.043478260869565216,0.01689985297205125,0.004224963243012812,19,66,313.98402515093426,45.73958127346533,359.7236064243996,0.12715201464844114
31,19,66,92,1,0.010869565217391304,0.02533783783783784,0.02533783783783784,19,66,407.42286817535216,55.992157739917694,463.4150259152695,0.12082508034634869
32,19,66,92,4,0.043478260869565216,0.015314770743650055,0.0038286926859125133,19,66,427.5506534242982,49.15939549765219,476.7100489219505,0.10312221361564129
