rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,20,87,173,3,0.017341040462427744,0.015392820512820515,0.005130940170940171,20,87,492.99714501799366,72.79828404735552,565.795429065349,0.12866538029056324
1,20,87,173,10,0.057803468208092484,0.03487992542424687,0.0034879925424246873,20,87,517.2631521538241,67.17671562026119,584.439867774085,0.11494204848843119
2,20,87,173,5,0.028901734104046242,0.038569634268559,0.0077139268537118,20,87,552.0572911122367,61.76878655637507,613.8260776686122,0.1006291338924221
3,20,87,173,8,0.046242774566473986,0.058010100693650424,0.007251262586706303,20,87,463.6657893594237,73.75859964605769,537.4243890054813,0.1372446080881257
4,20,87,173,7,0.04046242774566474,0.015681486502398628,0.0022402123574855183,20,87,478.05826938745,63.20344087716177,541.2617102646116,0.11677057452717822
5,20,87,173,10,0.057803468208092484,0.04168935979718331,0.00416893597971833,20,87,485.85814188311866,68.44837235269411,554.3065142358122,0.12348469771649645
6,20,87,173,9,0.05202312138728324,0.037108427918281776,0.004123158657586864,20,87,496.05672942308814,63.66668915793096,559.7234185810191,0.11374669532201341
7,20,87,173,3,0.017341040462427744,0.0026624544481687338,0.0008874848160562446,20,87,480.1170438160726,62.34304977635306,542.4600935924257,0.11492651812133882
8,20,87,173,1,0.005780346820809248,0.00672,0.00672,20,87,503.02103199887637,62.393957797345855,565.4149897962222,0.11035073162781354
9,20,87,173,7,0.04046242774566474,0.02448426930920012,0.0034977527584571593,20,87,430.75949389607354,56.393274289555016,487.15276818562904,0.11576096447032078
10,20,87,173,7,0.04046242774566474,0.031548475410374525,0.004506925058624932,20,87,455.9135914273834,57.2661942796905,513.1797857070734,0.11159090025494194
11,20,87,173,2,0.011560693641618497,0.0023662835249042146,0.0011831417624521073,20,87,460.85776777490213,56.58706141254617,517.444829187448,0.10935863732836165
12,20,87,173,3,0.017341040462427744,0.007615049728661058,0.002538349909553686,20,87,483.20547287674486,44.26196582867744,527.4674387054218,0.08391411977450366
13,20,87,173,7,0.04046242774566474,0.017091549683999913,0.0024416499548571306,20,87,507.7452904105511,49.013029072074005,556.758319482625,0.08803286337529721
14,20,87,173,3,0.017341040462427744,0.0011739476601227753,0.0003913158867075918,20,87,545.6288535212555,52.77130191388527,598.4001554351405,0.08818731317927449
15,20,87,173,6,0.03468208092485549,0.028000023977344097,0.004666670662890683,20,87,527.8943359811326,76.2395990837342,604.1339350648665,0.12619651812068508
16,20,87,173,2,0.011560693641618497,0.0011363668430335095,0.0005681834215167548,20,87,461.0318460290495,66.96205688995914,527.9939029190084,0.12682354193819315
17,20,87,173,4,0.023121387283236993,0.0038145850565205405,0.0009536462641301351,20,87,466.5968656361655,65.52403541338032,532.1209010495454,0.1231374961670213
18,20,87,173,0,0.0,0.0,0.0,20,87,477.33333853035737,56.82601856281728,534.1593570931743,0.10638401781831001
19,20,87,173,7,0.04046242774566474,0.013554962887509342,0.0019364232696441918,20,87,498.00729029339357,67.23650002237872,565.2437903157723,0.11895132892095495
20,20,87,173,3,0.017341040462427744,0.006942734142603917,0.0023142447142013058,20,87,513.4857591428045,56.31594426260272,569.8017034054067,0.09883428555238039
21,20,87,173,3,0.017341040462427744,0.004356028408149813,0.001452009469383271,20,87,535.7917532986231,67.81833367356761,603.6100869721901,0.11235454002062126
22,20,87,173,4,0.023121387283236993,0.004852291412291413,0.001213072853072853,20,87,467.58177818552616,53.13474049741318,520.716518682939,0.10204158806370918
23,20,87,173,6,0.03468208092485549,0.014550396052859108,0.0024250660088098513,20,87,504.4036917148034,61.86334438367525,566.2670360984789,0.10924765250314987
24,20,87,173,9,0.05202312138728324,0.07370113518115323,0.008189015020128136,20,87,479.9070082789354,70.46349724479599,550.3705055237308,0.12802920312334534
25,20,87,173,7,0.04046242774566474,0.032202662316142876,0.004600380330877554,20,87,476.84642904421145,60.900065223624146,537.7464942678354,0.11325051092437556
26,20,87,173,2,0.011560693641618497,0.004371381306865178,0.002185690653432589,20,87,496.82114626509764,52.7949778452095,549.6161241103067,0.09605791302187792
27,20,87,173,8,0.046242774566473986,0.010691264059903817,0.0013364080074879771,20,87,459.2885137419885,60.163548785689095,519.452062527677,0.1158211760541109
28,20,87,173,13,0.07514450867052024,0.042126618711964506,0.0032405091316895776,20,87,480.63640243961606,64.5710566056418,545.2074590452573,0.11843392003241429
29,20,87,173,1,0.005780346820809248,0.0052310374891020054,0.0052310374891020054,20,87,551.5488523712856,73.50756953093322,625.0564219022183,0.1176014947694314
30,20,87,173,3,0.017341040462427744,0.006873935117951767,0.0022913117059839222,20,87,544.0510172952968,77.59027174446302,621.6412890397596,0.12481518379243374
31,20,87,173,5,0.028901734104046242,0.056236551480528384,0.011247310296105678,20,87,503.99920146645815,64.70333751202878,568.7025389784867,0.11377360408527458
