rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,21,108,272,12,0.04411764705882353,0.019643899285984243,0.0016369916071653536,21,108,648.639822504261,72.20789924202238,720.847721746284,0.10017080870713678
1,21,108,272,5,0.01838235294117647,0.024107110478717227,0.004821422095743445,21,108,685.0292211697216,81.88763607221124,766.9168572419321,0.10677511557993946
2,21,108,272,9,0.03308823529411765,0.024691152727262265,0.0027434614141402516,21,108,774.7439744639536,90.84302514465035,865.5869996086041,0.1049496182194594
3,21,108,272,8,0.029411764705882353,0.019080603739161456,0.002385075467395182,21,108,735.7996907753916,79.65699735140217,815.4566881267933,0.0976839095334227
4,21,108,272,2,0.007352941176470588,0.004639229763196705,0.0023196148815983527,21,108,732.7728150026445,58.895242382236994,791.668057384882,0.07439385969011522
5,21,108,272,12,0.04411764705882353,0.024033382130741927,0.002002781844228494,21,108,743.8294369690041,75.67186102937606,819.50129799838,0.09233891540404326
6,21,108,272,19,0.06985294117647059,0.09611081106353342,0.005058463740185969,21,108,642.3887738088878,98.20523490338245,740.5940087122701,0.13260333428046459
7,21,108,272,7,0.025735294117647058,0.014459724845518518,0.002065674977931217,21,108,677.3475516269217,78.16691513165777,755.5144667585797,0.10346183768925177
8,21,108,272,7,0.025735294117647058,0.04478743641252638,0.006398205201789483,21,108,711.8807773111834,74.47425598453813,786.3550332957213,0.09470818247631271
9,21,108,272,12,0.04411764705882353,0.034107084794112674,0.0028422570661760563,21,108,716.6902062232134,81.02067823168099,797.7108844548947,0.10156646951990057
10,21,108,272,11,0.04044117647058824,0.040935614031360826,0.0037214194573964385,21,108,651.9499801664126,67.30739434443585,719.2573745108481,0.0935790118109115
11,21,108,272,21,0.07720588235294118,0.08578316731876344,0.0040849127294649255,21,108,747.128947397959,98.46860926628518,845.5975566642446,0.11644854989260975
12,21,108,272,10,0.03676470588235294,0.026465636794627802,0.0026465636794627805,21,108,702.5544395320054,71.44183901091036,773.9962785429158,0.09230256138363219
13,21,108,272,12,0.04411764705882353,0.10845243268577263,0.009037702723814387,21,108,700.6128451265016,85.88704913395357,786.4998942604543,0.10920160290003998
14,21,108,272,7,0.025735294117647058,0.0373512362377075,0.005335890891101071,21,108,706.1133300761107,108.49335770719735,814.6066877833074,0.1331849582556552
15,21,108,272,11,0.04044117647058824,0.019853763778287428,0.0018048876162079482,21,108,664.1569395213182,65.95086574513077,730.1078052664491,0.09033031186546805
16,21,108,272,3,0.011029411764705883,0.015174996250265069,0.005058332083421689,21,108,721.483072436822,86.41163098153574,807.8947034183578,0.10695902648688191
17,21,108,272,14,0.051470588235294115,0.042510395068940894,0.003036456790638635,21,108,729.2517012982145,85.34855159547949,814.6002528936937,0.10477353928174828
18,21,108,272,13,0.04779411764705882,0.0556314552178331,0.004279342709064085,21,108,693.7388093326399,101.02586717364596,794.7646765062866,0.12711418884108755
19,21,108,272,14,0.051470588235294115,0.054966854061916384,0.003926203861565456,21,108,640.0196677441911,96.82591930569556,736.845587049886,0.1314059838416868
20,21,108,272,15,0.05514705882352941,0.020649396114977552,0.0013766264076651702,21,108,708.6296796982459,74.70609333887663,783.3357730371229,0.09536918382934141
21,21,108,272,9,0.03308823529411765,0.11452667057621144,0.012725185619579048,21,108,705.7613498905282,76.92018753360176,782.6815374241297,0.09827775903179282
22,21,108,272,9,0.03308823529411765,0.018602713072863312,0.0020669681192070346,21,108,682.2608638955384,69.44684783509875,751.7077117306368,0.09238544018021727
23,21,108,272,4,0.014705882352941176,0.050369832188014003,0.012592458047003503,21,108,764.5259496119392,77.56818512289028,842.094134734829,0.09211343711272385
24,21,108,272,18,0.0661764705882353,0.06392574963615971,0.0035514305353422063,21,108,693.7638792400969,74.05880615884271,767.8226853989399,0.0964530061004433
25,21,108,272,11,0.04044117647058824,0.031722838862867794,0.0028838944420788905,21,108,797.479906141636,76.6858171207647,874.1657232624007,0.0877245756497658
26,21,108,272,13,0.04779411764705882,0.02051647262397575,0.0015781902018442884,21,108,717.9427945137882,83.70114938451745,801.6439438983051,0.10441187764419213
27,21,108,272,13,0.04779411764705882,0.025124331179059118,0.0019326408599276248,21,108,757.1923574883546,79.41961968519597,836.6119771735504,0.0949300534203574
28,21,108,272,14,0.051470588235294115,0.03923481534651996,0.0028024868104657113,21,108,764.9513874945056,87.08868682245115,852.0400743169567,0.1022119609717493
29,21,108,272,13,0.04779411764705882,0.03066295773905905,0.0023586890568506966,21,108,705.6570950114972,91.56459307792142,797.2216880894177,0.11485461879161944
30,21,108,272,5,0.01838235294117647,0.02097448011797176,0.004194896023594352,21,108,732.7497232609438,63.443712975579956,796.1934362365248,0.07968379301827447
31,21,108,272,13,0.04779411764705882,0.03484730214017921,0.0026805617030907086,21,108,704.06313208227,76.67044037376789,780.7335724560386,0.09820307859002059
32,21,108,272,11,0.04044117647058824,0.02957227651860739,0.0026883887744188536,21,108,668.3269059225411,75.37944791159303,743.7063538341346,0.1013564661952647
33,21,108,272,15,0.05514705882352941,0.06892718142575231,0.004595145428383487,21,108,745.0773464215451,92.50657111254914,837.5839175340946,0.11044454075108669
34,21,108,272,9,0.03308823529411765,0.04037120908793578,0.004485689898659531,21,108,720.4765437511608,95.08103006041651,815.5575738115775,0.11658408077316633
35,21,108,272,6,0.022058823529411766,0.012598282936542941,0.002099713822757157,21,108,768.9294645820075,71.80385214153387,840.7333167235407,0.08540621706460243
36,21,108,272,17,0.0625,0.01893124941551295,0.0011136029067948796,21,108,707.1923706041749,82.8438298595784,790.0362004637534,0.10486080234165074
37,21,108,272,17,0.0625,0.07816899235568961,0.004598176020922919,21,108,752.463380809747,119.06540356565885,871.5287843754053,0.13661671960839358
38,21,108,272,13,0.04779411764705882,0.044996957297396806,0.0034613044074920615,21,108,722.0783824334949,77.33333956849978,799.4117220019949,0.09673781036739264
39,21,108,272,13,0.04779411764705882,0.11844194432386511,0.00911091879414347,21,108,743.4596168660611,102.84590246683388,846.3055193328943,0.12152337438127878
40,21,108,272,6,0.022058823529411766,0.005632785204760479,0.0009387975341267465,21,108,679.6935122342132,68.06492065027686,747.7584328844902,0.0910252798991719
41,21,108,272,4,0.014705882352941176,0.008263175880638055,0.0020657939701595137,21,108,712.7675459920202,71.34682752386561,784.1143735158853,0.09099033244851008
42,21,108,272,12,0.04411764705882353,0.019784621357291542,0.0016487184464409619,21,108,692.9009923061673,68.2988647103257,761.1998570164923,0.08972527264787167
43,21,108,272,7,0.025735294117647058,0.05759414747843219,0.00822773535406174,21,108,706.3483701404875,94.0324555815839,800.3808257220713,0.11748464300947191
44,21,108,272,16,0.058823529411764705,0.03817974575247944,0.002386234109529965,21,108,703.4906060436199,81.26642359661052,784.7570296402305,0.10355615882009604
45,21,108,272,12,0.04411764705882353,0.034004727913559026,0.002833727326129918,21,108,697.225663776891,63.922323980344395,761.1479877572364,0.08398146616493722
46,21,108,272,4,0.014705882352941176,0.05111383432884447,0.012778458582211117,21,108,707.7555884292201,82.39559549696015,790.1511839261805,0.10427826620159558
47,21,108,272,7,0.025735294117647058,0.04600283422393245,0.006571833460561778,21,108,723.5376882959948,93.929612977035,817.4673012730301,0.11490320509549405
48,21,108,272,8,0.029411764705882353,0.028865174932570077,0.00360814686657126,21,108,737.5200767012918,84.91622881708878,822.4363055183807,0.10324961124322712
49,21,108,272,1,0.003676470588235294,0.0008080808080808082,0.0008080808080808082,21,108,705.9309691250713,98.28048621370264,804.2114553387737,0.12220726969414038
50,21,108,272,17,0.0625,0.09584272181333295,0.005637807165490174,21,108,813.6833696231809,77.52331685544698,891.2066864786276,0.08698691115274312
51,21,108,272,12,0.04411764705882353,0.04365235790542618,0.0036376964921188484,21,108,767.6522744517308,104.18422520031663,871.8364996520469,0.11949972872424697
52,21,108,272,10,0.03676470588235294,0.01856569704068728,0.0018565697040687276,21,108,703.8864818835391,89.10862702364223,792.9951089071802,0.1123697057179105
53,21,108,272,7,0.025735294117647058,0.014498921272376968,0.002071274467482424,21,108,775.1101428473353,78.86675490371532,853.9768977510506,0.09235232839601519
54,21,108,272,10,0.03676470588235294,0.07196157906732344,0.007196157906732344,21,108,674.0887595278662,84.5965642876966,758.6853238155632,0.11150415281825336
55,21,108,272,10,0.03676470588235294,0.01493058601750497,0.001493058601750497,21,108,795.6702485671829,69.96671269059973,865.6369612577821,0.08082685446903418
56,21,108,272,17,0.0625,0.07854126877223057,0.004620074633660621,21,108,762.7303843043906,96.33595393008663,859.0663382344777,0.11214029655506329
57,21,108,272,6,0.022058823529411766,0.008358967486805821,0.0013931612478009702,21,108,763.7947567530699,69.17943002046583,832.9741867735353,0.0830511090486817
58,21,108,272,18,0.0661764705882353,0.017792173427454983,0.0009884540793030545,21,108,798.4211654440966,93.36489684748484,891.7860622915807,0.10469427679500783
59,21,108,272,8,0.029411764705882353,0.007894984767638643,0.0009868730959548301,21,108,699.184481957725,83.34556688382352,782.5300488415484,0.10650781654609644
60,21,108,272,19,0.06985294117647059,0.05398810378620164,0.002841479146642192,21,108,692.4102246677705,80.40975999547906,772.8199846632493,0.10404720580630046
61,21,108,272,4,0.014705882352941176,0.005147779335631274,0.0012869448339078186,21,108,724.6770313288284,76.64022291844478,801.3172542472732,0.09564279629849937
62,21,108,272,8,0.029411764705882353,0.02249241314604721,0.0028115516432559015,21,108,707.6753500237371,68.08951541036843,775.764865434105,0.08777081618960235
63,21,108,272,5,0.01838235294117647,0.04831017895328163,0.009662035790656326,21,108,700.4122471258299,87.45312289842266,787.8653700242526,0.11100008481871798
64,21,108,272,8,0.029411764705882353,0.03894048095235249,0.004867560119044061,21,108,725.8724400611864,82.80237882988388,808.67481889107,0.10239267613579237
65,21,108,272,14,0.051470588235294115,0.050126697517697,0.0035804783941212137,21,108,664.7396569085591,71.5182297567589,736.2578866653178,0.09713747187236459
66,21,108,272,8,0.029411764705882353,0.026313953997317768,0.0032892442496647205,21,108,690.5269067560358,70.43182454452143,760.9587313005567,0.09255669413786238
67,21,108,272,13,0.04779411764705882,0.04812683311773747,0.003702064085979805,21,108,725.8579865294802,94.8937309575817,820.7517174870626,0.1156180717454027
68,21,108,272,6,0.022058823529411766,0.03288901356643689,0.0054815022610728145,21,108,732.4756280197477,82.3812330450646,814.8568610648123,0.10109902362166175
69,21,108,272,4,0.014705882352941176,0.005479518532681482,0.0013698796331703706,21,108,711.1953098500421,76.6596123703561,787.854922220398,0.09730168614585492
70,21,108,272,26,0.09558823529411764,0.13488792138493572,0.0051879969763436815,21,108,713.4186561351506,105.00565457795564,818.4243107131065,0.1283022183034403
71,21,108,272,12,0.04411764705882353,0.06914329099286627,0.005761940916072188,21,108,756.9996496686338,80.11021996284501,837.1098696314787,0.09569857299390339
72,21,108,272,3,0.011029411764705883,0.00331604484209033,0.0011053482806967765,21,108,665.9222867407765,81.17695979790584,747.099246538682,0.10865619283381622
