rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,19,77,134,2,0.014925373134328358,0.003580952380952381,0.0017904761904761904,19,77,349.7208994175038,45.356222252174646,395.07712166967923,0.11480346434764353
1,19,77,134,10,0.07462686567164178,0.05395941259691243,0.005395941259691243,19,77,297.18560221246463,69.74164160473089,366.92724381719586,0.19006940144100165
2,19,77,134,6,0.04477611940298507,0.04398307144106678,0.007330511906844462,19,77,304.6673645378538,65.85875427861613,370.5261188164704,0.17774389154800016
3,19,77,134,4,0.029850746268656716,0.0038730844861113063,0.0009682711215278266,19,77,367.27468580592864,48.49456745773668,415.7692532636657,0.11663817628905616
4,19,77,134,5,0.03731343283582089,0.012193144891319332,0.0024386289782638666,19,77,338.82635635084637,44.33460155715558,383.1609579080025,0.11570751310158375
5,19,77,134,5,0.03731343283582089,0.006447828684475067,0.0012895657368950134,19,77,358.71148309018906,41.91449015098662,400.62597324117644,0.10462249816677298
6,19,77,134,9,0.06716417910447761,0.037777270399680186,0.004197474488853354,19,77,359.10896397562993,62.66718567430403,421.7761496499342,0.14857925401025293
7,19,77,134,5,0.03731343283582089,0.02618379052770533,0.0052367581055410665,19,77,350.03862402124696,47.70714596225704,397.7457699835043,0.11994381728870578
8,19,77,134,6,0.04477611940298507,0.00888535805521757,0.0014808930092029282,19,77,296.5887939725107,49.872677448494336,346.46147142100517,0.14394869722149045
9,19,77,134,6,0.04477611940298507,0.05543480667419515,0.00923913444569919,19,77,319.1607811859435,48.42697785513014,367.58775904107387,0.13174262924712615
10,19,77,134,3,0.022388059701492536,0.014096459096459096,0.004698819698819699,19,77,364.1835695044611,54.54397649282137,418.7275459972834,0.13026125702552951
11,19,77,134,8,0.05970149253731343,0.01633736397398138,0.0020421704967476723,19,77,307.01112279509897,48.040792154147994,355.0519149492475,0.13530638797150307
12,19,77,134,4,0.029850746268656716,0.01594952380952381,0.003987380952380952,19,77,369.57273142802694,37.48612643495117,407.0588578629784,0.09209018723176762
