rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,21,210,1330,25,0.018796992481203006,0.010430517127851197,0.0004172206851140479,21,210,5347.457844837465,208.68257571766745,5556.140420555132,0.03755890958868482
1,21,210,1330,9,0.006766917293233083,0.0019951110895434256,0.00022167900994926945,21,210,5596.85959642946,182.29176841347666,5779.151364842934,0.03154299946570633
2,21,210,1330,22,0.016541353383458645,0.005714235007044718,0.00025973795486566897,21,210,5556.5540445937,203.74973510963633,5760.303779703336,0.03537135243241108
3,21,210,1330,7,0.005263157894736842,0.0015356733850501194,0.00021938191215001708,21,210,5295.849429686971,188.2826369986309,5484.132066685603,0.034332257996190385
4,21,210,1330,18,0.013533834586466165,0.003745028703335074,0.00020805715018528187,21,210,5418.703331443623,212.28288608432678,5630.986217527949,0.037699059788770146
5,21,210,1330,17,0.012781954887218045,0.004880781787806841,0.00028710481104746123,21,210,5423.627951263867,226.34434240689657,5649.972293670762,0.04006114200957287
6,21,210,1330,12,0.009022556390977444,0.004232673826916063,0.0003527228189096719,21,210,5454.242164549687,178.24061065578667,5632.482775205468,0.031645123077945786
7,21,210,1330,19,0.014285714285714285,0.01020731738502296,0.0005372272307906821,21,210,5396.051972023255,185.52089162785995,5581.57286365111,0.03323810262086303
8,21,210,1330,22,0.016541353383458645,0.006985580224643394,0.000317526373847427,21,210,5516.563947019586,208.98179182239062,5725.545738841975,0.03649989037807571
9,21,210,1330,14,0.010526315789473684,0.006101736073534244,0.00043583829096673174,21,210,5438.841711780453,191.35148192182135,5630.193193702276,0.03398666357237261
10,21,210,1330,17,0.012781954887218045,0.0028776526662219106,0.00016927368624834768,21,210,5356.230369109726,235.54539534817917,5591.775764457903,0.04212354094120478
11,21,210,1330,16,0.012030075187969926,0.0030117794525957578,0.00018823621578723486,21,210,5178.0128660728815,196.06097765351285,5374.073843726392,0.03648274723325421
12,21,210,1330,16,0.012030075187969926,0.007781797534817821,0.0004863623459261138,21,210,5412.54859541821,193.89825216098683,5606.446847579195,0.034584872992189354
13,21,210,1330,17,0.012781954887218045,0.0031530803260208557,0.00018547531329534444,21,210,5543.389135655569,210.76973144134445,5754.158867096908,0.03662911231849289
14,21,210,1330,20,0.015037593984962405,0.00308198068715279,0.00015409903435763953,21,210,5524.643101402882,208.63285159028374,5733.275952993168,0.03638981505527619
15,21,210,1330,16,0.012030075187969926,0.007377362238518631,0.00046108513990741445,21,210,5286.779685069956,208.57236537096293,5495.352050440921,0.037954322754304354
16,21,210,1330,23,0.017293233082706767,0.01698113897764579,0.0007383103903324257,21,210,5419.307321020597,236.1074941143359,5655.414815134929,0.04174892591122916
17,21,210,1330,19,0.014285714285714285,0.00733305756104356,0.00038595039794966105,21,210,5343.826421708065,209.94207581817523,5553.768497526238,0.03780173334766973
18,21,210,1330,14,0.010526315789473684,0.005071023032648125,0.00036221593090343744,21,210,5447.990462424126,212.67833678409653,5660.668799208217,0.03757123836919143
19,21,210,1330,10,0.007518796992481203,0.0026186722503633484,0.0002618672250363348,21,210,5726.8501583029265,195.54219207746692,5922.392350380393,0.03301743290697506
20,21,210,1330,21,0.015789473684210527,0.011084871415951197,0.0005278510198071998,21,210,5400.214696243882,214.3152124339136,5614.529908677792,0.038171532776532006
21,21,210,1330,16,0.012030075187969926,0.017729100859358516,0.0011080688037099073,21,210,5265.093950502138,206.00831537745168,5471.102265879586,0.03765389593651323
22,21,210,1330,10,0.007518796992481203,0.004570391037964148,0.00045703910379641484,21,210,5560.520399767874,210.03189478914618,5770.552294557016,0.0363971911297391
23,21,210,1330,24,0.01804511278195489,0.003925923723965683,0.00016358015516523678,21,210,5457.420796122098,210.14348291241456,5667.5642790345155,0.03707827076435259
24,21,210,1330,27,0.02030075187969925,0.005862271987754446,0.00021712118473164613,21,210,5306.490646936041,195.12667197080953,5501.617318906849,0.03546714732415821
25,21,210,1330,24,0.01804511278195489,0.006916497971470624,0.00028818741547794266,21,210,5496.138437793394,199.29288052869367,5695.431318322083,0.03499170991450159
26,21,210,1330,23,0.017293233082706767,0.009275956803956155,0.0004033024697372241,21,210,5464.400534744417,230.24916239282155,5694.649697137238,0.04043254188375631
27,21,210,1330,30,0.022556390977443608,0.01577719339954148,0.0005259064466513827,21,210,5561.838919137021,196.90728254271244,5758.746201679726,0.034192734954229795
28,21,210,1330,8,0.006015037593984963,0.0009372228251444158,0.00011715285314305196,21,210,5561.558954837936,180.56711328091632,5742.12606811885,0.0314460377809279
29,21,210,1330,16,0.012030075187969926,0.0032015708571564595,0.00020009817857227874,21,210,5474.4235654477,202.81673682659368,5677.240302274291,0.03572452917755581
30,21,210,1330,15,0.011278195488721804,0.006004632467534696,0.0004003088311689797,21,210,5292.680512568244,205.06034866788963,5497.740861236136,0.03729902042377875
31,21,210,1330,22,0.016541353383458645,0.006035040368840971,0.0002743200167654986,21,210,5542.017619381698,213.47059466505812,5755.488214046758,0.037089919521347464
32,21,210,1330,11,0.008270676691729323,0.003893982302024652,0.00035399839109315017,21,210,5365.328327426578,205.54641739047895,5570.874744817055,0.03689661441081799
33,21,210,1330,37,0.027819548872180452,0.035983267170758025,0.0009725207343448114,21,210,5426.452735795413,230.7250236158651,5657.177759411275,0.040784474773137756
34,21,210,1330,23,0.017293233082706767,0.007595867611648582,0.0003302551135499384,21,210,5505.123660858775,184.06605323747934,5689.189714096252,0.03235365007804435
35,21,210,1330,15,0.011278195488721804,0.0065491279320831226,0.0004366085288055416,21,210,5611.189925598981,180.26984707191545,5791.4597726709,0.031126840925768666
36,21,210,1330,14,0.010526315789473684,0.007984998686565659,0.0005703570490404042,21,210,5278.215265469706,211.95880047167384,5490.174065941376,0.038606936305821876
37,21,210,1330,15,0.011278195488721804,0.004473165348547109,0.00029821102323647394,21,210,5442.251608590269,235.9657468322162,5678.217355422487,0.041556307563125894
38,21,210,1330,13,0.009774436090225564,0.0015884134075341704,0.0001221856467333977,21,210,5518.588500082726,182.98973458657076,5701.578234669292,0.032094575756914906
39,21,210,1330,10,0.007518796992481203,0.014366974735895384,0.0014366974735895385,21,210,5232.343469182838,220.4598606718203,5452.80332985466,0.040430554218741005
40,21,210,1330,12,0.009022556390977444,0.0026580785869545417,0.00022150654891287848,21,210,5504.4606920895085,196.10634337444475,5700.5670354639515,0.034401199416556685
41,21,210,1330,7,0.005263157894736842,0.0028726942463388853,0.0004103848923341265,21,210,5373.2326092557405,214.43813020642742,5587.670739462168,0.03837701614949986
42,21,210,1330,17,0.012781954887218045,0.0012646045203380915,7.438850119635832e-05,21,210,5442.424038529004,221.7721706057571,5664.19620913476,0.039153334809994896
43,21,210,1330,24,0.01804511278195489,0.005231008924385894,0.00021795870518274553,21,210,5347.858709100288,212.4116860725599,5560.270395172845,0.03820168282768502
44,21,210,1330,27,0.02030075187969925,0.01541842195836948,0.0005710526651247955,21,210,5512.137169258349,240.7157120498694,5752.852881308215,0.041842841632885625
45,21,210,1330,11,0.008270676691729323,0.002433778992173524,0.00022125263565213855,21,210,5292.558677146673,199.37364908001956,5491.9323262266935,0.036303005433608815
46,21,210,1330,25,0.018796992481203006,0.014463716136104737,0.0005785486454441894,21,210,5389.993732178007,222.17488904007286,5612.168621218083,0.039588063729961716
47,21,210,1330,19,0.014285714285714285,0.012919459395185292,0.0006799715471150153,21,210,5390.702372887861,200.63626944715415,5591.338642335011,0.03588340508085663
48,21,210,1330,26,0.019548872180451128,0.00934254336974383,0.0003593285911439934,21,210,5269.579835294622,224.1520976086918,5493.731932903312,0.040801426124596606
49,21,210,1330,28,0.021052631578947368,0.007353401259840203,0.0002626214735657215,21,210,5367.695414082161,199.0041225064818,5566.699536588641,0.035749032473995274
50,21,210,1330,26,0.019548872180451128,0.01038871988057223,0.0003995661492527781,21,210,5516.05281900247,202.22012101974522,5718.272940022217,0.03536384554231501
51,21,210,1330,19,0.014285714285714285,0.006418042944482284,0.0003377917339201202,21,210,5468.0849852065185,182.9031807676733,5650.988165974189,0.032366583577182584
52,21,210,1330,22,0.016541353383458645,0.011322592060714936,0.0005146632754870424,21,210,5217.214647548912,230.69491553687928,5447.909563085786,0.04234558464406848
53,21,210,1330,5,0.0037593984962406013,0.0023690060339018166,0.0004738012067803633,21,210,5372.067947260075,203.15311087911041,5575.221058139178,0.03643857503776112
54,21,210,1330,37,0.027819548872180452,0.007611726556867038,0.00020572233937478482,21,210,5366.465384468952,192.7775113873388,5559.242895856286,0.03467693623011689
55,21,210,1330,24,0.01804511278195489,0.011799748433229553,0.000491656184717898,21,210,5281.2708003458565,205.67143561106462,5486.9422359569235,0.03748379821884447
56,21,210,1330,17,0.012781954887218045,0.008088494924058786,0.0004757938190622815,21,210,5403.846602248961,237.86935137024477,5641.7159536192,0.04216258906435194
57,21,210,1330,15,0.011278195488721804,0.003573832017554019,0.00023825546783693463,21,210,5487.933926768959,220.74387586818204,5708.677802637139,0.03866812657848877
58,21,210,1330,8,0.006015037593984963,0.0007826160397917035,9.782700497396293e-05,21,210,5353.1954972062085,194.5889806009768,5547.784477807185,0.03507507931849039
59,21,210,1330,18,0.013533834586466165,0.00308073768464064,0.00017115209359114668,21,210,5386.204447908338,176.47315887880077,5562.677606787136,0.03172449876719123
60,21,210,1330,13,0.009774436090225564,0.0012704331571127016,9.772562747020782e-05,21,210,5454.827820649203,209.29597960779842,5664.123800257,0.036951166144762224
61,21,210,1330,17,0.012781954887218045,0.008979455597800936,0.0005282032704588786,21,210,5567.352010727101,197.07199311159894,5764.424003838691,0.03418762967130163
