stratum,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
pooled,0.0,10,0.0,21,210,1330,18,0.013533834586466165,0.003791663484566735,0.00021064797136481858
pooled,0.0,10,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,0.0,10,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,0.0,25,0.0,21,210,1330,18,0.013533834586466165,0.003791663484566735,0.00021064797136481858
pooled,0.0,25,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,0.0,25,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,0.0,50,0.0,21,210,1330,18,0.013533834586466165,0.003791663484566735,0.00021064797136481858
pooled,0.0,50,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,0.0,50,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,0.0,100,0.0,21,204,1231,13,0.010560519902518278,0.0017724174260108163,0.00013633980200083203
pooled,0.0,100,0.05,21,204,1231,0,0.0,0.0,0.0
pooled,0.0,100,0.1,21,204,1231,0,0.0,0.0,0.0
pooled,2.0,10,0.0,21,210,1330,19,0.014285714285714285,0.0031308113318395925,0.00016477954378103118
pooled,2.0,10,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,2.0,10,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,2.0,25,0.0,21,210,1330,19,0.014285714285714285,0.0031308113318395925,0.00016477954378103118
pooled,2.0,25,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,2.0,25,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,2.0,50,0.0,21,210,1330,19,0.014285714285714285,0.0031308113318395925,0.00016477954378103118
pooled,2.0,50,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,2.0,50,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,2.0,100,0.0,21,201,1195,10,0.008368200836820083,0.0006346565470024647,6.346565470024647e-05
pooled,2.0,100,0.05,21,201,1195,0,0.0,0.0,0.0
pooled,2.0,100,0.1,21,201,1195,0,0.0,0.0,0.0
pooled,5.0,10,0.0,21,210,1330,20,0.015037593984962405,0.0020000968532291113,0.00010000484266145555
pooled,5.0,10,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,5.0,10,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,5.0,25,0.0,21,210,1330,20,0.015037593984962405,0.0020000968532291113,0.00010000484266145555
pooled,5.0,25,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,5.0,25,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,5.0,50,0.0,21,210,1330,20,0.015037593984962405,0.0020000968532291113,0.00010000484266145555
pooled,5.0,50,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,5.0,50,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,5.0,100,0.0,21,193,1115,16,0.014349775784753363,0.0011850350047213098,7.406468779508186e-05
pooled,5.0,100,0.05,21,193,1115,0,0.0,0.0,0.0
pooled,5.0,100,0.1,21,193,1115,0,0.0,0.0,0.0
pooled,10.0,10,0.0,21,210,1330,16,0.012030075187969926,0.002163789220389765,0.00013523682627436032
pooled,10.0,10,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,10.0,10,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,10.0,25,0.0,21,210,1330,16,0.012030075187969926,0.002163789220389765,0.00013523682627436032
pooled,10.0,25,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,10.0,25,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,10.0,50,0.0,21,210,1330,16,0.012030075187969926,0.002163789220389765,0.00013523682627436032
pooled,10.0,50,0.05,21,210,1330,0,0.0,0.0,0.0
pooled,10.0,50,0.1,21,210,1330,0,0.0,0.0,0.0
pooled,10.0,100,0.0,21,187,1087,8,0.007359705611775529,0.0006789951161580225,8.487438951975281e-05
pooled,10.0,100,0.05,21,187,1087,0,0.0,0.0,0.0
pooled,10.0,100,0.1,21,187,1087,0,0.0,0.0,0.0
