model_a,model_b,margin,support,total_observations,wins_a,wins_b
HuggingFaceH4/zephyr-7b-beta,OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,0.3231707317073171,164,175,,
HuggingFaceH4/zephyr-7b-beta,claude-2,0.28,175,183,,
HuggingFaceH4/zephyr-7b-beta,claude-2.1,0.28191489361702127,188,199,,
HuggingFaceH4/zephyr-7b-beta,claude-instant-1,-0.021505376344086023,186,197,,
HuggingFaceH4/zephyr-7b-beta,command,-0.23153692614770457,167,176,,
HuggingFaceH4/zephyr-7b-beta,command-light,0.10982658959537572,173,191,,
HuggingFaceH4/zephyr-7b-beta,command-nightly,0.053763440860215055,186,195,,
HuggingFaceH4/zephyr-7b-beta,google/flan-t5-xxl,0.8224852071005917,169,177,,
HuggingFaceH4/zephyr-7b-beta,gpt-3.5-turbo,0.34183673469387754,196,210,,
HuggingFaceH4/zephyr-7b-beta,gpt-4,0.20710059171597633,169,181,,
HuggingFaceH4/zephyr-7b-beta,gpt-4-1106-preview,0.18864468864468867,182,191,,
HuggingFaceH4/zephyr-7b-beta,luminous-extended-control,0.7318435754189944,179,183,,
HuggingFaceH4/zephyr-7b-beta,luminous-supreme-control,0.7919463087248322,149,160,,
HuggingFaceH4/zephyr-7b-beta,meta-llama/Llama-2-13b-chat-hf,0.1415929203539823,113,122,,
HuggingFaceH4/zephyr-7b-beta,meta-llama/Llama-2-70b-chat-hf,0.20080321285140565,166,179,,
HuggingFaceH4/zephyr-7b-beta,meta-llama/Llama-2-7b-chat-hf,0.12345679012345678,162,174,,
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-Instruct-v0.1,0.27860696517412936,201,212,,
HuggingFaceH4/zephyr-7b-beta,models/chat-bison-001,0.13687600644122383,207,226,,
HuggingFaceH4/zephyr-7b-beta,tiiuae/falcon-7b-instruct,0.42162162162162165,185,193,,
HuggingFaceH4/zephyr-7b-beta,timdettmers/guanaco-33b-merged,0.21869488536155204,189,207,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,claude-2,-0.012345679012345678,162,168,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,claude-2.1,-0.23214285714285715,168,179,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,claude-instant-1,-0.38235294117647056,170,181,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,command,-0.5548387096774193,155,161,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,command-light,-0.2389937106918239,159,166,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,command-nightly,-0.26744186046511625,172,180,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,google/flan-t5-xxl,0.6938775510204082,147,153,,
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,gpt-3.5-turbo,-0.21845574387947267,177,187,,
