stratum,score_delta,n_min,n_models,n_edges,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
pooled,0.0,10,21,210,5134.924899326321,206.1200375623098,5341.044936888631,0.03859170630426915
pooled,0.0,25,21,210,5134.924899326321,206.1200375623098,5341.044936888631,0.03859170630426915
pooled,0.0,50,21,210,5134.924899326321,206.1200375623098,5341.044936888631,0.03859170630426915
pooled,0.0,100,21,204,5036.3025909507705,200.68993770649274,5236.992528657265,0.03832160092043295
pooled,2.0,10,21,210,5256.410281219796,222.1698236329098,5478.580104852721,0.04055244595878412
pooled,2.0,25,21,210,5256.410281219796,222.1698236329098,5478.580104852721,0.04055244595878412
pooled,2.0,50,21,210,5256.410281219796,222.1698236329098,5478.580104852721,0.04055244595878412
pooled,2.0,100,21,201,5147.939076606846,212.78752055575967,5360.726597162605,0.03969378342637109
pooled,5.0,10,21,210,5426.841352722537,238.9861307241795,5665.827483446714,0.0421802695938769
pooled,5.0,25,21,210,5426.841352722537,238.9861307241795,5665.827483446714,0.0421802695938769
pooled,5.0,50,21,210,5426.841352722537,238.9861307241795,5665.827483446714,0.0421802695938769
pooled,5.0,100,21,193,5290.44048227983,220.02911277799947,5510.469595057826,0.03992928533265785
pooled,10.0,10,21,210,5546.751955546044,247.68076335377913,5794.432718899827,0.04274460941550213
pooled,10.0,25,21,210,5546.751955546044,247.68076335377913,5794.432718899827,0.04274460941550213
pooled,10.0,50,21,210,5546.751955546044,247.68076335377913,5794.432718899827,0.04274460941550213
pooled,10.0,100,20,187,5385.676226904028,220.52302731771402,5606.199254221745,0.03933556716730132
