scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,pearson_p,spearman_rho_cyc,spearman_p,partial_beta_rho_cyc
all,test_log_loss,240,1,0.026240765484202063,0.5879865843886176,0.29037766316174507,4.785850435664067e-06,0.1270395319363183,0.049323477799205685,0.1610285141248415
all,test_brier,240,1,0.026240765484202063,0.20046812747498954,0.2904165299865644,4.771244635450177e-06,0.12059063525408427,0.0621476214782241,0.1679205090961491
all,test_error_rate,240,1,0.026240765484202063,0.3043261528838077,0.35314313758402605,1.8596617285645088e-08,0.11037532384511324,0.0879677094541717,0.2904218975813693
all,test_calibration_abs_error,240,1,0.026240765484202063,0.044822399898243326,0.3798794535527261,1.172636574079696e-09,0.251255230125523,8.305008897706806e-05,0.09800592818684871
all,test_pair_calibration_mae,240,1,0.026240765484202063,0.07210589396543697,0.5167775833646593,8.674944811807968e-18,0.502625913644334,9.063605748518613e-17,0.13146078108595716
all,test_majority_edge_error,240,1,0.026240765484202063,0.10079540838423243,0.5071413561173757,4.3378526851590043e-17,0.4044782551919911,7.321455077029605e-11,0.3699458653828525
group=all,test_log_loss,80,1,0.022698087310021594,0.5883098729400451,0.3455573766854369,0.0016927752849567163,0.17215189873417722,0.1267698990130628,0.18439253836549285
group=all,test_brier,80,1,0.022698087310021594,0.2006088408758823,0.3447214997593553,0.0017401515698188424,0.16540084388185655,0.14258660483038468,0.19096836873181233
group=all,test_error_rate,80,1,0.022698087310021594,0.3050895897716034,0.39513618800627665,0.0002863145642777615,0.12597280825128926,0.2655176303420019,0.3035362367771372
group=all,test_calibration_abs_error,80,1,0.022698087310021594,0.04050323649997789,0.4801864671801878,6.56028470135375e-06,0.2480778246601031,0.02650296658135365,0.23733157927734885
group=all,test_pair_calibration_mae,80,1,0.022698087310021594,0.06422805038610177,0.5077815684762017,1.526621769962652e-06,0.5154946085325832,9.922806940644997e-07,0.1470147572729488
group=all,test_majority_edge_error,80,1,0.022698087310021594,0.08202135331808921,0.5417313752291829,2.111124215534935e-07,0.40089069438147434,0.00022863364666143803,0.4203302539338786
