group,aspect,triplet,train_rho_cyc,test_log_loss,test_brier,test_error_rate,test_calibration_abs_error,test_pair_calibration_mae,test_majority_edge_error,n
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-3.5-turbo-0125,0.016309380699043922,0.6217114082986185,0.21498515582483915,0.30621246415114245,0.06616661165977435,0.12057968730004869,0.10868163650117733,100
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-4-turbo-2024-04-09,0.058739560448927405,0.6079527244843009,0.2087231018573283,0.3238415700699896,0.06883837962560196,0.10934000399463299,0.18821836236358672,100
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf,0.02984992444203099,0.615786652100401,0.21158559964295512,0.2867990351045197,0.059703517297068166,0.10449140337748299,0.027122114101108742,100
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Meta-Llama-3-70B-Instruct,0.02904509596459288,0.6723416573687085,0.2396161901965133,0.3882977828720992,0.06557660029472637,0.11158067985935326,0.2106161532646714,98
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.03850484396907844,0.6436305615094986,0.22548544966999137,0.36346696092247227,0.06934125070407697,0.1201160620703269,0.2108265033884803,100
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,0.13273091494273692,0.6219774397013036,0.21407259554715424,0.2871496363446927,0.07000459672661502,0.11493886229913158,0.030246461806742193,100
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,0.030339305818421695,0.6487854634577975,0.22813463441586918,0.35183774507975535,0.05953259527416058,0.1059429882816445,0.14699139115992402,99
all,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.10625153263020057,0.677544747169266,0.2420964085828975,0.42485247878586035,0.07223230708206768,0.119006576664128,0.3346532371782623,100
all,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.16634232261260326,0.6838101088857319,0.24522451913281965,0.4369553554971673,0.06197757773877814,0.11798909387256336,0.35143127070944724,100
all,harmless,allenai/tulu-2-70b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.011307352297372855,0.6350429079666393,0.22128669242418963,0.3318006286777144,0.07173528500709975,0.10281997582719342,0.1204708112014684,98
all,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.1047309865336321,0.6174272276310357,0.21286533432575724,0.3534726890665948,0.07293964626987724,0.12206027880705309,0.24487609218651066,100
all,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,0.04967877321285791,0.6290880789615491,0.21827479117370496,0.3481702781522151,0.06138341754923624,0.11061196686270335,0.16584695737981475,99
all,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,0.05081730255219285,0.689689475643942,0.24802763020220656,0.4128007240802278,0.06841475066869591,0.11718535940408278,0.22168922028436266,100
all,harmless,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.036039955719225254,0.5947376378244656,0.20190604540376808,0.29902292691006127,0.06250724095060635,0.10043964866486368,0.10850669904868086,100
all,harmless,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.010582200343711039,0.6251407956592507,0.21684462391060927,0.3262558853859462,0.057554926969749946,0.09457511463475594,0.10088258685887447,100
all,harmless,allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.021698345339351686,0.6288410317005545,0.21829091217580113,0.3274021279026166,0.06466924178259455,0.09760017205127891,0.1000026998260753,100
all,harmless,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.023166485530430377,0.6495749000782797,0.22802427121262675,0.33487379762946134,0.07698130392581062,0.11666130712705285,0.1134419653499473,100
all,harmless,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.11919872417911788,0.6544478840824361,0.23035798878379485,0.33909075954365275,0.055613055509115286,0.10870556195021948,0.07133127019868275,100
all,harmless,gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.08547050420087564,0.6296135739279396,0.21819376625441395,0.31077282154271774,0.0707086123252918,0.10813532363168968,0.05461263302586393,99
all,harmless,gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.016495075776195772,0.6311380451958951,0.21925201046972512,0.32478437519286074,0.05500173735699509,0.10438421363088851,0.09594668783768272,99
all,helpful,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-3.5-turbo-0125,0.014475666131231827,0.6778850746465949,0.24240525789614645,0.41384780325695336,0.02084891115369284,0.034015651878424785,0.034885615894437005,100
all,helpful,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-4-turbo-2024-04-09,0.009472486825605156,0.5303270824382442,0.1744666288235014,0.24268965228196027,0.014411052327705048,0.02749999686620839,0.0,100
all,helpful,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf,0.0006920157504265389,0.606625303812642,0.2085609939986986,0.30847999612753396,0.01717472413727119,0.029076083953031073,0.0,100
all,helpful,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Meta-Llama-3-70B-Instruct,0.005450102224051129,0.5506695343835397,0.18330646995845978,0.25773003652501686,0.015271188852351942,0.0263192746715465,0.0,99
all,helpful,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.0026902686626104873,0.5426249032889313,0.17997071966207748,0.2627446382427158,0.015042570173659292,0.02564759323726288,0.02986442009625382,100
all,helpful,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,0.004581390604271063,0.6487551599793099,0.2282181366907162,0.3629535592804251,0.02078067259521307,0.03108447894346004,0.03234911835300666,99
all,helpful,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,0.0011904178964194172,0.5864216937491724,0.19924548099167994,0.2964808198758496,0.017849037132921974,0.026687693173939618,0.03029463611478287,100
all,helpful,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.0004683924244775273,0.5812888594355029,0.197170735168538,0.28197692910590477,0.014922805665169544,0.02600097423396603,0.0,100
all,helpful,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.0004940093606821329,0.5587756642719881,0.1871240364716003,0.2801052461120181,0.016201225822277537,0.025065791219578457,0.05714013275931836,100
all,helpful,allenai/tulu-2-70b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.004619743233202012,0.5996193063004476,0.2051732318588809,0.29587624741993623,0.01715298050195993,0.026757740374794087,0.0,100
all,helpful,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.012781178146979176,0.5321930692161849,0.1751621618771727,0.24152114055084575,0.015093711926376213,0.029528497158542878,0.0,100
all,helpful,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,0.0006998955623509672,0.6086201246976032,0.20951444050025306,0.3097921720777073,0.018920480534608076,0.029229805845980228,0.0,100
all,helpful,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,0.004313707286483151,0.5600308783807497,0.18742670603901307,0.26293900897268085,0.017297153617887938,0.025218428084608766,0.0,100
all,helpful,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.011875351635750596,0.540862883653752,0.17877628111299074,0.24412183311121996,0.01674855481808767,0.025711831759588702,0.0,100
all,helpful,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.000561055331350534,0.5296699268170463,0.17453709855378244,0.2582593504919606,0.013832492356684403,0.023481588215398613,0.055121445913333414,99
all,helpful,allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.014580949635123894,0.5439614880764704,0.17998844752852858,0.2450825290693004,0.016040935573283347,0.02939553073773901,0.0,100
all,helpful,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.0005095192243573842,0.5921752170781786,0.20217021328352908,0.2937314503375287,0.015167170568229874,0.02722259355666661,0.0,100
all,helpful,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.002302314890759155,0.5772368860577413,0.19535430316577582,0.2957056651213917,0.014935776191977359,0.027157638262062994,0.05737506649553659,100
all,helpful,gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.007270577559531683,0.6162320349738861,0.21277715162168603,0.3123814366292647,0.015621035812402286,0.025803964442451244,0.0,100
all,helpful,gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.007365589310527801,0.6700193326563059,0.23855574249752784,0.40397162522235197,0.0163650956680198,0.0276666969896441,0.071846678497629,100
all,overall,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-3.5-turbo-0125,0.016345515464964544,0.6753448313852689,0.24116557712765643,0.42725045349413887,0.01890350185352676,0.03244656937076387,0.27365879213601896,99
all,overall,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-4-turbo-2024-04-09,0.008802148579312335,0.5313409556505277,0.17479075408614758,0.23839253180448217,0.013535703347234885,0.024658194318706163,0.0,100
all,overall,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf,0.0022495408224982812,0.5988263389824897,0.2048761144302446,0.29600995707150807,0.017021062249885362,0.02770625377901725,0.0,100
all,overall,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Meta-Llama-3-70B-Instruct,0.011734943197193487,0.5656154884226576,0.18964595487219477,0.2632891842423256,0.01621402901990303,0.027843915050936644,0.0,100
all,overall,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.0013517615972878899,0.5533044463835372,0.184710940215919,0.28958211857308663,0.013569927696460853,0.02337259372768512,0.2534819562105675,100
all,overall,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,0.0019880219501631196,0.6486322528224467,0.22818833570018707,0.3739911596490938,0.01867584473664069,0.029770677641648435,0.13319079224464095,100
all,overall,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,0.0005042154154380537,0.5988105543481407,0.2048833348989366,0.3207374321198602,0.016396890294953767,0.025541137509932445,0.15983439129009663,100
all,overall,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.0022627337724497568,0.5928691760981368,0.20220750806300894,0.2909202679799443,0.01669857532528588,0.02500971074318298,0.0,100
all,overall,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.0003073728851893114,0.5799224432489483,0.19644142292250158,0.29423441996535404,0.017174749483242845,0.024746280020050953,0.011329051117833316,100
all,overall,allenai/tulu-2-70b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.0029835601063358565,0.6143189277864948,0.21195805165158307,0.3140597134539729,0.018618651042138123,0.028390866084165526,0.0,100
all,overall,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.007112081132983627,0.5251128783506606,0.17235924913161052,0.2401587024613354,0.012423154224372481,0.02385089533850154,0.0026953125,100
all,overall,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,0.0010096565042912132,0.6069673673604177,0.20883970605996394,0.31032204688976056,0.018399710434044335,0.028503179284666218,0.00278386167146974,100
all,overall,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,0.005301166114890169,0.5705500906821785,0.19206466766586497,0.2730421568391597,0.015754760170396717,0.024040876306099062,0.002600969305331179,100
all,overall,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.009229831647271668,0.5330924385633028,0.17553935254440176,0.239771439889498,0.01466077684681746,0.022774374973501706,0.0,100
all,overall,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.0002735723783654985,0.5326017787018062,0.17586398385811294,0.25829208188007347,0.012800296470458345,0.02267217567621463,0.010616917092558542,100
all,overall,allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.0110681073888377,0.5544198521978199,0.18475484508946338,0.25870577641843917,0.014835557805485738,0.02737570614225503,0.0,100
all,overall,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.0004485760783760243,0.5903330178083318,0.2013984948092763,0.2927421191822752,0.0149067633476638,0.026974737553919558,0.0,100
all,overall,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.0010462665272505907,0.5757313014835863,0.19474473918534196,0.2926901542907471,0.013023728151778696,0.025327944604110003,0.0114909268824457,100
all,overall,gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.0014926548057211933,0.6214003344627355,0.2153092482239383,0.322893491551379,0.01625690210605764,0.02659757763072082,0.0,100
all,overall,gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.003659286915116527,0.6752188815181781,0.24110676074634965,0.411372050428478,0.015623683568898926,0.028306755279454074,0.013098926362211485,100
