scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,pearson_p,spearman_rho_cyc,spearman_p,partial_beta_rho_cyc
all,test_log_loss,4800,20,0.026741291468574874,0.6071933493737697,0.21561454399134855,1.341390704115572e-51,0.20899578977846306,1.611713657523073e-48,-0.05832063697562437
all,test_brier,4800,20,0.026741291468574874,0.20896066693626836,0.21636313479782074,5.924634768526795e-52,0.20253798806588486,1.2945618739202937e-45,-0.05629308916196669
all,test_error_rate,4800,20,0.026741291468574874,0.3188757231942306,0.20500927330853458,1.0282707638727516e-46,0.13977678914369365,2.261571468340619e-22,-0.02538519484258404
all,test_calibration_abs_error,4800,20,0.026741291468574874,0.03456589060658493,0.25848954005555663,3.965185556957492e-74,0.27893463775757976,1.679409130062836e-86,0.01902504452291942
all,test_pair_calibration_mae,4800,20,0.026741291468574874,0.06018856767925322,0.33007962031950155,2.2600613512184254e-122,0.39150722033451474,1.3138704826067673e-175,0.003474775712648256
all,test_majority_edge_error,4800,20,0.026741291468574874,0.08604972480703947,0.23446560457759813,6.0146171743381254e-61,0.20005105234247061,1.6018619808052217e-44,0.04644009828138263
group=all,test_log_loss,1600,20,0.02258290799802702,0.6071893736182155,0.2409898726218646,1.4204286730085683e-22,0.22771909969496082,2.886864313492028e-20,-0.038708932818898784
group=all,test_brier,1600,20,0.02258290799802702,0.2089721520761515,0.24067659529328078,1.616432379468747e-22,0.22019804695236211,5.074558779669699e-19,-0.03702299333357579
group=all,test_error_rate,1600,20,0.02258290799802702,0.3193544167445365,0.21897076840771199,8.021743162310194e-19,0.1488109867011376,2.216110297912578e-09,-0.014141939279302624
group=all,test_calibration_abs_error,1600,20,0.02258290799802702,0.030444525758069173,0.2399992832580773,2.1362603902979947e-22,0.27597425623994387,2.3287528619229722e-29,-0.014531074914911344
group=all,test_pair_calibration_mae,1600,20,0.02258290799802702,0.053344079531684185,0.3299867142269697,5.94342303886921e-42,0.39808058518772865,6.761727547579352e-62,-0.00858678133006869
group=all,test_majority_edge_error,1600,20,0.02258290799802702,0.07880193717608909,0.20680064292518052,6.485544949514052e-17,0.21808007123871398,1.1164774007678615e-18,0.012762625488741942
group=expert,test_log_loss,1600,20,0.02952853141610421,0.6160323555562036,0.22498862069788253,8.272564959157134e-20,0.22239909566370925,2.216838172485478e-19,-0.11290376106930117
group=expert,test_brier,1600,20,0.02952853141610421,0.2131448834761027,0.22688471260701834,3.9882100891304994e-20,0.21920154851622992,7.361462086903249e-19,-0.11317966043783129
group=expert,test_error_rate,1600,20,0.02952853141610421,0.33134799417218047,0.22853967601624697,2.098223545469196e-20,0.17581119744336887,1.4190084858295218e-12,-0.0723161351003354
group=expert,test_calibration_abs_error,1600,20,0.02952853141610421,0.03580913952296485,0.30319666333023876,2.258098072012327e-35,0.3085979769913973,1.2053815400076368e-36,0.07721086884527725
group=expert,test_pair_calibration_mae,1600,20,0.02952853141610421,0.06281273434641664,0.3583535972141496,1.1233654511775693e-49,0.4103736231928216,4.949114211944881e-66,0.03630159911116112
group=expert,test_majority_edge_error,1600,20,0.02952853141610421,0.10806032715942411,0.2684978591335515,8.025709723641458e-28,0.20721285445784407,5.613508387235807e-17,0.05402568140681607
