scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,spearman_rho_cyc,partial_beta_rho_cyc
all,test_log_loss,24,1,0.018303341527029084,0.5912942935363702,-0.25783993936724514,-0.4956521739130434,0.03730980843275937
all,test_brier,24,1,0.018303341527029084,0.2024273294436293,-0.26218003466101264,-0.5182608695652173,0.0414820817474917
all,test_error_rate,24,1,0.018303341527029084,0.31202925789795977,-0.34050908923030543,-0.47913043478260864,0.0035486718310029797
all,test_calibration_abs_error,24,1,0.018303341527029084,0.024585470304680362,0.3550325642541257,0.37043478260869556,0.2517425367931969
all,test_pair_calibration_mae,24,1,0.018303341527029084,0.08681256777690954,0.7968224754973233,0.38608695652173913,0.4011191997027692
all,test_majority_edge_error,24,1,0.018303341527029084,0.14003320843636236,0.34154641265686303,0.2776731746018764,0.18476105479093086
group=all,test_log_loss,8,1,0.01630920506331788,0.5907930592905042,-0.2488446418031991,-0.5000000000000001,0.9358046927419623
group=all,test_brier,8,1,0.01630920506331788,0.20218755748100062,-0.2564369557269747,-0.5000000000000001,0.9494214502779018
group=all,test_error_rate,8,1,0.01630920506331788,0.3121072905786415,-0.35186328299735453,-0.4761904761904762,0.6659637207483085
group=all,test_calibration_abs_error,8,1,0.01630920506331788,0.018889448965001346,0.15539441011391522,0.30952380952380953,-1.171270290277656
group=all,test_pair_calibration_mae,8,1,0.01630920506331788,0.08537095315024183,0.8626276199079804,0.3333333333333334,0.18658269017559237
group=all,test_majority_edge_error,8,1,0.01630920506331788,0.11950181360574433,0.5435441424120125,0.3818813079129867,0.6536662364224106
group=expert,test_log_loss,8,1,0.012776106378182071,0.5996739447931869,-0.6674152565241732,-0.523809523809524,0.05737860172501517
group=expert,test_brier,8,1,0.012776106378182071,0.20649649401247283,-0.6731954531681456,-0.523809523809524,0.05392516445960533
group=expert,test_error_rate,8,1,0.012776106378182071,0.32482678647193935,-0.7266222609859909,-0.5000000000000001,0.14656468438685263
group=expert,test_calibration_abs_error,8,1,0.012776106378182071,0.030300583061278627,0.3290781703309556,0.2380952380952381,1.6607621829812511
group=expert,test_pair_calibration_mae,8,1,0.012776106378182071,0.08267174081141379,0.41189727583698643,0.28571428571428575,0.18150303630818898
group=expert,test_majority_edge_error,8,1,0.012776106378182071,0.18563145307818063,0.03551389166257776,0.0,1.2023485280749164
group=normal,test_log_loss,8,1,0.025824713139587292,0.5834158765254196,-0.24386245115929547,-0.3333333333333334,0.8336989817558782
group=normal,test_brier,8,1,0.025824713139587292,0.1985979368374144,-0.24588818128204487,-0.3571428571428572,0.8689084389577645
group=normal,test_error_rate,8,1,0.025824713139587292,0.29915369664329844,-0.34361188282246163,-0.2380952380952381,0.7056686344317162
group=normal,test_calibration_abs_error,8,1,0.025824713139587292,0.024566378887761108,0.9110908398392614,0.523809523809524,1.3732382444364601
group=normal,test_pair_calibration_mae,8,1,0.025824713139587292,0.09239500936907301,0.9544514868812485,0.28571428571428575,0.5811338967723454
group=normal,test_majority_edge_error,8,1,0.025824713139587292,0.11496635862516212,0.5714640404055473,0.627376434428478,0.3461361829905796
aspect=harmless,test_log_loss,6,1,0.04829850623578725,0.5733525910872239,-0.15307197325266536,-0.3714285714285715,
aspect=harmless,test_brier,6,1,0.04829850623578725,0.1935575224945418,-0.13479394529147082,-0.3714285714285715,
aspect=harmless,test_error_rate,6,1,0.04829850623578725,0.2831475771454674,-0.48145672222636915,-0.7142857142857143,
aspect=harmless,test_calibration_abs_error,6,1,0.04829850623578725,0.040069540932847036,0.3202228705082567,0.2571428571428572,
aspect=harmless,test_pair_calibration_mae,6,1,0.04829850623578725,0.21950598308176814,0.9383989997789663,0.6,
aspect=harmless,test_majority_edge_error,6,1,0.04829850623578725,0.3002148021926503,-0.4719414720292501,-0.6571428571428573,
aspect=helpful,test_log_loss,6,1,0.005519617831914589,0.6006530779975109,-0.7591147836359442,-0.6,
aspect=helpful,test_brier,6,1,0.005519617831914589,0.2072042966571048,-0.7617953518694841,-0.6,
aspect=helpful,test_error_rate,6,1,0.005519617831914589,0.32900615221022506,-0.7742169440095134,-0.6,
aspect=helpful,test_calibration_abs_error,6,1,0.005519617831914589,0.012191487391052755,-0.0959442186754346,0.08571428571428573,
aspect=helpful,test_pair_calibration_mae,6,1,0.005519617831914589,0.03419823530854802,-0.8791321612070954,-0.8285714285714287,
aspect=helpful,test_majority_edge_error,6,1,0.005519617831914589,0.0,,,
aspect=overall,test_log_loss,6,1,0.007567847674364945,0.5909382462804391,-0.6437539688276801,-0.6,
aspect=overall,test_brier,6,1,0.007567847674364945,0.2027765279772539,-0.6419236025226321,-0.6,
aspect=overall,test_error_rate,6,1,0.007567847674364945,0.3296961782577001,-0.634278997085221,-0.6,
aspect=overall,test_calibration_abs_error,6,1,0.007567847674364945,0.011876221259288694,0.08035642432187798,0.2,
aspect=overall,test_pair_calibration_mae,6,1,0.007567847674364945,0.026367260131239606,-0.35759876650257755,-0.4285714285714286,
aspect=overall,test_majority_edge_error,6,1,0.007567847674364945,0.1769276337475865,-0.6511043306528295,-0.8196885999705371,
aspect=truthful,test_log_loss,6,1,0.011827394366049538,0.6002332587803072,-0.7815735868795006,-0.8285714285714287,
aspect=truthful,test_brier,6,1,0.011827394366049538,0.2061709706456166,-0.7820359005143112,-0.8285714285714287,
aspect=truthful,test_error_rate,6,1,0.011827394366049538,0.3062671239784464,-0.7210221030355596,-0.6,
aspect=truthful,test_calibration_abs_error,6,1,0.011827394366049538,0.03420463163553295,-0.06958337078861546,-0.3142857142857143,
aspect=truthful,test_pair_calibration_mae,6,1,0.011827394366049538,0.06717879258608239,-0.46710123283655025,-0.7142857142857143,
aspect=truthful,test_majority_edge_error,6,1,0.011827394366049538,0.08299039780521263,0.21454270186297647,-0.13093073414159545,
group=all;aspect=harmless,test_log_loss,2,1,0.04289253089773013,0.5729369239464688,,,
group=all;aspect=harmless,test_brier,2,1,0.04289253089773013,0.1932599084922103,,,
group=all;aspect=harmless,test_error_rate,2,1,0.04289253089773013,0.2847632442569151,,,
group=all;aspect=harmless,test_calibration_abs_error,2,1,0.04289253089773013,0.030941776911628444,,,
group=all;aspect=harmless,test_pair_calibration_mae,2,1,0.04289253089773013,0.2171302554062908,,,
group=all;aspect=harmless,test_majority_edge_error,2,1,0.04289253089773013,0.3011251758087201,,,
group=all;aspect=helpful,test_log_loss,2,1,0.005084047824773513,0.5999370067686864,,,
group=all;aspect=helpful,test_brier,2,1,0.005084047824773513,0.20692187752412988,,,
group=all;aspect=helpful,test_error_rate,2,1,0.005084047824773513,0.32889296459819123,,,
group=all;aspect=helpful,test_calibration_abs_error,2,1,0.005084047824773513,0.004766993106449985,,,
group=all;aspect=helpful,test_pair_calibration_mae,2,1,0.005084047824773513,0.03373420584725865,,,
group=all;aspect=helpful,test_majority_edge_error,2,1,0.005084047824773513,0.0,,,
group=all;aspect=overall,test_log_loss,2,1,0.0070778910715302845,0.5903157110534567,,,
group=all;aspect=overall,test_brier,2,1,0.0070778910715302845,0.20251875885921503,,,
group=all;aspect=overall,test_error_rate,2,1,0.0070778910715302845,0.32957766717613096,,,
group=all;aspect=overall,test_calibration_abs_error,2,1,0.0070778910715302845,0.009170728123689548,,,
group=all;aspect=overall,test_pair_calibration_mae,2,1,0.0070778910715302845,0.02287066795939876,,,
group=all;aspect=overall,test_majority_edge_error,2,1,0.0070778910715302845,0.17688207861425717,,,
group=all;aspect=truthful,test_log_loss,2,1,0.010182350459237594,0.5999825953934049,,,
group=all;aspect=truthful,test_brier,2,1,0.010182350459237594,0.20604968504844723,,,
group=all;aspect=truthful,test_error_rate,2,1,0.010182350459237594,0.30519528628332854,,,
group=all;aspect=truthful,test_calibration_abs_error,2,1,0.010182350459237594,0.030678297718237407,,,
group=all;aspect=truthful,test_pair_calibration_mae,2,1,0.010182350459237594,0.06774868338801911,,,
group=all;aspect=truthful,test_majority_edge_error,2,1,0.010182350459237594,0.0,,,
group=expert;aspect=harmless,test_log_loss,2,1,0.018114896589836685,0.6086013143225839,,,
group=expert;aspect=harmless,test_brier,2,1,0.018114896589836685,0.21042277722667468,,,
group=expert;aspect=harmless,test_error_rate,2,1,0.018114896589836685,0.3271794871794872,,,
group=expert;aspect=harmless,test_calibration_abs_error,2,1,0.018114896589836685,0.046304433724974836,,,
group=expert;aspect=harmless,test_pair_calibration_mae,2,1,0.018114896589836685,0.1931101824085505,,,
group=expert;aspect=harmless,test_majority_edge_error,2,1,0.018114896589836685,0.3141025641025641,,,
group=expert;aspect=helpful,test_log_loss,2,1,0.009069740460103901,0.610165723489895,,,
group=expert;aspect=helpful,test_brier,2,1,0.009069740460103901,0.21147425211759346,,,
group=expert;aspect=helpful,test_error_rate,2,1,0.009069740460103901,0.33946542439923694,,,
group=expert;aspect=helpful,test_calibration_abs_error,2,1,0.009069740460103901,0.011416779098504859,,,
group=expert;aspect=helpful,test_pair_calibration_mae,2,1,0.009069740460103901,0.035740663705706485,,,
group=expert;aspect=helpful,test_majority_edge_error,2,1,0.009069740460103901,0.0,,,
group=expert;aspect=overall,test_log_loss,2,1,0.007708745648928687,0.5956470796278956,,,
group=expert;aspect=overall,test_brier,2,1,0.007708745648928687,0.2051793901081692,,,
group=expert;aspect=overall,test_error_rate,2,1,0.007708745648928687,0.33590061206645294,,,
group=expert;aspect=overall,test_calibration_abs_error,2,1,0.007708745648928687,0.004551299773278034,,,
group=expert;aspect=overall,test_pair_calibration_mae,2,1,0.007708745648928687,0.018127170536687595,,,
group=expert;aspect=overall,test_majority_edge_error,2,1,0.007708745648928687,0.17945205479452056,,,
group=expert;aspect=truthful,test_log_loss,2,1,0.01621104281385901,0.5842816617323734,,,
group=expert;aspect=truthful,test_brier,2,1,0.01621104281385901,0.19890955659745396,,,
group=expert;aspect=truthful,test_error_rate,2,1,0.01621104281385901,0.29676162224258024,,,
group=expert;aspect=truthful,test_calibration_abs_error,2,1,0.01621104281385901,0.05892981964835678,,,
group=expert;aspect=truthful,test_pair_calibration_mae,2,1,0.01621104281385901,0.08370894659471065,,,
group=expert;aspect=truthful,test_majority_edge_error,2,1,0.01621104281385901,0.24897119341563786,,,
group=normal;aspect=harmless,test_log_loss,2,1,0.08388809121979494,0.5385195349926193,,,
group=normal;aspect=harmless,test_brier,2,1,0.08388809121979494,0.1769898817647404,,,
group=normal;aspect=harmless,test_error_rate,2,1,0.08388809121979494,0.2375,,,
group=normal;aspect=harmless,test_calibration_abs_error,2,1,0.08388809121979494,0.04296241216193783,,,
group=normal;aspect=harmless,test_pair_calibration_mae,2,1,0.08388809121979494,0.2482775114304632,,,
group=normal;aspect=harmless,test_majority_edge_error,2,1,0.08388809121979494,0.28541666666666665,,,
group=normal;aspect=helpful,test_log_loss,2,1,0.0024050652108663535,0.5918565037339509,,,
group=normal;aspect=helpful,test_brier,2,1,0.0024050652108663535,0.20321676032959105,,,
group=normal;aspect=helpful,test_error_rate,2,1,0.0024050652108663535,0.31866006763324706,,,
group=normal;aspect=helpful,test_calibration_abs_error,2,1,0.0024050652108663535,0.020390689968203424,,,
group=normal;aspect=helpful,test_pair_calibration_mae,2,1,0.0024050652108663535,0.033119836372678915,,,
group=normal;aspect=helpful,test_majority_edge_error,2,1,0.0024050652108663535,0.0,,,
group=normal;aspect=overall,test_log_loss,2,1,0.007916906302635862,0.586851948159965,,,
group=normal;aspect=overall,test_brier,2,1,0.007916906302635862,0.20063143496437752,,,
group=normal;aspect=overall,test_error_rate,2,1,0.007916906302635862,0.3236102555305163,,,
group=normal;aspect=overall,test_calibration_abs_error,2,1,0.007916906302635862,0.0219066358808985,,,
group=normal;aspect=overall,test_pair_calibration_mae,2,1,0.007916906302635862,0.03810394189763247,,,
group=normal;aspect=overall,test_majority_edge_error,2,1,0.007916906302635862,0.17444876783398183,,,
group=normal;aspect=truthful,test_log_loss,2,1,0.009088789825052011,0.616435519215143,,,
group=normal;aspect=truthful,test_brier,2,1,0.009088789825052011,0.21355367029094863,,,
group=normal;aspect=truthful,test_error_rate,2,1,0.009088789825052011,0.31684446340943034,,,
group=normal;aspect=truthful,test_calibration_abs_error,2,1,0.009088789825052011,0.013005777540004676,,,
group=normal;aspect=truthful,test_pair_calibration_mae,2,1,0.009088789825052011,0.05007874777551741,,,
group=normal;aspect=truthful,test_majority_edge_error,2,1,0.009088789825052011,0.0,,,
