split_index,group,aspect,model,fit_ok,n_train_obs,train_weight,n_features,n_iter
0,all,overall,pooled,True,17966,13165.0,30000,20
0,normal,overall,group_head,True,9035,6747.5,30000,20
0,expert,overall,group_head,True,8931,6417.5,30000,20
0,all,helpful,pooled,True,18008,13165.5,30000,20
0,normal,helpful,group_head,True,9014,6691.0,30000,20
0,expert,helpful,group_head,True,8994,6474.5,30000,20
0,all,truthful,pooled,True,4436,3262.0,30000,20
0,normal,truthful,group_head,True,1990,1477.5,30000,20
0,expert,truthful,group_head,True,2446,1784.5,30000,20
0,all,harmless,pooled,True,1368,1050.0,30000,20
0,normal,harmless,group_head,True,602,467.0,30000,20
0,expert,harmless,group_head,True,766,583.0,30000,13
1,all,overall,pooled,True,18064,13224.5,30000,20
1,normal,overall,group_head,True,9085,6799.0,30000,20
1,expert,overall,group_head,True,8979,6425.5,30000,20
1,all,helpful,pooled,True,18109,13231.0,30000,20
1,normal,helpful,group_head,True,9062,6740.5,30000,20
1,expert,helpful,group_head,True,9047,6490.5,30000,20
1,all,truthful,pooled,True,4466,3275.0,30000,20
1,normal,truthful,group_head,True,1999,1484.5,30000,20
1,expert,truthful,group_head,True,2467,1790.5,30000,20
1,all,harmless,pooled,True,1311,1008.5,30000,20
1,normal,harmless,group_head,True,590,458.5,30000,20
1,expert,harmless,group_head,True,721,550.0,30000,20
2,all,overall,pooled,True,17967,13187.5,30000,20
2,normal,overall,group_head,True,9024,6748.0,30000,20
2,expert,overall,group_head,True,8943,6439.5,30000,20
2,all,helpful,pooled,True,17981,13157.0,30000,20
2,normal,helpful,group_head,True,8987,6682.0,30000,20
2,expert,helpful,group_head,True,8994,6475.0,30000,20
2,all,truthful,pooled,True,4498,3295.5,30000,20
2,normal,truthful,group_head,True,2012,1488.5,30000,20
2,expert,truthful,group_head,True,2486,1807.0,30000,20
2,all,harmless,pooled,True,1336,1025.5,30000,20
2,normal,harmless,group_head,True,584,453.0,30000,20
2,expert,harmless,group_head,True,752,572.5,30000,20
3,all,overall,pooled,True,17966,13181.0,30000,20
3,normal,overall,group_head,True,9047,6767.0,30000,20
3,expert,overall,group_head,True,8919,6414.0,30000,20
3,all,helpful,pooled,True,17997,13163.5,30000,20
3,normal,helpful,group_head,True,9015,6700.0,30000,20
3,expert,helpful,group_head,True,8982,6463.5,30000,20
3,all,truthful,pooled,True,4427,3256.5,30000,20
3,normal,truthful,group_head,True,1968,1460.5,30000,20
3,expert,truthful,group_head,True,2459,1796.0,30000,20
3,all,harmless,pooled,True,1330,1027.5,30000,20
3,normal,harmless,group_head,True,578,451.0,30000,20
3,expert,harmless,group_head,True,752,576.5,30000,20
4,all,overall,pooled,True,18101,13267.0,30000,20
4,normal,overall,group_head,True,9095,6799.0,30000,20
4,expert,overall,group_head,True,9006,6468.0,30000,20
4,all,helpful,pooled,True,18141,13266.0,30000,20
4,normal,helpful,group_head,True,9073,6737.0,30000,20
4,expert,helpful,group_head,True,9068,6529.0,30000,20
4,all,truthful,pooled,True,4548,3339.0,30000,20
4,normal,truthful,group_head,True,2045,1510.0,30000,20
4,expert,truthful,group_head,True,2503,1829.0,30000,20
4,all,harmless,pooled,True,1345,1033.5,30000,20
4,normal,harmless,group_head,True,594,461.0,30000,15
4,expert,harmless,group_head,True,751,572.5,30000,10
5,all,overall,pooled,True,17805,13038.5,30000,20
5,normal,overall,group_head,True,8955,6686.5,30000,20
5,expert,overall,group_head,True,8850,6352.0,30000,20
5,all,helpful,pooled,True,17841,13024.0,30000,20
5,normal,helpful,group_head,True,8932,6624.5,30000,20
5,expert,helpful,group_head,True,8909,6399.5,30000,20
5,all,truthful,pooled,True,4377,3228.0,30000,20
5,normal,truthful,group_head,True,1949,1448.5,30000,20
5,expert,truthful,group_head,True,2428,1779.5,30000,20
5,all,harmless,pooled,True,1340,1027.5,30000,20
5,normal,harmless,group_head,True,594,459.0,30000,20
5,expert,harmless,group_head,True,746,568.5,30000,20
6,all,overall,pooled,True,18052,13240.0,30000,20
6,normal,overall,group_head,True,9076,6787.0,30000,20
6,expert,overall,group_head,True,8976,6453.0,30000,20
6,all,helpful,pooled,True,18090,13248.0,30000,20
6,normal,helpful,group_head,True,9043,6731.5,30000,20
6,expert,helpful,group_head,True,9047,6516.5,30000,20
6,all,truthful,pooled,True,4488,3306.0,30000,20
6,normal,truthful,group_head,True,1998,1488.0,30000,20
6,expert,truthful,group_head,True,2490,1818.0,30000,20
6,all,harmless,pooled,True,1326,1015.0,30000,20
6,normal,harmless,group_head,True,581,448.0,30000,20
6,expert,harmless,group_head,True,745,567.0,30000,20
7,all,overall,pooled,True,18022,13193.0,30000,20
7,normal,overall,group_head,True,9057,6758.5,30000,20
7,expert,overall,group_head,True,8965,6434.5,30000,20
7,all,helpful,pooled,True,18032,13203.0,30000,20
7,normal,helpful,group_head,True,9017,6702.0,30000,20
7,expert,helpful,group_head,True,9015,6501.0,30000,20
7,all,truthful,pooled,True,4516,3316.5,30000,20
7,normal,truthful,group_head,True,2043,1522.5,30000,20
7,expert,truthful,group_head,True,2473,1794.0,30000,20
7,all,harmless,pooled,True,1346,1038.0,30000,20
7,normal,harmless,group_head,True,592,460.0,30000,19
7,expert,harmless,group_head,True,754,578.0,30000,20
8,all,overall,pooled,True,17962,13164.5,30000,20
8,normal,overall,group_head,True,9027,6744.5,30000,20
8,expert,overall,group_head,True,8935,6420.0,30000,20
8,all,helpful,pooled,True,17983,13142.5,30000,20
8,normal,helpful,group_head,True,9015,6684.5,30000,20
8,expert,helpful,group_head,True,8968,6458.0,30000,20
8,all,truthful,pooled,True,4485,3312.0,30000,20
8,normal,truthful,group_head,True,2000,1494.0,30000,20
8,expert,truthful,group_head,True,2485,1818.0,30000,20
8,all,harmless,pooled,True,1357,1037.5,30000,20
8,normal,harmless,group_head,True,587,454.0,30000,20
8,expert,harmless,group_head,True,770,583.5,30000,20
9,all,overall,pooled,True,17925,13173.0,30000,20
9,normal,overall,group_head,True,9018,6755.0,30000,20
9,expert,overall,group_head,True,8907,6418.0,30000,20
9,all,helpful,pooled,True,17958,13139.0,30000,20
9,normal,helpful,group_head,True,8981,6673.0,30000,20
9,expert,helpful,group_head,True,8977,6466.0,30000,20
9,all,truthful,pooled,True,4548,3350.0,30000,20
9,normal,truthful,group_head,True,2033,1516.0,30000,20
9,expert,truthful,group_head,True,2515,1834.0,30000,20
9,all,harmless,pooled,True,1352,1041.0,30000,20
9,normal,harmless,group_head,True,594,462.0,30000,13
9,expert,harmless,group_head,True,758,579.0,30000,20
10,all,overall,pooled,True,17977,13191.0,30000,20
10,normal,overall,group_head,True,9024,6754.0,30000,20
10,expert,overall,group_head,True,8953,6437.0,30000,20
10,all,helpful,pooled,True,18007,13188.5,30000,20
10,normal,helpful,group_head,True,9001,6699.5,30000,20
10,expert,helpful,group_head,True,9006,6489.0,30000,20
10,all,truthful,pooled,True,4462,3292.5,30000,20
10,normal,truthful,group_head,True,2025,1508.0,30000,20
10,expert,truthful,group_head,True,2437,1784.5,30000,20
10,all,harmless,pooled,True,1296,989.0,30000,20
10,normal,harmless,group_head,True,563,435.5,30000,20
10,expert,harmless,group_head,True,733,553.5,30000,20
11,all,overall,pooled,True,17948,13191.5,30000,20
11,normal,overall,group_head,True,9017,6762.0,30000,20
11,expert,overall,group_head,True,8931,6429.5,30000,20
11,all,helpful,pooled,True,18001,13214.0,30000,20
11,normal,helpful,group_head,True,9013,6727.5,30000,20
11,expert,helpful,group_head,True,8988,6486.5,30000,20
11,all,truthful,pooled,True,4490,3307.5,30000,20
11,normal,truthful,group_head,True,2011,1498.5,30000,20
11,expert,truthful,group_head,True,2479,1809.0,30000,20
11,all,harmless,pooled,True,1276,985.0,30000,20
11,normal,harmless,group_head,True,569,445.0,30000,17
11,expert,harmless,group_head,True,707,540.0,30000,20
12,all,overall,pooled,True,17968,13180.0,30000,20
12,normal,overall,group_head,True,9046,6758.5,30000,20
12,expert,overall,group_head,True,8922,6421.5,30000,20
12,all,helpful,pooled,True,17977,13155.5,30000,20
12,normal,helpful,group_head,True,9015,6706.5,30000,20
12,expert,helpful,group_head,True,8962,6449.0,30000,20
12,all,truthful,pooled,True,4436,3248.0,30000,20
12,normal,truthful,group_head,True,1972,1459.5,30000,20
12,expert,truthful,group_head,True,2464,1788.5,30000,20
12,all,harmless,pooled,True,1331,1015.5,30000,20
12,normal,harmless,group_head,True,577,445.0,30000,20
12,expert,harmless,group_head,True,754,570.5,30000,20
13,all,overall,pooled,True,18021,13230.5,30000,20
13,normal,overall,group_head,True,9080,6801.5,30000,20
13,expert,overall,group_head,True,8941,6429.0,30000,20
13,all,helpful,pooled,True,18041,13232.5,30000,20
13,normal,helpful,group_head,True,9046,6740.0,30000,20
13,expert,helpful,group_head,True,8995,6492.5,30000,20
13,all,truthful,pooled,True,4503,3330.0,30000,20
13,normal,truthful,group_head,True,2027,1516.0,30000,20
13,expert,truthful,group_head,True,2476,1814.0,30000,20
13,all,harmless,pooled,True,1316,1003.5,30000,20
13,normal,harmless,group_head,True,594,457.0,30000,20
13,expert,harmless,group_head,True,722,546.5,30000,20
14,all,overall,pooled,True,18025,13187.5,30000,20
14,normal,overall,group_head,True,9069,6765.0,30000,20
14,expert,overall,group_head,True,8956,6422.5,30000,20
14,all,helpful,pooled,True,18047,13194.5,30000,20
14,normal,helpful,group_head,True,9043,6715.5,30000,20
