group,aspect,triplet,split_index,train_n_obs,train_total_weight,train_edges,train_eligible_edges,train_min_edge_support,train_mean_edge_support,train_mean_abs_margin,train_max_abs_margin,train_gradient_energy,train_residual_energy,train_rho_cyc,train_eligible_triples,train_cyclic_triples,train_cycle_rate,train_weighted_cycle_intensity,pooled_test_weight,pooled_test_n_obs,pooled_test_edges,pooled_test_log_loss,pooled_test_brier,pooled_test_accuracy,pooled_test_error_rate,pooled_test_calibration_abs_error,pooled_test_pair_calibration_mae,pooled_test_majority_edge_error,group_head_test_weight,group_head_test_n_obs,group_head_test_edges,group_head_test_log_loss,group_head_test_brier,group_head_test_accuracy,group_head_test_error_rate,group_head_test_calibration_abs_error,group_head_test_pair_calibration_mae,group_head_test_majority_edge_error,uplift_log_loss,uplift_brier,uplift_error_rate,uplift_calibration_abs_error,uplift_pair_calibration_mae,uplift_majority_edge_error,uplift_accuracy
expert,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-3.5-turbo-0125,24.5,132.04,98.24,3.0,3.0,27.51,32.74666666666666,0.31043934135232637,0.5011166349674001,12.1565535474905,0.35952084541703017,0.030494121848378065,0.96,0.0,0.0,0.0,33.76,44.96,3.0,0.5347728905100625,0.17167508104794799,0.7522072920731481,0.24779270792685193,0.06565577336931919,0.11344634013522134,0.15738067395955668,33.76,44.96,3.0,0.5714913885919283,0.18667751375331554,0.7079694556013988,0.29203054439860127,0.0702164667133271,0.11746134102933686,0.18397985545180995,-0.0367184980818657,-0.015002432705367557,-0.04423783647174938,-0.0045606933440079074,-0.0040150008941155155,-0.026599181492253248,-0.04423783647174938
expert,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-4-turbo-2024-04-09,24.5,150.68,116.72,3.0,3.0,31.5,38.906666666666666,0.3332074345324358,0.6376704408268408,21.26808424761006,1.6697443539580596,0.07538268426003139,0.9,0.0,0.0,0.0,37.28,48.32,3.0,0.5109297564127544,0.16099879312543472,0.7779149517142996,0.22208504828570041,0.08517197231985199,0.12158164978957924,0.1262250145991781,37.28,48.32,3.0,0.5596946031913957,0.17651508097570281,0.7477258938749523,0.25227410612504775,0.09165786061402775,0.13468755286952683,0.17575506707894803,-0.04876484677864127,-0.015516287850268118,-0.030189057839347323,-0.006485888294175765,-0.013105903079947592,-0.049530052479769916,-0.030189057839347323
expert,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf,24.5,152.1,119.09,3.0,3.0,35.84,39.696666666666665,0.3080464387976325,0.4556493173673466,13.966075878231345,0.19389999136603675,0.014745682319547183,1.0,0.0,0.0,0.0,39.41,49.9,3.0,0.4894763341224171,0.15602121641794373,0.7722398639899637,0.22776013601003622,0.0480432854209763,0.09325025967758008,0.07851867591936017,39.41,49.9,3.0,0.5144899718749685,0.16693011842845423,0.7480940886145367,0.25190591138546314,0.05329411696902068,0.09594378308519047,0.10043322499379008,-0.025013637752551367,-0.010908902010510493,-0.024145775375426944,-0.005250831548044388,-0.0026935234076104174,-0.02191454907442991,-0.024145775375426944
expert,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Meta-Llama-3-70B-Instruct,24.5,171.78,133.72,3.0,3.0,32.71,44.57333333333333,0.20714887058928647,0.2979101513780353,6.113294464482425,0.3841499446288502,0.06371159515671128,0.98,0.0,0.0,0.0,43.28,55.22,3.0,0.5690443503685434,0.1729284618195108,0.7468985964026522,0.2531014035973478,0.06234853906122708,0.10911172736414304,0.3146788000276009,43.28,55.22,3.0,0.5909621548867462,0.1790127172651509,0.7370348557140958,0.2629651442859043,0.06203019931696687,0.10999468009256573,0.3178623054675811,-0.02191780451820273,-0.006084255445640075,-0.0098637406885565,0.0003183397442602054,-0.0008829527284226846,-0.0031835054399801687,-0.0098637406885565
expert,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,24.5,126.44,92.05,3.0,3.0,27.38,30.683333333333334,0.2642481769792653,0.5011166349674001,8.920308153920558,1.2218785592503971,0.12588523132235416,0.9,0.0,0.0,0.0,31.45,42.56,3.0,0.4853305391576083,0.158376031493393,0.7643153177670325,0.2356846822329675,0.06504265237131183,0.09706338675691654,0.17307754356154528,31.45,42.56,3.0,0.5427834742987796,0.17891649590430803,0.7262052674891452,0.2737947325108548,0.06990710419616374,0.10614650253676308,0.19762854067932975,-0.057452935141171245,-0.020540464410915043,-0.03811005027788728,-0.004864451824851901,-0.009083115779846548,-0.024550997117784433,-0.03811005027788728
expert,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,24.5,142.72,108.68,3.0,3.0,31.31,36.22666666666667,0.35128416332520646,0.506897725282737,13.732491563590443,1.5521907175451048,0.09820130026490269,1.0,0.0,0.0,0.0,36.82,47.28,3.0,0.46780979523681565,0.15490891586091332,0.766332176592331,0.23366782340766903,0.07544179829000924,0.09630036800350524,0.08010110664638784,36.82,47.28,3.0,0.5032116169546605,0.1642411844576917,0.7524506984777913,0.24754930152220866,0.06688626787351741,0.09322341727435689,0.08904663388276965,-0.03540182171784497,-0.009332268596778381,-0.013881478114539629,0.00855553041649184,0.0030769507291483604,-0.00894552723638181,-0.013881478114539629
expert,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,141.26,107.97,3.0,3.0,30.85,35.99,0.29782856842060607,0.5011166349674001,11.296037661239566,0.3673499758686593,0.03129892512176204,0.98,0.0,0.0,0.0,36.03,46.74,3.0,0.5847467141182077,0.1863321261396155,0.7141744984268641,0.28582550157313596,0.06013195367286734,0.0976564888339315,0.18905816404759457,36.03,46.74,3.0,0.6166562619692184,0.1912230674086576,0.7076813131221169,0.29231868687788315,0.06275787290216493,0.09694756162292252,0.197426741654435,-0.0319095478510107,-0.004890941269042069,-0.006493185304747182,-0.002625919229297591,0.0007089272110089866,-0.00836857760684045,-0.006493185304747182
expert,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,24.5,128.14,96.06,3.0,3.0,26.95,32.02,0.14206373774127246,0.22231994991544696,2.462126986228073,0.35473732590707563,0.12303655066078824,0.88,0.04,0.045454545454545456,0.00018231081636740186,32.44,42.86,3.0,0.578736786180158,0.18602186669395934,0.7367269845051441,0.263273015494856,0.06653590950294667,0.10104525802701952,0.2193340487414009,32.44,42.86,3.0,0.6110241884290262,0.19631324534436684,0.7244031378849742,0.27559686211502576,0.06892196633463626,0.10530017397105748,0.2460662386148262,-0.03228740224886821,-0.010291378650407492,-0.012323846620169776,-0.0023860568316895958,-0.004254915944037966,-0.02673218987342533,-0.012323846620169776
expert,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,136.22,103.04,3.0,3.0,30.27,34.346666666666664,0.1817407282427907,0.29891259385410157,4.541418138491794,0.39208343521059985,0.08049581786721596,0.88,0.02,0.022727272727272728,9.59077711525819e-06,35.46,46.78,3.0,0.6316781126956577,0.20402155577382405,0.6834616162242281,0.31653838377577187,0.08489999134336229,0.11951878383454606,0.34532640236408096,35.46,46.78,3.0,0.6594842097181389,0.20986347702387534,0.6856653056505286,0.31433469434947137,0.0976898305149319,0.13033486235182756,0.39764757876440465,-0.027806097022481185,-0.005841921250051245,0.0022036894263005235,-0.012789839171569603,-0.010816078517281523,-0.05232117640032364,0.0022036894263005235
expert,harmless,allenai/tulu-2-70b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,24.5,141.7,109.73,3.0,3.0,32.65,36.57666666666667,0.30547391747567604,0.5453831142317703,14.110204822859536,0.6259408143446304,0.042310680672981056,0.98,0.0,0.0,0.0,37.27,48.3,3.0,0.5166284574984424,0.1629438063572923,0.7639805012481985,0.23601949875180148,0.07276402126777787,0.09092129678105679,0.14971924964693398,37.27,48.3,3.0,0.5274720593026,0.16282266319290778,0.7675734540461719,0.23242654595382808,0.0741643852367623,0.09345654614086507,0.15464784616457158,-0.01084360180415751,0.00012114316438454508,0.0035929527979733965,-0.0014003639689844328,-0.0025352493598082937,-0.004928596517637614,0.0035929527979733965
expert,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,24.5,139.92,103.59,3.0,3.0,26.78,34.53,0.33251595437211634,0.6376704408268408,17.830019581124535,3.706323032481346,0.17466322781023522,0.96,0.02,0.020833333333333332,9.057971014492752e-05,34.91,47.08,3.0,0.48326135267574566,0.1654892553433211,0.7479632196148316,0.2520367803851684,0.05193531051146138,0.11590951232842026,0.11905059778406152,34.91,47.08,3.0,0.5166904876881946,0.17509815920740252,0.7277537244730107,0.2722462755269894,0.05566499998832443,0.12118136557535149,0.13730879793462714,-0.033429135012448916,-0.009608903864081428,-0.020209495141820927,-0.0037296894768630456,-0.005271853246931227,-0.018258200150565607,-0.020209495141820927
expert,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,24.5,147.5,110.77,3.0,3.0,28.03,36.92333333333333,0.3217414958341918,0.4635266299621298,14.526228901869429,0.8118043528748831,0.054206736283948266,0.96,0.0,0.0,0.0,39.23,51.5,3.0,0.5373610709731044,0.18303097731473855,0.7190263912426993,0.2809736087573008,0.07529666253304798,0.10137712309735246,0.10947462254879255,39.23,51.5,3.0,0.5697314054159418,0.19208685316707722,0.7108070408841178,0.28919295911588216,0.06581020161018303,0.09528658466834763,0.11038503066277468,-0.03237033444283743,-0.009055875852338689,-0.00821935035858139,0.009486460922864964,0.006090538429004825,-0.0009104081139821302,-0.00821935035858139
expert,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,174.92,133.45,3.0,3.0,28.05,44.48333333333333,0.1747831692046812,0.2431323157861067,4.5509951264893616,0.3674555948749256,0.07554207580786768,0.96,0.0,0.0,0.0,43.55,57.08,3.0,0.4971319871978558,0.16787612369989652,0.7382825024430387,0.2617174975569613,0.05259854520037556,0.09991723673219184,0.3105233114916786,43.55,57.08,3.0,0.5329643534781103,0.1782199608926138,0.723391405020794,0.2766085949792059,0.047992078038001894,0.0938546239709638,0.2853590879431237,-0.03583236628025449,-0.010343837192717233,-0.014891097422244624,0.00460646716237367,0.006062612761228048,0.025164223548554913,-0.014891097422244624
expert,harmless,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,24.5,152.68,117.47,3.0,3.0,27.11,39.156666666666666,0.414459224737379,0.6381432540656115,27.643352728619583,1.574987601096822,0.05480165464983057,0.98,0.0,0.0,0.0,39.53,51.32,3.0,0.5761497814887997,0.18882013844424647,0.7207341667695233,0.2792658332304766,0.054096069398236135,0.11948176725800616,0.07008379972648286,39.53,51.32,3.0,0.5763416501609587,0.18744993785168482,0.7246509334955534,0.27534906650444657,0.054396982847753475,0.11930445584285128,0.08250784344232986,-0.00019186867215898907,0.001370200592561642,0.003916766726030052,-0.0003009134495173299,0.00017731141515487498,-0.012424043715846995,0.003916766726030052
expert,harmless,allenai/tulu-2-7b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,189.64,147.84,3.0,3.0,38.28,49.28,0.360633483513987,0.6376704408268408,23.708988950365782,0.8277007515651672,0.036902741392755956,1.0,0.0,0.0,0.0,47.66,61.36,3.0,0.4835226195199056,0.16321972588139932,0.7410843777887359,0.2589156222112641,0.0639804000881507,0.12992816184526715,0.26572365439989637,47.66,61.36,3.0,0.49370427262814987,0.16582398953150182,0.7371235096630709,0.26287649033692906,0.057099964205876486,0.1327269814518521,0.28212491025266256,-0.010181653108244234,-0.0026042636501025173,-0.003960868125664962,0.006880435882274219,-0.002798819606584943,-0.016401255852766212,-0.003960868125664962
expert,harmless,allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,24.5,186.42,145.08,3.0,3.0,38.56,48.36,0.3865562278630067,0.5563032631892838,21.80234488722868,1.1961839513778778,0.0539810666351963,1.0,0.0,0.0,0.0,48.42,62.58,3.0,0.4640561178188948,0.15320939762413494,0.7695588807201597,0.2304411192798403,0.043159327692015186,0.1002592807791398,0.18386353092954316,48.42,62.58,3.0,0.47425766933025154,0.15771682388747357,0.7617704471258115,0.2382295528741885,0.039113731053760696,0.09596857381615337,0.1579883581040027,-0.010201551511356792,-0.004507426263338662,-0.007788433594348183,0.00404559663825449,0.004290706962986417,0.025875172825540475,-0.007788433594348183
expert,harmless,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,24.5,129.62,95.01,3.0,3.0,26.04,31.67,0.24105348157590512,0.36452197509454853,7.467862091895373,0.17598981268923627,0.025173542406603886,0.98,0.0,0.0,0.0,33.49,44.38,3.0,0.5952153909529205,0.19104754504312477,0.7230837305434479,0.2769162694565522,0.06827531857940168,0.09769331775770698,0.14464795761021507,33.49,44.38,3.0,0.6163515750546573,0.19497567107046912,0.7209845122998105,0.27901548770018947,0.06895480201965373,0.09898994709855889,0.1421373643898761,-0.021136184101736705,-0.003928126027344336,-0.0020992182436372865,-0.000679483440252055,-0.0012966293408519195,0.0025105932203389834,-0.0020992182436372865
expert,harmless,gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,145.44,110.04,3.0,3.0,28.59,36.68,0.23466971365625877,0.3115306904528721,5.745340337128608,1.2580977561293256,0.18122751794323816,1.0,0.04,0.04,0.00014549502300777753,36.96,48.56,3.0,0.5007574216790264,0.17151645590852227,0.7216688019041755,0.2783311980958246,0.049583263185448825,0.0984896565222001,0.23084317966657752,36.96,48.56,3.0,0.5272222746629728,0.17897729197307888,0.7047519344285885,0.29524806557141153,0.061087976381486414,0.10663743558224752,0.24941089115298543,-0.026464852983946453,-0.0074608360645566285,-0.01691686747558697,-0.011504713196037592,-0.008147779060047431,-0.018567711486407887,-0.01691686747558697
