split_index,aspect,fit_ok,n_train_obs,train_weight,n_features,n_iter
0,overall,True,17966,13165.0,30000,20
0,helpful,True,18008,13165.5,30000,20
0,truthful,True,4436,3262.0,30000,20
0,harmless,True,1368,1050.0,30000,20
1,overall,True,18064,13224.5,30000,20
1,helpful,True,18109,13231.0,30000,20
1,truthful,True,4466,3275.0,30000,20
1,harmless,True,1311,1008.5,30000,20
2,overall,True,17967,13187.5,30000,20
2,helpful,True,17981,13157.0,30000,20
2,truthful,True,4498,3295.5,30000,20
2,harmless,True,1336,1025.5,30000,20
3,overall,True,17966,13181.0,30000,20
3,helpful,True,17997,13163.5,30000,20
3,truthful,True,4427,3256.5,30000,20
3,harmless,True,1330,1027.5,30000,20
4,overall,True,18101,13267.0,30000,20
4,helpful,True,18141,13266.0,30000,20
4,truthful,True,4548,3339.0,30000,20
4,harmless,True,1345,1033.5,30000,20
5,overall,True,17805,13038.5,30000,20
5,helpful,True,17841,13024.0,30000,20
5,truthful,True,4377,3228.0,30000,20
5,harmless,True,1340,1027.5,30000,20
6,overall,True,18052,13240.0,30000,20
6,helpful,True,18090,13248.0,30000,20
6,truthful,True,4488,3306.0,30000,20
6,harmless,True,1326,1015.0,30000,20
7,overall,True,18022,13193.0,30000,20
7,helpful,True,18032,13203.0,30000,20
7,truthful,True,4516,3316.5,30000,20
7,harmless,True,1346,1038.0,30000,20
8,overall,True,17962,13164.5,30000,20
8,helpful,True,17983,13142.5,30000,20
8,truthful,True,4485,3312.0,30000,20
8,harmless,True,1357,1037.5,30000,20
9,overall,True,17925,13173.0,30000,20
9,helpful,True,17958,13139.0,30000,20
9,truthful,True,4548,3350.0,30000,20
9,harmless,True,1352,1041.0,30000,20
10,overall,True,17977,13191.0,30000,20
10,helpful,True,18007,13188.5,30000,20
10,truthful,True,4462,3292.5,30000,20
10,harmless,True,1296,989.0,30000,20
11,overall,True,17948,13191.5,30000,20
11,helpful,True,18001,13214.0,30000,20
11,truthful,True,4490,3307.5,30000,20
11,harmless,True,1276,985.0,30000,20
12,overall,True,17968,13180.0,30000,20
12,helpful,True,17977,13155.5,30000,20
12,truthful,True,4436,3248.0,30000,20
12,harmless,True,1331,1015.5,30000,20
13,overall,True,18021,13230.5,30000,20
13,helpful,True,18041,13232.5,30000,20
13,truthful,True,4503,3330.0,30000,20
13,harmless,True,1316,1003.5,30000,20
14,overall,True,18025,13187.5,30000,20
14,helpful,True,18047,13194.5,30000,20
14,truthful,True,4451,3291.5,30000,20
14,harmless,True,1298,1006.5,30000,20
15,overall,True,17996,13197.0,30000,20
15,helpful,True,18022,13212.5,30000,20
15,truthful,True,4506,3318.0,30000,20
15,harmless,True,1354,1039.0,30000,20
16,overall,True,18127,13284.5,30000,20
16,helpful,True,18165,13278.0,30000,20
16,truthful,True,4504,3304.5,30000,20
16,harmless,True,1341,1024.5,30000,20
17,overall,True,18051,13256.0,30000,20
17,helpful,True,18069,13239.0,30000,20
17,truthful,True,4497,3318.0,30000,20
17,harmless,True,1378,1050.0,30000,20
18,overall,True,17938,13121.0,30000,20
18,helpful,True,17951,13099.5,30000,20
18,truthful,True,4448,3257.5,30000,20
18,harmless,True,1322,1016.5,30000,20
19,overall,True,17942,13171.0,30000,20
19,helpful,True,17989,13163.0,30000,20
19,truthful,True,4396,3238.0,30000,20
19,harmless,True,1310,1001.0,30000,20
20,overall,True,17960,13183.5,30000,20
20,helpful,True,17990,13176.0,30000,20
20,truthful,True,4507,3315.0,30000,20
20,harmless,True,1290,991.0,30000,20
21,overall,True,17972,13199.5,30000,20
21,helpful,True,17999,13197.0,30000,20
21,truthful,True,4469,3301.0,30000,20
21,harmless,True,1353,1048.0,30000,20
22,overall,True,18013,13224.5,30000,20
22,helpful,True,18040,13224.0,30000,20
22,truthful,True,4462,3289.5,30000,20
22,harmless,True,1329,1017.5,30000,20
23,overall,True,18169,13322.0,30000,20
23,helpful,True,18162,13294.5,30000,20
23,truthful,True,4580,3380.5,30000,20
23,harmless,True,1358,1042.0,30000,20
24,overall,True,17871,13089.0,30000,20
24,helpful,True,17901,13098.5,30000,20
24,truthful,True,4409,3242.0,30000,20
24,harmless,True,1269,974.5,30000,20
25,overall,True,18033,13219.0,30000,20
25,helpful,True,18051,13209.0,30000,20
25,truthful,True,4461,3292.0,30000,20
25,harmless,True,1326,1019.0,30000,20
26,overall,True,17942,13146.5,30000,20
26,helpful,True,17992,13149.5,30000,20
26,truthful,True,4477,3282.5,30000,20
26,harmless,True,1373,1057.0,30000,20
27,overall,True,18022,13227.0,30000,20
27,helpful,True,18047,13228.0,30000,20
27,truthful,True,4520,3330.0,30000,20
27,harmless,True,1387,1066.0,30000,20
28,overall,True,17939,13162.0,30000,20
28,helpful,True,17961,13147.0,30000,20
28,truthful,True,4436,3261.5,30000,20
28,harmless,True,1342,1030.0,30000,20
29,overall,True,17982,13194.5,30000,20
29,helpful,True,17998,13173.5,30000,20
29,truthful,True,4499,3319.5,30000,20
29,harmless,True,1366,1050.0,30000,20
30,overall,True,18010,13171.0,30000,20
30,helpful,True,18023,13164.0,30000,20
30,truthful,True,4476,3288.5,30000,20
30,harmless,True,1331,1019.5,30000,20
31,overall,True,18073,13300.5,30000,20
31,helpful,True,18120,13277.0,30000,20
31,truthful,True,4482,3300.0,30000,20
31,harmless,True,1344,1042.0,30000,20
32,overall,True,18002,13222.5,30000,20
32,helpful,True,18030,13211.5,30000,20
32,truthful,True,4432,3252.0,30000,20
32,harmless,True,1362,1048.0,30000,20
33,overall,True,18016,13229.5,30000,20
33,helpful,True,18054,13221.0,30000,20
33,truthful,True,4550,3339.5,30000,20
33,harmless,True,1363,1037.0,30000,20
34,overall,True,18138,13316.0,30000,20
34,helpful,True,18166,13307.0,30000,20
34,truthful,True,4536,3344.0,30000,20
34,harmless,True,1382,1066.0,30000,20
35,overall,True,17848,13085.0,30000,20
35,helpful,True,17866,13077.0,30000,20
35,truthful,True,4422,3243.5,30000,20
35,harmless,True,1286,984.0,30000,20
36,overall,True,17972,13184.5,30000,20
36,helpful,True,17988,13172.5,30000,20
36,truthful,True,4446,3256.5,30000,20
36,harmless,True,1305,1001.5,30000,20
37,overall,True,17880,13101.0,30000,20
37,helpful,True,17909,13095.0,30000,20
37,truthful,True,4435,3255.0,30000,20
37,harmless,True,1307,998.0,30000,20
38,overall,True,18037,13217.5,30000,20
38,helpful,True,18060,13194.5,30000,20
38,truthful,True,4455,3301.0,30000,20
38,harmless,True,1333,1031.0,30000,20
39,overall,True,17974,13200.5,30000,20
39,helpful,True,18011,13200.5,30000,20
39,truthful,True,4461,3283.0,30000,20
39,harmless,True,1322,1016.5,30000,20
40,overall,True,18015,13204.5,30000,20
40,helpful,True,18048,13202.5,30000,20
40,truthful,True,4473,3281.5,30000,20
40,harmless,True,1322,1011.0,30000,20
41,overall,True,17946,13135.5,30000,20
41,helpful,True,17981,13142.0,30000,20
41,truthful,True,4482,3283.5,30000,20
41,harmless,True,1306,1010.0,30000,20
42,overall,True,17949,13157.5,30000,20
42,helpful,True,17968,13145.5,30000,20
42,truthful,True,4500,3313.5,30000,20
42,harmless,True,1317,1009.0,30000,20
43,overall,True,17916,13128.5,30000,20
43,helpful,True,17988,13170.0,30000,20
43,truthful,True,4425,3263.0,30000,20
43,harmless,True,1305,1001.0,30000,20
44,overall,True,17967,13161.0,30000,20
44,helpful,True,17969,13151.0,30000,20
44,truthful,True,4424,3254.0,30000,20
44,harmless,True,1372,1052.0,30000,20
45,overall,True,17880,13066.0,30000,20
45,helpful,True,17899,13073.5,30000,20
45,truthful,True,4416,3251.0,30000,20
45,harmless,True,1284,986.5,30000,20
46,overall,True,17960,13163.5,30000,20
46,helpful,True,17999,13168.0,30000,20
46,truthful,True,4511,3320.0,30000,20
46,harmless,True,1335,1032.0,30000,20
47,overall,True,17852,13068.0,30000,20
47,helpful,True,17883,13066.5,30000,20
47,truthful,True,4419,3265.5,30000,20
47,harmless,True,1324,1010.5,30000,20
48,overall,True,18038,13245.5,30000,20
48,helpful,True,18069,13242.5,30000,20
48,truthful,True,4516,3336.5,30000,20
48,harmless,True,1383,1066.5,30000,20
49,overall,True,17900,13130.0,30000,20
49,helpful,True,17940,13150.5,30000,20
49,truthful,True,4427,3251.0,30000,20
49,harmless,True,1329,1019.5,30000,20
