group,aspect,triplet,split_index,train_n_obs,train_total_weight,train_edges,train_eligible_edges,train_min_edge_support,train_mean_edge_support,train_mean_abs_margin,train_max_abs_margin,train_gradient_energy,train_residual_energy,train_rho_cyc,train_eligible_triples,train_cyclic_triples,train_cycle_rate,train_weighted_cycle_intensity,scalar_test_weight,scalar_test_n_obs,scalar_test_edges,scalar_test_log_loss,scalar_test_brier,scalar_test_accuracy,scalar_test_error_rate,scalar_test_calibration_abs_error,scalar_test_pair_calibration_mae,scalar_test_majority_edge_error,pairwise_test_weight,pairwise_test_n_obs,pairwise_test_edges,pairwise_test_log_loss,pairwise_test_brier,pairwise_test_accuracy,pairwise_test_error_rate,pairwise_test_calibration_abs_error,pairwise_test_pair_calibration_mae,pairwise_test_majority_edge_error,uplift_log_loss,uplift_brier,uplift_error_rate,uplift_calibration_abs_error,uplift_pair_calibration_mae,uplift_majority_edge_error,uplift_accuracy
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-3.5-turbo-0125,24.5,231.56,177.56,3.0,3.0,47.87,59.18666666666667,0.3482936416108501,0.5341053293003122,27.425314193641633,0.4360639066789011,0.01569975462305527,0.96,0.0,0.0,0.0,60.44,78.44,3.0,0.4874518175728923,0.16010813318315015,0.7576049478472363,0.2423950521527636,0.05955905772543807,0.10405013157283559,0.11132365506890818,60.44,78.44,3.0,0.6379227680225205,0.2222007559650735,0.6688413372654877,0.33115866273451233,0.0899682758048275,0.13605424327745352,0.17937830639412947,-0.15047095044962813,-0.062092622781923346,-0.08876361058174873,-0.03040921807938942,-0.03200411170461795,-0.06805465132522132,-0.08876361058174873
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-4-turbo-2024-04-09,24.5,280.56,218.26,3.0,3.0,58.12,72.75333333333333,0.34315366890803634,0.6127388180656548,40.73268437551349,2.479166309421806,0.05872244855587321,0.98,0.0,0.0,0.0,69.24,89.44,3.0,0.5176514897685474,0.1677848044509341,0.7554416514402353,0.2445583485597647,0.07596742565213141,0.10837725517999827,0.10671256564381239,69.24,89.44,3.0,0.6248772696126687,0.21625555419315987,0.64977087735016,0.35022912264984,0.06752251636510309,0.11360457296765304,0.24439509688929362,-0.1072257798441212,-0.048470749742225754,-0.10567077409007533,0.008444909287028332,-0.005227317787654781,-0.13768253124548122,-0.10567077409007533
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf,24.5,290.56,227.14,3.0,3.0,69.47,75.71333333333332,0.395368950269722,0.5136490347059189,38.044498375896914,0.9470401644930032,0.025339953244154296,1.0,0.0,0.0,0.0,73.86,94.44,3.0,0.46865713516780977,0.15363379743556815,0.7671177056416194,0.23288229435838062,0.04166772500884358,0.08157833830453498,0.03200968442905939,73.86,94.44,3.0,0.6197150190809,0.21311717893411966,0.7167067311680532,0.28329326883194683,0.05934752975980686,0.11562729253319676,0.03457654420755499,-0.15105788391309014,-0.059483381498551494,-0.0504109744735662,-0.017679804750963278,-0.034048954228661776,-0.002566859778495602,-0.0504109744735662
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Meta-Llama-3-70B-Instruct,24.5,294.58,231.13,3.0,3.0,54.89,77.04333333333334,0.2186767744970307,0.35092426056767806,13.288059548213063,0.512663746632752,0.03519214660634024,1.0,0.0,0.0,0.0,74.87,95.42,3.0,0.5224833409274074,0.16428539612937076,0.7565394320334761,0.24346056796652385,0.057008910418786744,0.09081508263513183,0.22068133473588145,74.87,95.42,3.0,0.678990324169589,0.24268857557098378,0.6042409185006875,0.3957590814993125,0.07779672013934306,0.11935226352634437,0.2555951171355527,-0.15650698324218157,-0.07840317944161304,-0.15229851353278867,-0.020787809720556317,-0.028537180891212564,-0.0349137823996713,-0.15229851353278867
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,24.5,218.24,162.83,3.0,3.0,45.89,54.27666666666667,0.30279652184138606,0.5336834481511583,21.354044113199446,0.9446194895279199,0.04469395417208385,0.98,0.0,0.0,0.0,56.17,74.76,3.0,0.47499351592856953,0.15557594822494208,0.76282393379605,0.23717606620395,0.04993549251363929,0.08113785657625167,0.12296056841601842,56.17,74.76,3.0,0.6492175479906465,0.22785485855287552,0.6172863669734362,0.38271363302656375,0.07842770660313157,0.12711113674525745,0.284283504765526,-0.17422403206207682,-0.07227891032793345,-0.1455375668226138,-0.02849221408949229,-0.04597328016900581,-0.16132293634950756,-0.1455375668226138
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,24.5,266.46,208.23,3.0,3.0,57.78,69.41,0.42602921577649616,0.5381083929060285,33.8650396766529,4.888575720428796,0.12430772891310735,1.0,0.0,0.0,0.0,70.77,89.54,3.0,0.4454642585948786,0.14794002385856658,0.7704315113541804,0.22956848864581958,0.06060992604795772,0.07664708875805873,0.03222416245344229,70.77,89.54,3.0,0.6154114551726259,0.2110390843739461,0.7162320575262533,0.2837679424737468,0.06177902890019445,0.10848131315735056,0.029760394337500263,-0.16994719657774726,-0.06309906051537953,-0.05419945382792722,-0.001169102852236729,-0.03183422439929182,0.0024637681159420293,-0.05419945382792722
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,246.28,187.8,3.0,3.0,53.52,62.6,0.3129065381628331,0.5336834481511583,23.066697514938237,0.7331440846043122,0.03270672995902573,1.0,0.0,0.0,0.0,62.7,81.72,3.0,0.5040567086045286,0.16328013146475231,0.74561101457199,0.2543889854280101,0.046437249813246095,0.0786142775129704,0.128797093458731,62.7,81.72,3.0,0.6531772073743386,0.22981568293432633,0.6411842091918519,0.358815790808148,0.0635608496376493,0.11339252515405658,0.16551673296692357,-0.14912049876981007,-0.066535551469574,-0.10442680538013795,-0.017123599824403205,-0.034778247641086175,-0.03671963950819258,-0.10442680538013795
all,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,24.5,242.26,181.7,3.0,3.0,46.65,60.56666666666667,0.19352131885835053,0.33368659398023065,10.022601930033357,1.1968295642519593,0.10309745564291382,0.96,0.04,0.041666666666666664,0.000187522991766856,60.8,80.74,3.0,0.537087699620296,0.176288798053449,0.7362531217786217,0.2637468782213782,0.05183073748840056,0.07848339664702148,0.1763507175738278,60.8,80.74,3.0,0.6806191165518061,0.24353238308039063,0.5630625895521296,0.4369374104478704,0.07787439598953041,0.13142518600074124,0.3450492755893329,-0.14353141693151003,-0.06724358502694167,-0.17319053222649217,-0.026043658501129857,-0.052941789353719765,-0.16869855801550507,-0.17319053222649217
all,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,237.42,178.14,3.0,3.0,53.31,59.38,0.196113823567823,0.3728439589616038,9.382024044462625,1.8263809232817911,0.151606541072555,0.98,0.06,0.061224489795918366,7.651327955553061e-05,60.36,80.58,3.0,0.5861551798161384,0.19222094961167108,0.7003326895801972,0.2996673104198029,0.07109243231591234,0.10019377736387515,0.2592070799429892,60.36,80.58,3.0,0.6900869545764416,0.2479441391442908,0.542685129029769,0.45731487097023105,0.06403672144608805,0.12103077392207842,0.38032112643942895,-0.10393177476030324,-0.05572318953261975,-0.15764756055042817,0.007055710869824284,-0.020836996558203286,-0.12111404649643974,-0.15764756055042817
all,harmless,allenai/tulu-2-70b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,24.5,274.52,208.59,3.0,3.0,54.95,69.53,0.31759042949836563,0.4832641805554427,27.830948913576343,0.2823423234931397,0.010365246846355652,1.0,0.0,0.0,0.0,69.91,92.48,3.0,0.47407000717367476,0.1538514913650971,0.7720061398781081,0.22799386012189185,0.04870581312618454,0.06508718220808514,0.08979878302614536,69.91,92.48,3.0,0.6316853240718208,0.2197111999670426,0.6723289359130622,0.3276710640869377,0.07848806277168668,0.10907914315942825,0.12014768174898427,-0.15761531689814604,-0.06585970860194554,-0.09967720396504587,-0.029782249645502152,-0.043991960951343126,-0.03034889872283891,-0.09967720396504587
all,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,24.5,242.92,183.65,3.0,3.0,44.34,61.21666666666667,0.3606400744871975,0.6127388180656548,35.87010734725158,4.3779929438682075,0.11059097306260973,0.96,0.0,0.0,0.0,61.85,82.08,3.0,0.47890340306183127,0.1618389117539201,0.7580436877955027,0.24195631220449726,0.05010270878720189,0.10362806755612641,0.0900434351287874,61.85,82.08,3.0,0.6258674013907988,0.21667986210683027,0.6787314565329653,0.32126854346703465,0.07820358250825889,0.12786911412636506,0.1520145801266405,-0.14696399832896753,-0.05484095035291017,-0.07931223126253743,-0.028100873721056994,-0.024241046570238636,-0.061971144997853084,-0.07931223126253743
all,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,24.5,258.26,200.55,3.0,3.0,48.24,66.85,0.36417619542518354,0.518306649773687,34.200374682906805,1.7153578916708196,0.04797550456832191,0.96,0.0,0.0,0.0,70.45,90.74,3.0,0.5082391123004452,0.17265386510401157,0.7337703160222435,0.26622968397775654,0.062357169694379044,0.0885542165148253,0.06831787525570918,70.45,90.74,3.0,0.6389605826985746,0.22272276275589573,0.6645995623143147,0.3354004376856853,0.06569211147742919,0.11720201944160595,0.13218972019528347,-0.13072147039812942,-0.05006889765188414,-0.06917075370792876,-0.0033349417830501426,-0.02864780292678064,-0.06387184493957428,-0.06917075370792876
all,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,24.5,293.86,227.95,3.0,3.0,48.24,75.98333333333333,0.19617832436549043,0.28042623929326693,10.005370024469991,0.5402729176239315,0.050634759957263374,0.96,0.0,0.0,0.0,74.55,96.14,3.0,0.47225906017010966,0.15926323588893818,0.7509537133972362,0.24904628660276384,0.04650159852619984,0.08353522852004733,0.21942155470677044,74.55,96.14,3.0,0.6947318354580471,0.25045732082629163,0.5824709264964454,0.4175290735035546,0.06414197765955121,0.1281672769692849,0.2651815334576318,-0.22247277528793746,-0.09119408493735343,-0.16848278690079085,-0.01764037913335138,-0.04463204844923757,-0.045759978750861394,-0.16848278690079085
