split_index,group,aspect,fit_ok,n_train_obs,train_weight,n_features,n_iter
0,all,overall,True,17966,13165.0,30000,20
0,all,helpful,True,18008,13165.5,30000,20
0,all,truthful,True,4436,3262.0,30000,20
0,all,harmless,True,1368,1050.0,30000,20
0,normal,overall,True,9035,6747.5,30000,20
0,normal,helpful,True,9014,6691.0,30000,20
0,normal,truthful,True,1990,1477.5,30000,20
0,normal,harmless,True,602,467.0,30000,20
0,expert,overall,True,8931,6417.5,30000,20
0,expert,helpful,True,8994,6474.5,30000,20
0,expert,truthful,True,2446,1784.5,30000,20
0,expert,harmless,True,766,583.0,30000,13
1,all,overall,True,18064,13224.5,30000,20
1,all,helpful,True,18109,13231.0,30000,20
1,all,truthful,True,4466,3275.0,30000,20
1,all,harmless,True,1311,1008.5,30000,20
1,normal,overall,True,9085,6799.0,30000,20
1,normal,helpful,True,9062,6740.5,30000,20
1,normal,truthful,True,1999,1484.5,30000,20
1,normal,harmless,True,590,458.5,30000,20
1,expert,overall,True,8979,6425.5,30000,20
1,expert,helpful,True,9047,6490.5,30000,20
1,expert,truthful,True,2467,1790.5,30000,20
1,expert,harmless,True,721,550.0,30000,20
2,all,overall,True,17967,13187.5,30000,20
2,all,helpful,True,17981,13157.0,30000,20
2,all,truthful,True,4498,3295.5,30000,20
2,all,harmless,True,1336,1025.5,30000,20
2,normal,overall,True,9024,6748.0,30000,20
2,normal,helpful,True,8987,6682.0,30000,20
2,normal,truthful,True,2012,1488.5,30000,20
2,normal,harmless,True,584,453.0,30000,20
2,expert,overall,True,8943,6439.5,30000,20
2,expert,helpful,True,8994,6475.0,30000,20
2,expert,truthful,True,2486,1807.0,30000,20
2,expert,harmless,True,752,572.5,30000,20
3,all,overall,True,17966,13181.0,30000,20
3,all,helpful,True,17997,13163.5,30000,20
3,all,truthful,True,4427,3256.5,30000,20
3,all,harmless,True,1330,1027.5,30000,20
3,normal,overall,True,9047,6767.0,30000,20
3,normal,helpful,True,9015,6700.0,30000,20
3,normal,truthful,True,1968,1460.5,30000,20
3,normal,harmless,True,578,451.0,30000,20
3,expert,overall,True,8919,6414.0,30000,20
3,expert,helpful,True,8982,6463.5,30000,20
3,expert,truthful,True,2459,1796.0,30000,20
3,expert,harmless,True,752,576.5,30000,20
4,all,overall,True,18101,13267.0,30000,20
4,all,helpful,True,18141,13266.0,30000,20
4,all,truthful,True,4548,3339.0,30000,20
4,all,harmless,True,1345,1033.5,30000,20
4,normal,overall,True,9095,6799.0,30000,20
4,normal,helpful,True,9073,6737.0,30000,20
4,normal,truthful,True,2045,1510.0,30000,20
4,normal,harmless,True,594,461.0,30000,15
4,expert,overall,True,9006,6468.0,30000,20
4,expert,helpful,True,9068,6529.0,30000,20
4,expert,truthful,True,2503,1829.0,30000,20
4,expert,harmless,True,751,572.5,30000,10
5,all,overall,True,17805,13038.5,30000,20
5,all,helpful,True,17841,13024.0,30000,20
5,all,truthful,True,4377,3228.0,30000,20
5,all,harmless,True,1340,1027.5,30000,20
5,normal,overall,True,8955,6686.5,30000,20
5,normal,helpful,True,8932,6624.5,30000,20
5,normal,truthful,True,1949,1448.5,30000,20
5,normal,harmless,True,594,459.0,30000,20
5,expert,overall,True,8850,6352.0,30000,20
5,expert,helpful,True,8909,6399.5,30000,20
5,expert,truthful,True,2428,1779.5,30000,20
5,expert,harmless,True,746,568.5,30000,20
6,all,overall,True,18052,13240.0,30000,20
6,all,helpful,True,18090,13248.0,30000,20
6,all,truthful,True,4488,3306.0,30000,20
6,all,harmless,True,1326,1015.0,30000,20
6,normal,overall,True,9076,6787.0,30000,20
6,normal,helpful,True,9043,6731.5,30000,20
6,normal,truthful,True,1998,1488.0,30000,20
6,normal,harmless,True,581,448.0,30000,20
6,expert,overall,True,8976,6453.0,30000,20
6,expert,helpful,True,9047,6516.5,30000,20
6,expert,truthful,True,2490,1818.0,30000,20
6,expert,harmless,True,745,567.0,30000,20
7,all,overall,True,18022,13193.0,30000,20
7,all,helpful,True,18032,13203.0,30000,20
7,all,truthful,True,4516,3316.5,30000,20
7,all,harmless,True,1346,1038.0,30000,20
7,normal,overall,True,9057,6758.5,30000,20
7,normal,helpful,True,9017,6702.0,30000,20
7,normal,truthful,True,2043,1522.5,30000,20
7,normal,harmless,True,592,460.0,30000,19
7,expert,overall,True,8965,6434.5,30000,20
7,expert,helpful,True,9015,6501.0,30000,20
7,expert,truthful,True,2473,1794.0,30000,20
7,expert,harmless,True,754,578.0,30000,20
8,all,overall,True,17962,13164.5,30000,20
8,all,helpful,True,17983,13142.5,30000,20
8,all,truthful,True,4485,3312.0,30000,20
8,all,harmless,True,1357,1037.5,30000,20
8,normal,overall,True,9027,6744.5,30000,20
8,normal,helpful,True,9015,6684.5,30000,20
8,normal,truthful,True,2000,1494.0,30000,20
8,normal,harmless,True,587,454.0,30000,20
8,expert,overall,True,8935,6420.0,30000,20
8,expert,helpful,True,8968,6458.0,30000,20
8,expert,truthful,True,2485,1818.0,30000,20
8,expert,harmless,True,770,583.5,30000,20
9,all,overall,True,17925,13173.0,30000,20
9,all,helpful,True,17958,13139.0,30000,20
9,all,truthful,True,4548,3350.0,30000,20
9,all,harmless,True,1352,1041.0,30000,20
9,normal,overall,True,9018,6755.0,30000,20
9,normal,helpful,True,8981,6673.0,30000,20
9,normal,truthful,True,2033,1516.0,30000,20
9,normal,harmless,True,594,462.0,30000,13
9,expert,overall,True,8907,6418.0,30000,20
9,expert,helpful,True,8977,6466.0,30000,20
9,expert,truthful,True,2515,1834.0,30000,20
9,expert,harmless,True,758,579.0,30000,20
