group,aspect,triplet,train_rho_cyc,test_log_loss,test_brier,test_error_rate,test_calibration_abs_error,test_pair_calibration_mae,test_majority_edge_error,n
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-3.5-turbo-0125,0.02778676739305989,0.4661936657171041,0.1539518792685343,0.23215099056846727,0.06287741023617739,0.09610408371356972,0.0,10
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | gpt-4-turbo-2024-04-09,0.038098007127078434,0.4936942137971574,0.1618601828321013,0.23604322694843632,0.06423008993648273,0.11294008830645219,0.1258881785564738,10
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Llama-2-70b-chat-hf,0.03243268489230346,0.41151841956978047,0.13397105118718203,0.1981381019305086,0.0437526271900519,0.0686384144033077,0.0,10
all,harmless,allenai/tulu-2-70b | allenai/tulu-2-7b | meta-llama/Meta-Llama-3-70B-Instruct,0.029647455433498587,0.4959576195768821,0.15513798785445573,0.23720152151510013,0.0452758864415973,0.07481555372130058,0.1584106401684761,10
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.03572741819475063,0.48043512464799437,0.16015906694221477,0.24658987275733266,0.053230181232652794,0.08449611969975956,0.19303422749023688,10
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Llama-2-70b-chat-hf,0.09968832780720038,0.39670040965969716,0.1331096317260376,0.20877707338429724,0.06674663405898476,0.07869301065088061,0.02519685039370078,10
all,harmless,allenai/tulu-2-70b | gpt-3.5-turbo-0125 | meta-llama/Meta-Llama-3-70B-Instruct,0.02621164543633776,0.5010738763765581,0.16234904577586162,0.2527667088731843,0.036409636645740075,0.08233789662800131,0.12301845830085245,10
all,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Llama-2-70b-chat-hf,0.09479851983733162,0.5162341343500346,0.1718999691416562,0.26340900393813954,0.051088917854919945,0.07497598679115654,0.20243457002779114,10
all,harmless,allenai/tulu-2-70b | gpt-4-turbo-2024-04-09 | meta-llama/Meta-Llama-3-70B-Instruct,0.11378602967896931,0.6139764895287716,0.20470117093248336,0.3273833989214877,0.07422836287203002,0.09798446473053296,0.4447215545021358,10
all,harmless,allenai/tulu-2-70b | meta-llama/Llama-2-70b-chat-hf | meta-llama/Meta-Llama-3-70B-Instruct,0.01334913527176404,0.4590496890967752,0.1474646161927995,0.21578921616168673,0.0450033865846095,0.06192207787988271,0.10344137924737407,10
all,harmless,allenai/tulu-2-7b | gpt-3.5-turbo-0125 | gpt-4-turbo-2024-04-09,0.08862996303662124,0.45585555814731993,0.15275831025682254,0.2218393564002477,0.06012318936190243,0.10892650712166876,0.02358490566037736,10
