scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,pearson_p,spearman_rho_cyc,spearman_p,partial_beta_rho_cyc
all,test_log_loss,12000,50,0.027388838839631707,0.6079776247440027,-0.10245389900459242,2.2714240163158955e-29,-0.03815360557051115,2.9073480560798753e-05,-0.051118230184372185
all,test_brier,12000,50,0.027388838839631707,0.20477529433918862,-0.0851530373363569,9.271738880423274e-21,-0.0463532689955088,3.775387738758678e-07,-0.0437744062478632
all,test_error_rate,12000,50,0.027388838839631707,0.3085449228547878,-0.021449850971677484,0.018786579648429676,0.0003671669964385912,0.9679201718162637,-0.036459615592172125
all,test_calibration_abs_error,12000,50,0.027388838839631707,0.0491110892254992,0.15103084473597553,3.6731312727238167e-62,0.17489469337426872,4.8071441870031855e-83,-0.027008178506638076
all,test_pair_calibration_mae,12000,50,0.027388838839631707,0.07450273414892339,0.25155884954045493,1.390568217861518e-172,0.3562055038833715,0.0,0.007086509613547464
all,test_majority_edge_error,12000,50,0.027388838839631707,0.11465854561920408,0.12745195856151498,1.2199394627239236e-44,0.08695159669846214,1.3989585217742625e-21,0.011634942854399541
group=all,test_log_loss,4000,50,0.02339391823676804,0.5967559403959806,-0.11316473384218963,7.074011805103987e-13,-0.0792892817680801,5.139422058534241e-07,-0.036677320072771524
group=all,test_brier,4000,50,0.02339391823676804,0.20181321852485148,-0.09268976213191213,4.279023673374976e-09,-0.08724531357783209,3.263211137748521e-08,-0.026964461698626166
group=all,test_error_rate,4000,50,0.02339391823676804,0.3056801025332709,-0.03333899308100376,0.03499034353651017,-0.053503795628833624,0.0007111492795884383,-0.023079960086804602
group=all,test_calibration_abs_error,4000,50,0.02339391823676804,0.04506690499192813,0.0923903652301157,4.799540577672622e-09,0.11795117480944842,7.226326186045272e-14,-0.07915919251166563
group=all,test_pair_calibration_mae,4000,50,0.02339391823676804,0.06862650914051487,0.21221422417071595,5.847609191377483e-42,0.28365108647819287,6.708135918606269e-75,-0.012975228428567905
group=all,test_majority_edge_error,4000,50,0.02339391823676804,0.1047672390477289,0.09734868464969332,6.846079899020204e-10,-0.029682371450641367,0.06050372665409852,0.007220277555481701
group=expert,test_log_loss,4000,50,0.03024566379677653,0.632704052255026,-0.1057948858023856,1.9758560483870716e-11,-0.08708434369277147,3.4589950821731634e-08,-0.09687159787425206
group=expert,test_brier,4000,50,0.03024566379677653,0.212599748685785,-0.0857614521944341,5.561803501091812e-08,-0.10103983118998945,1.5064700929820904e-10,-0.06142536237294039
group=expert,test_error_rate,4000,50,0.03024566379677653,0.3190697782625555,-0.024873852506180023,0.11573914486200787,-0.04829077024529503,0.0022505734956355713,-0.039502635263045593
group=expert,test_calibration_abs_error,4000,50,0.03024566379677653,0.05104491692468108,0.1561644518136786,2.942727717934074e-23,0.18069533198095825,1.0516058861146869e-30,-0.02439634035245012
group=expert,test_pair_calibration_mae,4000,50,0.03024566379677653,0.07648064031410678,0.26377150437761177,1.180334745470264e-64,0.3936457320403582,2.1680679899793755e-148,0.019205087162734426
group=expert,test_majority_edge_error,4000,50,0.03024566379677653,0.11921292952042412,0.12663275895022805,9.069597818094165e-16,0.11239456503150089,1.012237997742467e-12,-0.023429469094501127
group=normal,test_log_loss,4000,50,0.028526934485350545,0.5944728815810018,-0.11320507572527005,6.942013990207097e-13,0.034023387063961685,0.03141481683136388,0.02072261733624268
group=normal,test_brier,4000,50,0.028526934485350545,0.19991291580692944,-0.09527574342703501,1.5640181494025452e-09,0.035813430363339394,0.023509067293196857,0.005973032345818994
group=normal,test_error_rate,4000,50,0.028526934485350545,0.30088488776853706,-0.016281631111841416,0.3032508102619855,0.101556614189485,1.213402779565329e-10,0.003199131883251128
group=normal,test_calibration_abs_error,4000,50,0.028526934485350545,0.051221445759888386,0.18227536768696656,3.18622866999577e-31,0.22126085076630317,1.50206874664226e-45,0.016898617581251767
group=normal,test_pair_calibration_mae,4000,50,0.028526934485350545,0.07840105299214851,0.26083572334061,3.2561149058020936e-63,0.38191141655696353,4.453667139755836e-139,0.014638054513945344
group=normal,test_majority_edge_error,4000,50,0.028526934485350545,0.11999546828945924,0.15020748920931193,1.2817666241474408e-21,0.16659919702291498,2.7478629220016616e-26,0.068624006648739
aspect=harmless,test_log_loss,3000,50,0.06494515671477638,0.5056002913925096,-0.04475624125562364,0.0142219837154306,-0.023169519018835443,0.20455227549089547,-0.06790170790593697
aspect=harmless,test_brier,3000,50,0.06494515671477638,0.16650573341116934,-0.030100853689067508,0.09927511493946313,-0.007390360821151201,0.6857542344249745,-0.04499950709173737
aspect=harmless,test_error_rate,3000,50,0.06494515671477638,0.25496062839023137,0.004714431436895599,0.7963190303176901,0.031419017278964935,0.08532379067467134,-0.00867228972466584
aspect=harmless,test_calibration_abs_error,3000,50,0.06494515671477638,0.06176031587285501,0.05705441306891239,0.0017705506134156536,0.04464136362681818,0.014472839676362275,0.03591363647851307
