scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,pearson_p,spearman_rho_cyc,spearman_p,partial_beta_rho_cyc
all,test_log_loss,24,1,0.018303341527029084,0.6371973621460438,-0.658595870128915,0.0004667252945905206,-0.34695652173913033,0.09670236783045817,-0.7304947179954585
all,test_brier,24,1,0.018303341527029084,0.20766588503405625,-0.6857652720440789,0.00021658763669397458,-0.5591304347826086,0.004505654150996765,-0.41455589867272863
all,test_error_rate,24,1,0.018303341527029084,0.30651216707144385,-0.6951276826230791,0.00016314226650819381,-0.608695652173913,0.0015973786342728961,-0.3206355837195188
all,test_calibration_abs_error,24,1,0.018303341527029084,0.0421128591838514,0.44204050540364825,0.030559507680363352,0.43478260869565216,0.033737255575550164,0.19835322376479736
all,test_pair_calibration_mae,24,1,0.018303341527029084,0.07241732344783837,0.6819633723861629,0.00024230167009839384,0.728695652173913,5.387149836099811e-05,0.23789764114123718
all,test_majority_edge_error,24,1,0.018303341527029084,0.033033924237627944,-0.01818773505839455,0.9327770073603188,0.19038272587819868,0.37288591950493555,-0.22912311819890113
group=all,test_log_loss,8,1,0.01630920506331788,0.6257643879903505,-0.3034666012287391,0.4649685422728407,-0.30952380952380953,0.4556448907375822,-0.8349129418822776
group=all,test_brier,8,1,0.01630920506331788,0.20505242140635188,-0.5755015457540019,0.13552013220405756,-0.7142857142857144,0.04652823228416724,-0.5024055413824867
group=all,test_error_rate,8,1,0.01630920506331788,0.3042517304144865,-0.679997525996511,0.06351883187286064,-0.7380952380952381,0.03655276105286081,0.012325477795925988
group=all,test_calibration_abs_error,8,1,0.01630920506331788,0.0502756250558483,0.45752111647450927,0.25434375887304816,0.5714285714285715,0.13895995716070667,-1.1774828994650555
group=all,test_pair_calibration_mae,8,1,0.01630920506331788,0.07128207487641042,0.7572999291422603,0.029549876674401513,0.6666666666666669,0.07098765432098751,-0.1910348448164564
group=all,test_majority_edge_error,8,1,0.01630920506331788,0.0,,,,,
group=expert,test_log_loss,8,1,0.012776106378182071,0.692508686880215,-0.2998932372274069,0.470504530890359,-0.14285714285714288,0.735764859879812,0.5469896192285029
group=expert,test_brier,8,1,0.012776106378182071,0.219131089955506,-0.7012204476019726,0.05263054594709721,-0.5000000000000001,0.20703124999999997,0.33047643255616155
group=expert,test_error_rate,8,1,0.012776106378182071,0.3265494793645698,-0.830592059184704,0.010662624929033382,-0.7857142857142858,0.020815127253525276,0.1024940125849814
group=expert,test_calibration_abs_error,8,1,0.012776106378182071,0.02617823931630335,0.12720665677215853,0.7640480265106615,-0.3333333333333334,0.4197530864197531,-1.6781602971705651
group=expert,test_pair_calibration_mae,8,1,0.012776106378182071,0.0744738354543955,0.5734954174968898,0.13720842077901915,0.4047619047619048,0.3198886412288162,1.0026248096990589
group=expert,test_majority_edge_error,8,1,0.012776106378182071,0.09910177271288383,0.30567259600093855,0.46156408965620715,0.31173984319427483,0.4522530051414758,1.7866344483483578
group=normal,test_log_loss,8,1,0.025824713139587292,0.5933190115675662,-0.8463044112050184,0.008062505489431321,-0.5000000000000001,0.20703124999999997,-0.47999444313361184
group=normal,test_brier,8,1,0.025824713139587292,0.19881414374031092,-0.7990265044102403,0.017357583997083044,-0.5000000000000001,0.20703124999999997,-0.36047994755798657
group=normal,test_error_rate,8,1,0.025824713139587292,0.2887352914352753,-0.7728802198883402,0.024526559779253426,-0.4523809523809524,0.260404767436885,-0.32074787102424945
group=normal,test_calibration_abs_error,8,1,0.025824713139587292,0.04988471317940255,0.483827501157168,0.22445460109986312,0.8095238095238096,0.014902667686230067,-1.0387660347015795
group=normal,test_pair_calibration_mae,8,1,0.025824713139587292,0.07149606001270917,0.8026103616039876,0.016493020712242106,0.8095238095238096,0.014902667686230067,-0.10513771324490673
group=normal,test_majority_edge_error,8,1,0.025824713139587292,0.0,,,,,
aspect=harmless,test_log_loss,6,1,0.04829850623578725,0.5864329807765886,-0.9392401884270241,0.005425476893530077,-0.7714285714285715,0.07239650145772594,
aspect=harmless,test_brier,6,1,0.04829850623578725,0.17077138730174438,-0.9371518024701693,0.005800721979221102,-0.6,0.20799999999999982,
aspect=harmless,test_error_rate,6,1,0.04829850623578725,0.22447876471083225,-0.982632561306587,0.0004498226378909853,-0.8285714285714287,0.04156268221574334,
aspect=harmless,test_calibration_abs_error,6,1,0.04829850623578725,0.07600832827756714,0.1536435867366744,0.7713481021709471,0.48571428571428577,0.3287230320699709,
aspect=harmless,test_pair_calibration_mae,6,1,0.04829850623578725,0.13826171730783696,0.5640139621207503,0.24368879092593912,0.5428571428571429,0.26570262390670557,
aspect=harmless,test_majority_edge_error,6,1,0.04829850623578725,0.049145299145299144,-0.35129500277122017,0.4947338341301554,-0.39279220242478635,0.4411128091213043,
aspect=helpful,test_log_loss,6,1,0.005519617831914589,0.6092662330766538,-0.6782500729888227,0.13863026195189646,-0.6,0.20799999999999982,
aspect=helpful,test_brier,6,1,0.005519617831914589,0.206964561927213,-0.7230189901179597,0.10445293874221762,-0.6,0.20799999999999982,
