group,aspect,model,scalar_score
all,overall,allenai/tulu-2-70b,-0.2083461035330363
all,overall,allenai/tulu-2-7b,-0.3824760986214415
all,overall,gpt-3.5-turbo-0125,-0.20878119529061873
all,overall,gpt-4-turbo-2024-04-09,0.37070065572096944
all,overall,meta-llama/Llama-2-70b-chat-hf,0.14098093043972637
all,overall,meta-llama/Meta-Llama-3-70B-Instruct,0.28792181128440064
all,helpful,allenai/tulu-2-70b,-0.24413467356642377
all,helpful,allenai/tulu-2-7b,-0.37404704315094
all,helpful,gpt-3.5-turbo-0125,-0.19216551678335586
all,helpful,gpt-4-turbo-2024-04-09,0.3692261913249353
all,helpful,meta-llama/Llama-2-70b-chat-hf,0.12571511388952913
all,helpful,meta-llama/Meta-Llama-3-70B-Instruct,0.3154059282862551
all,truthful,allenai/tulu-2-70b,-0.06886357233823673
all,truthful,allenai/tulu-2-7b,-0.35944384395734585
all,truthful,gpt-3.5-turbo-0125,-0.07536843260481157
all,truthful,gpt-4-turbo-2024-04-09,0.42051937283050056
all,truthful,meta-llama/Llama-2-70b-chat-hf,-0.09175734906614452
all,truthful,meta-llama/Meta-Llama-3-70B-Instruct,0.1749138251360381
all,harmless,allenai/tulu-2-70b,0.11266009474421584
all,harmless,allenai/tulu-2-7b,-0.2548474121199769
all,harmless,gpt-3.5-turbo-0125,-0.2810814729851961
all,harmless,gpt-4-turbo-2024-04-09,0.20056742247961817
all,harmless,meta-llama/Llama-2-70b-chat-hf,0.3181742713984713
all,harmless,meta-llama/Meta-Llama-3-70B-Instruct,-0.09547290351713236
normal,overall,allenai/tulu-2-70b,-0.2125077581203338
normal,overall,allenai/tulu-2-7b,-0.3927714953676357
normal,overall,gpt-3.5-turbo-0125,-0.22482642828292537
normal,overall,gpt-4-turbo-2024-04-09,0.3639394059760923
normal,overall,meta-llama/Llama-2-70b-chat-hf,0.1545775545977248
normal,overall,meta-llama/Meta-Llama-3-70B-Instruct,0.31158872119707776
normal,helpful,allenai/tulu-2-70b,-0.2541470201054955
normal,helpful,allenai/tulu-2-7b,-0.3810551376292808
normal,helpful,gpt-3.5-turbo-0125,-0.20417745746416338
normal,helpful,gpt-4-turbo-2024-04-09,0.36262023711603125
normal,helpful,meta-llama/Llama-2-70b-chat-hf,0.13532786032488422
normal,helpful,meta-llama/Meta-Llama-3-70B-Instruct,0.34143151775802405
normal,truthful,allenai/tulu-2-70b,-0.07799898044993328
normal,truthful,allenai/tulu-2-7b,-0.37014541163326675
normal,truthful,gpt-3.5-turbo-0125,-0.03622540704743904
normal,truthful,gpt-4-turbo-2024-04-09,0.3977764916079037
normal,truthful,meta-llama/Llama-2-70b-chat-hf,-0.11087003721592761
normal,truthful,meta-llama/Meta-Llama-3-70B-Instruct,0.19746334473866298
normal,harmless,allenai/tulu-2-70b,0.10794717668889067
normal,harmless,allenai/tulu-2-7b,-0.2683626144533417
normal,harmless,gpt-3.5-turbo-0125,-0.33727116789616696
normal,harmless,gpt-4-turbo-2024-04-09,0.22063345072709592
normal,harmless,meta-llama/Llama-2-70b-chat-hf,0.36048161569488585
normal,harmless,meta-llama/Meta-Llama-3-70B-Instruct,-0.08342846076136382
expert,overall,allenai/tulu-2-70b,-0.2039956993752661
expert,overall,allenai/tulu-2-7b,-0.37147250664264564
expert,overall,gpt-3.5-turbo-0125,-0.19139600964120643
expert,overall,gpt-4-turbo-2024-04-09,0.3773866884693079
expert,overall,meta-llama/Llama-2-70b-chat-hf,0.12675168729628786
expert,overall,meta-llama/Meta-Llama-3-70B-Instruct,0.2627258398935225
expert,helpful,allenai/tulu-2-70b,-0.23390759981518586
expert,helpful,allenai/tulu-2-7b,-0.3665126426107006
expert,helpful,gpt-3.5-turbo-0125,-0.17922811994368318
expert,helpful,gpt-4-turbo-2024-04-09,0.3757334746949973
expert,helpful,meta-llama/Llama-2-70b-chat-hf,0.11554054027657351
expert,helpful,meta-llama/Meta-Llama-3-70B-Instruct,0.28837434739799894
expert,truthful,allenai/tulu-2-70b,-0.060774797822772064
expert,truthful,allenai/tulu-2-7b,-0.35112840859187733
expert,truthful,gpt-3.5-turbo-0125,-0.10737781681922737
expert,truthful,gpt-4-turbo-2024-04-09,0.43753639035174036
expert,truthful,meta-llama/Llama-2-70b-chat-hf,-0.0766229543408194
expert,truthful,meta-llama/Meta-Llama-3-70B-Instruct,0.15836758722295574
expert,harmless,allenai/tulu-2-70b,0.11801289012758723
expert,harmless,allenai/tulu-2-7b,-0.2433395275846102
expert,harmless,gpt-3.5-turbo-0125,-0.23788415490276743
expert,harmless,gpt-4-turbo-2024-04-09,0.18555371150953648
expert,harmless,meta-llama/Llama-2-70b-chat-hf,0.28052542137725517
expert,harmless,meta-llama/Meta-Llama-3-70B-Instruct,-0.10286834052700125
