group,aspect,n_annotations,n_non_tie_weighted_observations,nodes,edges,eligible_triples,observed_cyclic_triples,fit_success,n_fitted_edges_at_bound,n_null,seed,margin_bound,observed_rho_cyc,null_mean_rho_cyc,null_sd_rho_cyc,z_rho_cyc,p_ge_rho_cyc,null_q025_rho_cyc,null_q500_rho_cyc,null_q975_rho_cyc,observed_cycle_rate,null_mean_cycle_rate,null_sd_cycle_rate,z_cycle_rate,p_ge_cycle_rate,null_q025_cycle_rate,null_q500_cycle_rate,null_q975_cycle_rate,null_mean_cyclic_triples,null_sd_cyclic_triples,z_cyclic_triples,p_ge_cyclic_triples,null_q025_cyclic_triples,null_q500_cyclic_triples,null_q975_cyclic_triples,q_ge_rho_cyc_bh,q_ge_cycle_rate_bh,q_ge_cyclic_triples_bh
all,overall,31934,17586.0,6,15,20,0.0,True,0,5000,20260615,0.999,0.008520280843481864,0.0018006949501144824,0.0008244356956533357,8.150527601843285,0.0001999600079984003,0.0005610569876049063,0.0016699858021796783,0.003768714146800721,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0007998400319936012,1.0,1.0
all,helpful,31934,17580.0,6,15,20,0.0,True,0,5000,20260615,0.999,0.009708297511369604,0.001739022688458944,0.000770799708469755,10.338969689975384,0.0001999600079984003,0.0005624472131116172,0.001631861065045142,0.0034984312188634497,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0007998400319936012,1.0,1.0
all,truthful,31934,4389.5,6,15,20,0.0,True,0,5000,20260615,0.999,0.04166460532452503,0.010488721568923104,0.004719815156278329,6.605318793921741,0.0001999600079984003,0.0034835626562295385,0.009815308593145618,0.0217201233165859,0.0,0.01118,0.020834932658489128,-0.5365988065934422,1.0,0.0,0.0,0.05,0.2236,0.41669865316978255,-0.5365988065934422,1.0,0.0,0.0,1.0,0.0007998400319936012,1.0,1.0
all,harmless,31934,1365.5,6,15,20,0.0,True,0,5000,20260615,0.999,0.08315117285759348,0.04033659239987417,0.01802810972932926,2.374879069438204,0.02579484103179364,0.013233359740758984,0.03765015546178703,0.08347869303370468,0.0,0.0028975000000000003,0.012360877881865918,-0.23440891720569385,1.0,0.0,0.0,0.05,0.0574,0.2443709954898235,-0.23488875954753127,1.0,0.0,0.0,1.0,0.03439312137572485,1.0,1.0
normal,overall,15937,9020.0,6,15,20,0.0,True,0,5000,20260615,0.999,0.009837154946122542,0.0033117755143555194,0.0015094002729592625,4.323160362872902,0.0007998400319936012,0.0010484799442639916,0.003064859932009686,0.006886500072267895,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.001919616076784643,1.0,1.0
normal,helpful,15937,8942.5,6,15,20,0.0,True,0,5000,20260615,0.999,0.01052255369381372,0.003171807983478372,0.0014362346588032147,5.1180673473376395,0.0003999200159968006,0.0009904869405819756,0.0029613223591701708,0.006472556572632521,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0011997600479904018,1.0,1.0
normal,truthful,15937,1986.0,6,15,20,0.0,True,0,5000,20260615,0.999,0.06371428212485439,0.022761551318919934,0.010194078484458762,4.017305818114737,0.001999600079984003,0.007601906050381118,0.02133553456771189,0.04692848716904473,0.0,0.00734,0.017883326387239443,-0.4104381836500742,1.0,0.0,0.0,0.05,0.1466,0.3571189532765768,-0.41050747560425105,1.0,0.0,0.0,1.0,0.0034278858514011487,1.0,1.0
normal,harmless,15937,605.5,6,15,20,0.0,True,0,5000,20260615,0.999,0.09350022391691994,0.06672784428160254,0.02996683434262837,0.8934003281498838,0.1757648470305939,0.021433014167297735,0.06235533934189809,0.1372994978640663,0.0,0.0080525,0.022468911058233964,-0.3583840791896801,1.0,0.0,0.0,0.05,0.1606,0.448160473002598,-0.3583537810106448,1.0,0.0,0.0,1.0,0.1917434694879206,1.0,1.0
expert,overall,15997,8566.0,6,15,20,0.0,True,0,5000,20260615,0.999,0.00977913328764012,0.00399517897454743,0.0018230366923233862,3.172703181152803,0.0065986802639472104,0.0012737872894826537,0.00372421820792043,0.00815029533508369,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.009898020395920816,1.0,1.0
expert,helpful,15997,8637.5,6,15,20,0.0,True,0,5000,20260615,0.999,0.011087637186711146,0.003755910511352498,0.0016891580355148541,4.340462242849848,0.001799640071985603,0.0012114708658894824,0.003502747164628512,0.007745571424743869,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0034278858514011487,1.0,1.0
expert,truthful,15997,2403.5,6,15,20,0.0,True,0,5000,20260615,0.999,0.03783489748437883,0.01878338539493261,0.008594522109855384,2.2167040640456026,0.03079384123175365,0.006069578185147009,0.017449828242635516,0.03880470531265523,0.0,0.01015,0.02021284769255358,-0.502155864150664,1.0,0.0,0.0,0.05,0.203,0.4042569538510715,-0.5021558641506643,1.0,0.0,0.0,1.0,0.03695260947810438,1.0,1.0
expert,harmless,15997,760.0,6,15,20,0.0,True,0,5000,20260615,0.999,0.11085383344841393,0.08543545216958391,0.038752630929176246,0.6559136933253458,0.22495500899820037,0.027031003815968745,0.07979816064306153,0.17570882608966354,0.0,0.012759999999999999,0.02715842256065688,-0.46983582980569744,1.0,0.0,0.0,0.1,0.2498,0.5301473108808974,-0.4711897898433742,1.0,0.0,0.0,2.0,0.22495500899820034,1.0,1.0
