scope,group,prompt_id,aspect,n_annotations,nodes,observed_edges,eligible_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity,gradient_energy,residual_energy,rho_cyc
global,all,ALL,overall,31934,6,15,15,20,0,0.0,0.0,3642.744004929087,31.303920154120757,0.008520280843481868
global,all,ALL,helpful,31934,6,15,15,20,0,0.0,0.0,3783.54342363203,37.091864055305855,0.009708297511369604
global,all,ALL,truthful,31934,6,15,15,20,0,0.0,0.0,661.1403174562296,28.74374727677975,0.04166460532452501
global,all,ALL,harmless,31934,6,15,15,20,0,0.0,0.0,175.0906433972215,15.8793815554593,0.08315117285759345
global,group=expert,ALL,overall,15997,6,15,15,20,0,0.0,0.0,1649.3376458865655,16.28837890378704,0.00977913328764012
global,group=expert,ALL,helpful,15997,6,15,15,20,0,0.0,0.0,1733.351705311135,19.434254791580067,0.011087637186711151
global,group=expert,ALL,truthful,15997,6,15,15,20,0,0.0,0.0,364.0225429136917,14.31433706869326,0.037834897484378814
global,group=expert,ALL,harmless,15997,6,15,15,20,0,0.0,0.0,79.32368046374044,9.889638389542002,0.11085383344841397
global,group=normal,ALL,overall,15937,6,15,15,20,0,0.0,0.0,2002.529852849449,19.894905716891564,0.009837154946122546
global,group=normal,ALL,helpful,15937,6,15,15,20,0,0.0,0.0,2058.7125453692033,21.893286582372376,0.01052255369381372
global,group=normal,ALL,truthful,15937,6,15,15,20,0,0.0,0.0,301.16288813054155,20.494147089450784,0.06371428212485436
global,group=normal,ALL,harmless,15937,6,15,15,20,0,0.0,0.0,98.27380058533878,10.136375763488097,0.09350022391691995
global,evaluator=clever_bardeen,ALL,overall,804,6,15,15,20,1,0.05,4.578754578754579e-05,32.35221490493388,5.284258277226751,0.14040258904310537
global,evaluator=clever_bardeen,ALL,helpful,804,6,15,15,20,0,0.0,0.0,50.55251184523314,7.42147740319107,0.1280139162304204
global,evaluator=clever_bardeen,ALL,truthful,804,6,15,14,16,5,0.3125,0.002579606018955671,7.295300686224728,8.546938648452352,0.539503189409843
global,evaluator=clever_bardeen,ALL,harmless,804,6,15,11,7,2,0.2857142857142857,0.0036378187638691837,1.9561217700940097,6.739619734329688,0.77504830736989
global,evaluator=thirsty_northcutt,ALL,overall,477,6,15,15,20,0,0.0,0.0,52.274323379632264,6.482949521660867,0.11033441821834765
global,evaluator=thirsty_northcutt,ALL,helpful,477,6,15,15,20,0,0.0,0.0,53.254125935834075,6.677246819093827,0.11141488192500619
global,evaluator=thirsty_northcutt,ALL,truthful,477,6,14,11,8,2,0.25,0.05555555555555555,1.7955142507186208,11.007516052311685,0.8597586502397292
global,evaluator=thirsty_northcutt,ALL,harmless,477,6,9,9,4,1,0.25,0.25,5.123076923076919,5.21025641025641,0.5042183622828784
global,evaluator=xenodochial_payne,ALL,overall,440,6,15,15,20,0,0.0,0.0,65.8701083401254,8.941845963708184,0.11952429323517856
global,evaluator=xenodochial_payne,ALL,helpful,440,6,15,15,20,0,0.0,0.0,83.01014328732053,6.336382977209261,0.07091918670065614
global,evaluator=xenodochial_payne,ALL,truthful,440,6,15,13,12,3,0.25,0.015714285714285712,16.214705623654492,6.575770566821688,0.288531512543367
global,evaluator=xenodochial_payne,ALL,harmless,440,6,9,6,2,0,0.0,0.0,6.41609195402299,1.2839080459770114,0.16674130467233916
global,evaluator=brave_pike,ALL,overall,412,6,15,14,16,0,0.0,0.0,23.90709217551872,2.9878262984319974,0.11109259547768764
global,evaluator=brave_pike,ALL,helpful,412,6,15,15,20,2,0.1,0.00016462827699450768,23.984239130158663,4.454397412375963,0.15663189076289535
global,evaluator=brave_pike,ALL,truthful,412,6,15,13,12,0,0.0,0.0,9.108207876743995,3.9170691638968314,0.3007282802258246
global,evaluator=brave_pike,ALL,harmless,412,6,15,13,12,2,0.16666666666666666,0.06944444444444443,11.504467465199086,5.995532534800907,0.34260185913148034
global,evaluator=upbeat_jepsen,ALL,overall,379,6,15,14,16,0,0.0,0.0,158.09130660950674,13.020035756223631,0.07609101521975575
global,evaluator=upbeat_jepsen,ALL,helpful,379,6,15,15,20,0,0.0,0.0,136.98297626265685,12.509803913948994,0.08368165940301829
global,evaluator=upbeat_jepsen,ALL,truthful,379,6,5,1,0,0,,,0.16666666666666666,0.0,0.0
global,evaluator=upbeat_jepsen,ALL,harmless,379,6,10,7,2,0,0.0,0.0,11.040441176470598,0.9595588235294119,0.07996323529411765
global,evaluator=stupefied_murdock,ALL,overall,362,6,15,14,16,1,0.0625,0.0005613086510263929,38.082277780766674,10.818661086136045,0.22123626533187812
global,evaluator=stupefied_murdock,ALL,helpful,362,6,15,15,20,1,0.05,4.5821114369501466e-05,36.14362041802248,9.800767451397157,0.2133180548460522
global,evaluator=stupefied_murdock,ALL,truthful,362,6,14,14,16,5,0.3125,0.0355857683982684,8.249309833173896,12.15804947418542,0.5957678938793899
global,evaluator=stupefied_murdock,ALL,harmless,362,6,8,5,0,0,,,4.345360824742283,0.08797250859106526,0.019843422990465848
global,evaluator=hungry_clarke,ALL,overall,356,6,15,14,16,0,0.0,0.0,18.78441429479335,8.368097275572913,0.30818870121413344
global,evaluator=hungry_clarke,ALL,helpful,356,6,15,15,20,1,0.05,0.00032051282051282057,16.164955253913984,8.485653147109627,0.34423706746147753
global,evaluator=hungry_clarke,ALL,truthful,356,6,14,9,5,3,0.6,0.16666666666666666,1.762999345121153,6.8798577977359905,0.7960166046967261
global,evaluator=hungry_clarke,ALL,harmless,356,6,8,5,0,0,,,7.000000000000002,2.3172789090867222e-30,3.3103984415524603e-31
global,evaluator=pedantic_spence,ALL,overall,345,6,15,14,16,0,0.0,0.0,17.621071404149124,4.533484229639916,0.20462988762120185
global,evaluator=pedantic_spence,ALL,helpful,345,6,15,15,20,0,0.0,0.0,27.751519573139998,4.041299915194372,0.12711360553213072
global,evaluator=pedantic_spence,ALL,truthful,345,6,5,3,0,0,,,1.3333333333333335,1.2017802852976352e-31,9.013352139732264e-32
global,evaluator=pedantic_spence,ALL,harmless,345,6,5,2,0,0,,,2.1666666666666665,4.622231866529366e-33,2.1333377845520154e-33
global,evaluator=nervous_nightingale,ALL,overall,322,6,15,15,20,0,0.0,0.0,56.71941170057655,5.479440543670322,0.08809552501311851
global,evaluator=nervous_nightingale,ALL,helpful,322,6,15,15,20,0,0.0,0.0,63.39109035501551,4.864379556976132,0.07126724881168124
global,evaluator=nervous_nightingale,ALL,truthful,322,6,15,12,8,0,0.0,0.0,15.172997869459522,4.364953068491414,0.2234089481723918
global,evaluator=nervous_nightingale,ALL,harmless,322,6,7,4,0,0,,,4.509803921568613,0.1568627450980393,0.03361344537815128
global,evaluator=clever_curie,ALL,overall,317,6,15,15,20,2,0.1,0.0009058594197913083,46.08266985986936,10.179783320050985,0.18093386876497033
global,evaluator=clever_curie,ALL,helpful,317,6,15,14,16,0,0.0,0.0,40.323564064615944,8.92231377721096,0.18117889594472414
global,evaluator=clever_curie,ALL,truthful,317,6,15,11,8,2,0.25,0.0375,9.734845740000425,6.102082364574736,0.38530719621135945
global,evaluator=clever_curie,ALL,harmless,317,6,12,6,0,0,,,5.886699507389164,1.7133004926108373,0.22543427534353122
global,evaluator=zealous_boyd,ALL,overall,313,6,15,14,16,0,0.0,0.0,51.78188272741948,5.403968263694655,0.09449834478347369
global,evaluator=zealous_boyd,ALL,helpful,313,6,15,15,20,1,0.05,0.001607142857142857,44.72433737205246,5.646634452870021,0.11210096308041008
